,Title,Time,Link
0,Artichoke Joe's opens outdoor casino in San Bruno to host ...,"Sep 12, 2020",https://www.smdailyjournal.com/news/local/artichoke-joe-s-opens-outdoor-casino-in-san-bruno-to-host-gambling-amid-pandemic/article_047ebaea-f4b0-11ea-8bd2-9399d5c4825c.html
1,May 23 | Artichoke Joe's Casino Blood Drive | San Bruno- CA ...,"May 23, 2020",https://patch.com/california/sanbruno/calendar/event/20200523/826188/artichoke-joe-s-casino-blood-drive
2,San Bruno Cardroom Artichoke Joe's Set to Open for Outdoor ...,"Sep 4, 2020",https://www.msn.com/en-us/news/us/san-bruno-cardroom-artichoke-joe-s-set-to-open-for-outdoor-gaming/ar-BB18IGlH?ocid=hplocalnews
3,Casino Reopening Amid Coronavirus Has Peninsula Abuzz ...,"Sep 14, 2020",https://patch.com/california/sanbruno/casino-reopening-amid-coronavirus-has-peninsula-abuzz
4,Artichoke Joe's CEO Dennis Sammut dead at 77; remembered ...,"Feb 7, 2020",https://www.smdailyjournal.com/news/local/artichoke-joe-s-ceo-dennis-sammut-dead-at-77-remembered-for-philanthropy/article_6c6a650a-4966-11ea-a7cc-0b6d5530524d.html
5,California Card Clubs Get Creative with 24/7 Outdoor Gaming,"Sep 7, 2020",https://www.casino.org/news/california-card-clubs-get-creative-with-24-7-outdoor-gaming/
6,Bay Area's First Outdoor Casino Opens In San Bruno ...,"Sep 4, 2020",https://www.radio.com/kcbsradio/articles/bay-areas-first-outdoor-casino-opens-in-san-bruno
7,"Cashier who embezzled $34-000 at Artichoke Joe’s Casino in San Bruno 
sentenced to jail","Mar 16, 2016",https://www.mercurynews.com/2016/03/16/cashier-who-embezzled-34000-at-artichoke-joes-casino-in-san-bruno-sentenced-to-jail/
8,"California Card Clubs devise creative ‘open-air’ casinos as ban on 
non-essential indoor business opera ...","Sep 9, 2020",https://www.theindianwire.com/gambling-casinos/california-card-clubs-devise-creative-open-air-casinos-as-ban-on-non-essential-indoor-business-operations-continues-due-to-covid-19-289578/
9,"Raided Bay Area card clubs- including Artichoke Joe’s Casino in San Bruno- 
get OK to reopen","Mar 10, 2011",https://www.mercurynews.com/2011/03/10/raided-bay-area-card-clubs-including-artichoke-joes-casino-in-san-bruno-get-ok-to-reopen-2/
10,St. Patrick's Day 2021: Parties- pub crawls and more in Southwest Florida,5 days ago,https://www.news-press.com/story/entertainment/2021/03/09/st-patricks-day-2021-things-do-fort-myers-naples-cape-coral-bonita-springs-marco-punta-gorda-etc/6869695002/
11,"San Bruno casino facing $8 million penalty over alleged money laundering on 
premises","Nov 20, 2017",https://www.sfgate.com/bayarea/article/San-Bruno-casino-facing-8-million-penalty-over-12373094.php
12,Coronavirus economy: Layoffs jolt wide range of Bay Area workers,"Aug 14, 2020",https://www.mercurynews.com/2020/08/14/coronavirus-economy-layoffs-jolt-bay-area-workers-job-travel-retail
13,Potter & Potter Auctions' Gambling Sale Brings $315-000,1 month ago,https://www.finebooksmagazine.com/news/PotterPotterAuctionsGamblingSaleBrings315000
14,Mayors Ask Board of Supervisors to Help Open Cardrooms ...,"Sep 21, 2020",http://www.loscerritosnews.net/2020/09/21/mayors-ask-board-of-supervisors-to-help-open-cardrooms/
15,California Poker Room Fined by Feds,"Jul 29, 2018",https://www.legaluspokersites.com/news/california-poker-room-fined-feds/9756/
16,Racketeering Alleged at Artichoke Joe's | San Bruno- CA Patch,"Mar 4, 2011",https://patch.com/california/sanbruno/racketeering-alleged-at-artichoke-joes
17,15 Charged Following Bay Area Casino Raids,"Mar 3, 2011",https://sanfrancisco.cbslocal.com/2011/03/03/multiple-defendants-charged-following-bay-area-casino-raids/
18,Casinos: Keeping In Line With Title 31 (Part 1) | Thomson ...,"Aug 6, 2019",https://www.jdsupra.com/legalnews/casinos-keeping-in-line-with-title-31-56548/
19,San Bruno Casino Cashier Sentenced For Embezzling $34K,"Mar 17, 2016",https://patch.com/california/sanbruno/san-bruno-casino-cashier-sentenced-embezzling-34k
20,Taking Stock After a Historic Month of Fire,"Sep 17, 2020",https://www.nytimes.com/2020/09/17/us/wildfires-california-oregon.html
21,Northern California Casino Penalized by FinCEN for Ignoring ...,"Nov 23, 2017",https://www.pokernewsdaily.com/northern-california-casino-penalized-fincen-ignoring-anti-money-laundering-laws-30811/
22,Casinos - don't gamble with your AML program,"Jul 23, 2018",https://www.bobsguide.com/guide/news/2018/Jul/23/casinos-dont-gamble-with-your-aml-program/
23,Feds fold San Bruno card club in loan-sharking investigation,"Mar 2, 2011",https://www.mercurynews.com/2011/03/02/feds-fold-san-bruno-card-club-in-loan-sharking-investigation/
24,Bay Area Layoff Tracker: Database shows job cuts during ...,"Sep 2, 2020",https://projects.sfchronicle.com/2020/layoff-tracker/
25,Does California Have a Cardroom Problem?,"Jul 29, 2018",https://www.legaluspokersites.com/news/california-cardroom-problem/9761/
26,The U.S. Casino and Gaming Industry: AML/BSA Regulation ...,"Jul 17, 2018",https://www.jdsupra.com/legalnews/the-u-s-casino-and-gaming-industry-aml-65318/
27,Cardrooms ante up- with taxes- to San Jose - Silicon Valley ...,"Feb 20, 2014",https://www.bizjournals.com/sanjose/news/2014/02/18/how-silicon-valley-gambles.html
28,INSIGHT: FinCen Has Eye on Sports Betting- Crypto Money ...,"Sep 17, 2019",https://news.bloomberglaw.com/us-law-week/insight-fincen-has-eye-on-sports-betting-crypto-money-laundering-risks
29,"Man found guilty of murder in 2012 quintuple homicide at home in San 
Francisco's Ingleside","Dec 11, 2017",https://abc7news.com/man-guilty-of-5-murders-in-sf-at-home-san-francisco-binh-thai-luc/2769665/
30,Trader Joe’s New Snacks Are As Festive As a Holiday Rom-Com,"Dec 21, 2020",https://www.bonappetit.com/story/trader-joes-reviews-december-2020
31,"Menu planner: Spinach and artichoke heart two-potato casserole should hit 
the spot","Jun 3, 2020",https://chicago.suntimes.com/2020/5/26/21267213/how-to-make-spinach-and-artichoke-two-potato-casserole-jicama-salad-recipes
32,These Jersey Shore restaurants are getting outdoor dining right,"Jul 10, 2020",https://www.inquirer.com/food/craig-laban/jersey-shore-best-outdoor-dining-restaurants-summer-laban-20200710.html
33,Lake Worth Beach new restaurants,"Nov 3, 2020",https://www.sun-sentinel.com/entertainment/restaurants-and-bars/fl-et-new-restaurants-lake-worth-and-lake-worth-beach-20201103-jvn6m3vgbrapze3mbdppf5kovy-story.html
34,A first look at the new Oak Grove Racing- Gaming & Hotel ...,"Sep 9, 2020",https://clarksvillenow.com/local/a-first-look-at-the-new-oak-grove-racing-gaming-hotel/
35,Preliminary damage report from first 2 nights of Cincinnati protests,"May 31, 2020",https://www.fox19.com/2020/05/31/preliminary-damage-report-first-nights-cincinnati-protests/
