,Title,Time,Link
0,"Broker who won gender discrimination tribunal against BNP Paribas now 
claiming £3.3m in reputation damage",7 hours ago,https://sports.yahoo.com/broker-gender-discrimination-bnp-paribas-claiming-33-m-reputation-losses-144002462.html
1,SBI Life’s valuation comes under pressure as BNP Paribas exits,17 hours ago,https://www.livemint.com/market/mark-to-market/sbi-life-s-valuation-comes-under-brief-pressure-as-bnp-paribas-exits-11615522989741.html
2,BNP Paribas seeks full ownership of Exane,3 days ago,https://www.marketwatch.com/story/bnp-paribas-seeks-full-ownership-of-exane-2021-03-11-24854914
3,BNP Paribas proposes buying up all of partner Exane,3 days ago,https://www.ft.com/content/44602d8a-d9b9-4ad2-b298-abf928145e35
4,"An Alternative Payment Network Emerges Thanks to Open Banking- Token and 
BNP Paribas",5 days ago,https://www.paymentsjournal.com/an-alternative-payment-network-emerges-thanks-to-open-banking-token-and-bnp-paribas/
5,BNP PARIBAS GROUP: RELEASE OF THE ENGLISH ...,2 days ago,https://www.globenewswire.com/news-release/2021/03/12/2192251/0/fr/BNP-PARIBAS-GROUP-RELEASE-OF-THE-ENGLISH-VERSION-OF-THE-UNIVERSAL-REGISTRATION-DOCUMENT-AND-ANNUAL-FINANCIAL-REPORT-2020.html
6,Kepler Capital Stick to Their Hold Rating for BNP Paribas SA ...,19 hours ago,https://www.investing.com/news/kepler-capital--stick-to-their-hold-rating-for-bnp-paribas-sa-2446000
7,BNP Paribas Cardif sells 5% stake in SBI Life Insurance worth ₹4-557 crore,2 days ago,https://www.livemint.com/companies/news/bnp-paribas-cardif-sells-5-stake-in-sbi-life-insurance-worth-rs-4-557-crore-11615568186815.html
8,BNP Paribas Asset Management names global head of ...,1 week ago,https://www.pionline.com/esg/bnp-paribas-asset-management-names-global-head-stewardship
9,French bank BNP Paribas plans to raise stake in its Exane unit,3 days ago,https://www.nasdaq.com/articles/french-bank-bnp-paribas-plans-to-raise-stake-in-its-exane-unit-2021-03-11-0
10,BNP Paribas to Face Human Rights Claims Over Sudan Work,4 weeks ago,https://www.bloomberg.com/news/articles/2021-02-16/bnp-paribas-to-face-human-rights-claims-over-sudan-work
11,BNP Paribas Subsidiary Helps Identify $250 Million Leap In NFT Sales,4 weeks ago,https://www.forbes.com/sites/ninabambysheva/2021/02/15/french-banking-giant-bnp-paribas-details-explosion-of-new-crypto-sector-with-250-million-sales-volume/
12,BNP Paribas Gives Corporate Customers New Transaction Visibility,4 weeks ago,https://www.pymnts.com/news/b2b-payments/2021/bnp-paribas-gives-corporate-customers-new-transaction-visibility/
13,BNP Paribas rolls out A2A instant payments for e-commerce ...,5 days ago,https://www.finextra.com/newsarticle/37634/bnp-paribas-rolls-out-a2a-instant-payments-for-e-commerce-merchants
14,Excitement and apprehension on BNP Paribas bonus day,2 weeks ago,https://www.efinancialcareers.com/news/2021/02/bnp-paribas-bonus-day
15,BNP Paribas Cardif sells 4.99% stake in SBI Life,2 days ago,https://www.thehindubusinessline.com/money-and-banking/bnp-paribas-cardif-sells-499-stake-in-sbi-life/article34052870.ece
16,"Open Banking Payments Platform Token and BNP Paribas to Support Financial 
Transactions with SEPA- PSD2 APIs",3 days ago,https://www.crowdfundinsider.com/2021/03/173035-open-banking-payments-platform-token-and-bnp-paribas-to-support-financial-transactions-with-sepa-psd2-apis/
17,Auxmoney hires ex-BNP Paribas MD to lead its just-launched ...,3 weeks ago,https://www.altfi.com/article/7615_auxmoney-hires-ex-bnp-paribas-md-to-lead-its-just-launched-investments-arm
18,BNP Paribas REIM raises initial €340m for European ...,5 days ago,https://realassets.ipe.com/news/bnp-paribas-reim-raises-initial-340m-for-european-healthcare-fund/10051364.article
19,"Today In B2B: BNP Paribas Boosts Biz Payment Visibility; Spence Labs Debuts 
Cannabis B2B Payments Tool",4 weeks ago,https://www.pymnts.com/news/b2b-payments/2021/bnp-paribas-spence-labs-cannabis-payments/
20,BNP targets equity business expansion with full ownership of ...,3 days ago,https://www.kitco.com/news/2021-03-11/BNP-targets-equity-business-expansion-with-full-ownership-of-Exane.html
