,Title,Time,Link
0,"Third stimulus check: when will Wells Fargo- Chase Bank & Bank of America 
release it?",9 hours ago,https://en.as.com/en/2021/03/14/latest_news/1615722136_184155.html
1,"Bank of America believes this is the big turning point for inflation and 
rates. How to play it",3 days ago,https://www.cnbc.com/2021/03/11/bank-of-america-believes-this-is-the-big-turning-point-for-inflation-and-rates-how-to-play-it.html
2,"Bank of America lays out 7 ways investors should start preparing portfolios 
before inflation jumps — and explains why ...",2 days ago,https://www.businessinsider.com/how-to-invest-higher-inflation-interest-rates-bank-of-america-2021-3
3,People are leaving Bank of America's Paris rates business,3 days ago,https://www.efinancialcareers.com/news/2021/03/bank-of-america-rates-exits-paris
4,"The Zacks Analyst Blog Highlights: Bank of America- Cisco Systems- Boeing- 
Citigroup and The Progressive Corp",2 days ago,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-bank-150703673.html
5,"Bank of America says stick with value stocks- especially these neglected 
names",3 days ago,https://www.cnbc.com/2021/03/11/bank-of-america-says-stick-with-value-stocks-especially-these-neglected-names.html
6,Top Research Reports for Bank of America- Cisco & Boeing,3 days ago,https://finance.yahoo.com/news/top-research-reports-bank-america-185906006.html
7,Bank of America Declares Preferred Stock Dividends,2 days ago,https://finance.yahoo.com/news/bank-america-declares-preferred-stock-213000769.html
8,No- Bank of America. A digital euro won’t be “kryptonite for crypto”.,4 days ago,https://www.ft.com/content/07a06481-0337-419e-9f33-07d5a5881370
9,"The stimulus money isn't going to be spent- Bank of America says- so here 
are the investment moves to make",4 days ago,https://www.marketwatch.com/story/the-stimulus-money-isnt-going-to-be-spent-bank-of-america-says-so-here-are-the-investment-moves-to-make-11615376336
10,Bank of America Corp. stock outperforms market on strong trading day,2 days ago,https://www.marketwatch.com/story/bank-of-america-corp-stock-outperforms-market-on-strong-trading-day-01615584748-0043933d060e
11,Bank of America (BAC) Stock Sinks As Market Gains: What You Should Know,2 days ago,https://finance.yahoo.com/news/bank-america-bac-stock-sinks-224510469.html
12,"Business checking review: Bank of America Business checking account 
comparison",2 weeks ago,https://www.cnbc.com/select/bank-of-america-business-checking-accounts-review/
13,New Pittsburgh market president at Bank of America Corp. as ...,2 days ago,https://www.bizjournals.com/pittsburgh/news/2021/03/12/new-pittsburgh-president-at-bank-of-america.html
14,Bank of America's Dividend Lags Its Peers -- but That Could Soon Change,5 days ago,https://www.fool.com/investing/2021/03/09/bank-of-americas-dividend-lags-its-peers-this-coul/
15,Sedona Bank of America closing in June,6 days ago,http://www.redrocknews.com/2021/03/08/sedona-bank-of-america-closing-in-june/
16,"Bank of America announces plans to close Brisbane's only bank as town vows 
to fight closure",2 days ago,https://abc7news.com/bank-of-america-brisbane-closing-closure/10407953/
17,Bank of America reaps trading windfall during Texas blackouts,1 week ago,https://www.ft.com/content/321c4fb2-ca11-4e15-9ef5-05598dd04012
18,Former Fresno couple battles Bank of America from Costa Rica,2 weeks ago,https://kmph.com/news/local/former-fresno-couple-battles-bank-of-america-from-costa-rica
19,Heather Albright to lead Bank of America in Arkansas,3 days ago,https://talkbusiness.net/2021/03/heather-albright-to-lead-bank-of-america-in-arkansas/
20,"Woman sues Bank of America after a frozen debit card left her without 
access to her money | Dollars and Sense",3 weeks ago,https://www.abc10.com/article/money/woman-suing-bank-of-america-over-frozen-account/103-85d17c0f-4280-4aa5-af8c-87e70f629903
21,Bank of America is bringing VR instruction to its banks,1 week ago,https://techcrunch.com/2021/03/03/bank-of-america-is-bringing-vr-instruction-to-its-4000-banks/
22,Cathy Bessant on how Bank of America is driving innovation ...,2 weeks ago,https://www.bizjournals.com/charlotte/news/2021/02/25/bank-of-america-patents-innovation-technology.html
23,"Why Bank of America- US Bancorp- and Synovus Financial Rose More Than 13.7% 
in February",1 week ago,https://www.fool.com/investing/2021/03/07/why-bank-of-america-us-bancorp-and-synovus-financi/
24,Bank of America to give Seattle-area employees paid time off ...,3 days ago,https://www.bizjournals.com/seattle/news/2021/03/10/bofa-vaccination-pto-seattle.html
25,Vaccine recovery means investors should focus on these ...,2 days ago,https://www.fnlondon.com/articles/vaccine-recovery-means-investors-should-focus-on-these-stocks-says-bank-of-america-20210312
26,"Bank of America reduces staff in investment banking and trading - Bloomberg 
News",2 weeks ago,https://www.reuters.com/article/us-bank-of-america-layoffs-idUSKBN2AP2JR
27,"A majority of the upcoming $1-400 stimulus checks will go towards savings 
rather than spending- according..",4 days ago,https://www.businessinsider.com/stimulus-checks-upcoming-1400-go-towards-savings-bofa-survey-2021-3
28,"Texas: Police officer's bodycam video shows takedown- arrest of maskless 
woman at bank",1 day ago,https://abc7.com/woman-resists-officers-galveston-refuses-to-wear-face-mask-at-bank-of-america-protocol/10414153/
29,Bank of America Names Albright President of Arkansas - News,2 days ago,https://www.abladvisor.com/news/30539/bank-of-america-names-albright-president-of-arkansas
30,Bank of America- Truist among banks giving employees paid ...,2 weeks ago,https://www.bizjournals.com/charlotte/news/2021/03/01/bank-of-america-covid19-vaccine-paid-time-off.html
31,Bank of America Sets Record for Patents in 2020 with Majority ...,3 weeks ago,https://www.businesswire.com/news/home/20210218005175/en/Bank-of-America-Sets-Record-for-Patents-in-2020-with-Majority-of-Employees-Working-from-Home
