,Title,Time,Link
0,Capital One expands presence at MOA by opening ... a cafe?,17 hours ago,https://bringmethenews.com/minnesota-lifestyle/capital-one-expands-presence-at-moa-by-opening-a-cafe
1,Sam- Spike and Chuck Return for More Capital One March ...,1 day ago,https://musebycl.io/sports/sam-spike-and-chuck-return-more-capital-one-march-madness
2,DI People: COMSovereign- Capital One- Comercia Bank ...,2 days ago,https://dallasinnovates.com/di-people-comsovereign-capital-one-comercia-bank-riveron-and-more-make-moves/
3,"Forter Extends Data Intelligence to Reduce Fraud with Capital One 
Relationship",4 days ago,https://www.paymentsjournal.com/forter-extends-data-intelligence-to-reduce-fraud-with-capital-one-relationship/
4,Capital One Ventures Invests $24M in Securonix Through ...,3 days ago,https://dallasinnovates.com/capital-one-ventures-invests-24m-in-addison-cybersecurity-company-securonix-through-strategic-partnership/
5,Capital One Financial Services President Sees Big Business ...,2 weeks ago,https://dallasinnovates.com/capital-one-financial-services-president-sees-big-business-as-a-catalyst-for-change/
6,Capital One (COF) Outpaces Stock Market Gains: What You Should Know,2 days ago,https://finance.yahoo.com/news/capital-one-cof-outpaces-stock-225010886.html
7,Ime Archibong and Craig Williams to Join the Capital One ...,2 weeks ago,https://www.prnewswire.com/news-releases/ime-archibong-and-craig-williams-to-join-the-capital-one-board-of-directors-301238004.html
8,Capital One Cafe to Open at Mall of America,3 days ago,https://tcbmag.com/capital-one-cafe-to-open-at-mall-of-america/
9,Capital One Financial Corp. stock rises Friday- outperforms market,2 days ago,https://www.marketwatch.com/story/capital-one-financial-corp-stock-rises-friday-outperforms-market-01615586457-37eb0d299274
10,Capital One adding Facebook- Nike execs to board ...,2 weeks ago,https://www.bizjournals.com/washington/news/2021/03/02/capital-one-adds-facebook-nike-execs-to-board.html
11,Capital One is raising credit limits for existing customers,2 weeks ago,https://www.businessinsider.com/capital-one-raising-credit-limits-for-customers-2021-3
12,Capital One expanding employee health services at McLean ...,1 week ago,https://www.bizjournals.com/washington/news/2021/03/04/capital-one-renovating-health-center-at-tysons-hq.html
13,"Capital One Ventures partners with Securonix on cloud-native security 
analytics in $24M deal",4 days ago,https://venturebeat.com/2021/03/10/capital-one-ventures-partners-with-securonix-on-cloud-native-security-analytics-in-24m-deal/
14,How to Apply for a Capital One Credit Card,3 weeks ago,https://www.fool.com/the-ascent/credit-cards/how-to-apply-for-capital-one-credit-card/
15,Capital One Multi-Asset Execution Trust: Issuance Trust Update,5 days ago,https://www.fitchratings.com/research/structured-finance/capital-one-multi-asset-execution-trust-issuance-trust-update-09-03-2021
16,Capital One Ventures invests $24 million in Securonix,3 days ago,https://www.finextra.com/newsarticle/37652/capital-one-ventures-invests-24-million-in-securonix
17,"A Win for Retailers- Banks and Consumers: Forter- Capital One- Combine Key 
Offerings",3 days ago,https://wwd.com/business-news/business-features/forter-capital-one-approve-more-transactions-1234775796/
18,Capital One- TD Bank cut branches in DC area in 2021 ...,2 weeks ago,https://www.bizjournals.com/washington/news/2021/02/26/capital-one-td-bank-jpmorgan-citibank-branches.html
19,NCAA Women's Basketball Selection Show Special Presented ...,2 days ago,https://espnpressroom.com/us/press-releases/2021/03/ncaa-womens-basketball-selection-show-special-presented-by-capital-one-live-on-espn-monday-march-15/
20,Capital One CEO Richard Fairbank sells shares as bank ...,3 weeks ago,https://www.bizjournals.com/washington/news/2021/02/18/capital-one-ceo-richard-fairbank-stock.html
21,Capital One Starting to Raise Credit Limits in Hunt for Growth,2 weeks ago,https://www.bloomberg.com/news/articles/2021-02-24/capital-one-starting-to-raise-credit-limits-in-hunt-for-growth
22,How Capital One Moved Its Data Analytics to the Cloud ...,3 weeks ago,https://hbr.org/sponsored/2021/02/how-capital-one-moved-its-data-analytics-to-the-cloud
23,Capital One Financial Corp. stock outperforms market on strong trading day,4 days ago,https://www.marketwatch.com/story/capital-one-financial-corp-stock-outperforms-market-on-strong-trading-day-01615413648-4407e3983395
24,"Virginia Senate bill demands Metro change station name to include bank or 
lose millions in funding",3 weeks ago,https://www.washingtonpost.com/local/trafficandcommuting/metro-virginia-capital-one/2021/02/23/cc55e56e-7162-11eb-85fa-e0ccb3660358_story.html
25,Is Capital One (COF) a Great Value Stock Right Now?,1 week ago,https://finance.yahoo.com/news/capital-one-cof-great-value-165004382.html
26,Capital One name on Metro station a requirement for Virginia's ...,2 weeks ago,https://www.bizjournals.com/washington/news/2021/02/24/capital-one-name-on-metro-station-a-requirement.html
27,BlueTarp is now Capital One Trade Credit,3 weeks ago,https://lbmjournal.com/bluetarp-is-now-capital-one-trade-credit/
28,Capital One Spring and St Pete-based Tech Firm Partner to ...,2 weeks ago,https://www.prnewswire.com/news-releases/capital-one-spring-and-st-pete-based-tech-firm-partner-to-amp-up-value-to-real-estate-transactions-301238414.html
29,SHAREHOLDER ALERT: Lowey Dannenberg is Investigating ...,1 week ago,https://www.globenewswire.com/news-release/2021/03/05/2188244/0/en/SHAREHOLDER-ALERT-Lowey-Dannenberg-is-Investigating-Capital-One-Financial-Company-for-Potential-Breaches-of-Fiduciary-Duty-by-its-Board-of-Directors.html
30,"Man wearing 'Just Do It' hoodie accused of stabbing person in fight at 
Capital One Arena",1 week ago,https://wjla.com/news/local/man-accused-of-stabbing-person-during-a-fight-at-capital-one-arena
31,Capital One Financial Corp. stock rises Thursday- outperforms market,1 week ago,https://www.marketwatch.com/story/capital-one-financial-corp-stock-rises-thursday-outperforms-market-01614895270-b6f6a5df7514
32,Muriel Bowser comments that Capital One Arena could open ...,5 days ago,https://russianmachineneverbreaks.com/2021/03/08/muriel-bowser-comments-that-capital-one-arena-could-open-for-capitals-and-wizards-games-by-mid-march/
33,Capital One Financial : Wells Fargo Adjusts Capital One ...,3 days ago,https://www.marketscreener.com/quote/stock/CAPITAL-ONE-FINANCIAL-COR-12144/news/Capital-One-Financial-nbsp-Wells-Fargo-Adjusts-Capital-One-Financial-s-Price-Target-to-143-From--32662174/
34,Form 424B5 CAPITAL ONE FINANCIAL,2 days ago,https://www.streetinsider.com/SEC+Filings/Form+424B5+CAPITAL+ONE+FINANCIAL/18121073.html
35,"MasterCraft Boat- IHG Hotels & Resorts- Exxon Mobil- L Brands and Capital 
One Financial highlighted as Zacks Bull and Bear of the Day",2 days ago,https://finance.yahoo.com/news/mastercraft-boat-ihg-hotels-resorts-150303035.html
36,"Capital One Financial Corp. stock underperforms Tuesday when compared to 
competitors",5 days ago,https://www.marketwatch.com/story/capital-one-financial-corp-stock-underperforms-tuesday-when-compared-to-competitors-01615327266-da8925fb57ac
