,Title,Time,Link
0,"Citi is reportedly blocking debt deals with firms that kept the bank's 
accidental $500 million payout",4 days ago,https://www.businessinsider.com/citi-blocking-deals-firms-kept-accidental-500-million-revlon-payout-2021-3
1,Citi- Bank of America cut CEOs' compensation,4 weeks ago,https://www.bankingdive.com/news/ceo-compensation-citi-bank-of-america-corbat-moynihan/595096/
2,Citi on the hook for $500M blunder- judge rules,4 weeks ago,https://www.bankingdive.com/news/citi-revlon-lawsuit-payment-mistake-creditors/595154/
3,On Fraser's First Day as Citi CEO- Bank Vows Net-Zero ...,2 weeks ago,https://www.bloomberg.com/news/articles/2021-03-01/on-fraser-s-first-day-as-citi-ceo-bank-vows-net-zero-emissions
4,"Bitcoin is at a tipping point and could become 'currency of choice' for 
global trade- Citi claims",2 weeks ago,https://www.cnbc.com/2021/03/01/bitcoin-btc-is-at-a-tipping-point-citi-says.html
5,Citigroup needs a new strategy for its lagging Asian consumer banks,6 days ago,https://www.livemint.com/companies/news/citigroup-needs-a-new-strategy-for-its-lagging-asian-consumer-banks-11615176003979.html
6,Citi's $900 Million Mistake Prompts Banks to Seek New ...,1 week ago,https://www.bloomberg.com/news/articles/2021-03-03/citi-s-900-million-mistake-prompts-banks-to-seek-new-safeguards
7,Citi Said to Consider Divesting Some Foreign Consumer Units,3 weeks ago,https://www.bloomberg.com/news/articles/2021-02-19/citi-is-said-to-consider-divesting-some-foreign-consumer-units
8,How Citi can vanquish Revlon's ghost,2 days ago,https://www.bankingdive.com/news/citi-vanquish-revlon-covid-testing-office-return/596643/
9,First Republic Snatches Mega Citi Team with $14 Million ...,2 days ago,https://advisorhub.com/first-republic-snatches-mega-citi-team-with-14-million-production/
10,Citi Blocks Firms With Errant Revlon Payout From Debt Deals,4 days ago,https://www.bloomberg.com/news/articles/2021-03-09/citi-blocks-firms-that-kept-errant-revlon-payout-from-debt-deals
11,Citi Executive Pulls James Bond Stunts to Woo China's Rich,3 weeks ago,https://www.bloomberg.com/news/articles/2021-02-21/citigroup-executive-pulls-james-bond-stunts-to-woo-china-s-rich
12,5 Stocks Set to Drop and 5 That Could Pop- According to Citi,3 days ago,https://www.barrons.com/articles/5-stocks-set-to-drop-and-5-that-could-pop-according-to-citi-51615491645
13,Citi Debuts Rapid At-Home Covid Tests to Branch Workers ...,4 days ago,https://www.bloomberg.com/news/articles/2021-03-10/citi-debuts-rapid-at-home-covid-tests-to-branch-workers-traders
14,Wipro employees had a role in Citi's big blunder,2 weeks ago,https://timesofindia.indiatimes.com/business/india-business/wipro-employees-had-a-role-in-citis-big-blunder/articleshow/81221801.cms
15,Revlon error forces Citigroup to slash profits by $323m,2 weeks ago,https://www.ft.com/content/998c61d3-7402-4697-bfb0-84b12f305391
16,Citi- Bank of America Provide $99M CMBS Recap on Boca ...,3 weeks ago,https://commercialobserver.com/2021/02/citigroup-bank-of-america-boca-raton-office-portfolio-tjac-titan-grove-centre-city-national-bank-plaza/
17,Hey Citi- your bitcoin report is embarrassingly bad,2 weeks ago,https://www.ft.com/content/8553aba7-8beb-4b48-9287-be6a08065444
18,Citigroup's $900 Million Defeat,3 weeks ago,https://www.nytimes.com/2021/02/17/business/dealbook/citigroup-900-million.html
19,Citi’s Punishment of Revlon Lenders Extends to CLOs- Trading,3 days ago,https://finance.yahoo.com/news/citi-punishment-revlon-lenders-extends-011411177.html
20,Citi Recognized as Best Global Bank for Liquidity ...,2 weeks ago,https://www.businesswire.com/news/home/20210226005503/en/Citi-Recognized-as-Best-Global-Bank-for-Liquidity-Management-by-Global-Finance
21,HSBC and Citigroup: Global Retail Banking Is Heading For ...,3 weeks ago,https://www.bloomberg.com/opinion/articles/2021-02-24/hsbc-and-citigroup-global-retail-banking-is-heading-for-extinction
22,Citi must face claim that it scapegoated acquitted forex trader,2 days ago,https://www.reuters.com/article/banking-citi-forex/citi-must-face-claim-that-it-scapegoated-acquitted-forex-trader-idUSL1N2LA2UL
23,Citibank Seeks Freeze on Erroneous Transfers During Appeal,2 weeks ago,https://www.bloomberg.com/news/articles/2021-03-03/citibank-seeks-freeze-on-erroneous-transfers-during-appeal
24,Citi offers Covid tests for London staff as banks roll out back-to ...,3 days ago,https://www.fnlondon.com/articles/citi-offers-covid-tests-for-london-staff-as-banks-roll-out-back-to-office-plans-20210311
25,How Citigroup's Early ID program is using mentors to fast-track ...,3 days ago,https://www.businessinsider.com/citigroup-early-id-program-diverse-investment-banking-summer-analyst-internships-2021-3
26,From 'Butter' Deal to Lucid: Inside Citi's 15-Year-Old SPAC Desk,3 weeks ago,https://www.bloomberg.com/news/articles/2021-02-23/from-butter-deal-to-lucid-inside-citi-s-15-year-old-spac-desk
27,Citi Is Still Mad About That $500 Million,4 days ago,https://www.bloomberg.com/opinion/articles/2021-03-10/citi-is-still-mad-about-that-500-million
