,Title,Time,Link
0,Citizens Bank Hosts Fourth Annual Small Business ...,4 weeks ago,https://www.businesswire.com/news/home/20210216005883/en/Citizens-Bank-Hosts-Fourth-Annual-Small-Business-Community-Champion-Award
1,Why Banking Leadership (Still) Matters,6 days ago,http://internationalbanker.com/banking/why-banking-leadership-still-matters/
2,Lincoln Financial Group Names John Kennedy President of ...,4 days ago,https://www.businesswire.com/news/home/20210310005951/en/Lincoln-Financial-Group-Names-John-Kennedy-President-of-Lincoln-Financial-Distributors
3,Citizens hosts annual Small Business Community Champion ...,2 weeks ago,https://www.pottsmerc.com/business/citizens-hosts-annual-small-business-community-champion-award/article_4659d038-7540-11eb-a2ab-a3174e1c4eda.html
4,Lincoln National Corporation's Board of Directors Declares ...,3 weeks ago,https://www.businesswire.com/news/home/20210218005647/en/Lincoln-National-Corporations-Board-of-Directors-Declares-Quarterly-Cash-Dividend
5,Citizens launches Citizens Pay brand to boost point of sale ...,"Jan 11, 2021",https://www.americanbanker.com/news/citizens-launches-citizens-pay-brand-to-boost-point-of-sale-lending
6,Building a Foundation for Citizen-Centric Government Design,3 days ago,https://www.govtech.com/sponsored/Building-a-Foundation-for-Citizen-Centric-Government-Design.html
7,Man Sentenced to 20 Years in Debit Card Theft Scheme,2 days ago,https://www.justice.gov/usao-ndtx/pr/man-sentenced-20-years-debit-card-theft-scheme
8,Client-Friendly Technology Brings 11-Person Advisor Team to ...,3 days ago,https://www.citizentribune.com/news/business/client-friendly-technology-brings-11-person-advisor-team-to-ameriprise/article_90ffb54e-f237-5607-b96f-558f2f7fc09e.html
9,Citizens Financial Group Inc (CFG) Q2 2020 Earnings Call Transcript,"Jul 17, 2020",https://www.fool.com/earnings/call-transcripts/2020/07/17/citizens-financial-group-inc-cfg-q2-2020-earnings.aspx
10,Air Industries Group Announces Financial Results for the ...,6 days ago,https://www.citizentribune.com/news/business/air-industries-group-announces-financial-results-for-the-three-and-twelve-months-ended-december-31/article_f3903d2c-f1ef-5e00-b76e-0ca03bc58edb.html
11,Citizens Financial Group: Value or Value Trap?,"Aug 12, 2020",https://www.fool.com/investing/2020/08/12/citizens-financial-group-value-or-value-trap/
12,Citizen scientists help expose presence of invasive Asian ...,5 days ago,https://www.sciencedaily.com/releases/2021/03/210309114338.htm
