,Title,Time,Link
0,HSBC Bosses Try to Quell Banker Anger Over Cuts to Bonuses,3 days ago,https://www.bloomberg.com/news/articles/2021-03-11/hsbc-bosses-try-to-quell-investment-banker-ire-over-bonus-cuts
1,HSBC's horrible bonuses have come back to haunt it,2 days ago,https://www.efinancialcareers.com/news/2021/03/hsbc-bonuses-objections
2,HSBC plans to phase out coal financing by 2040,3 days ago,https://www.bbc.com/news/business-56352203
3,"Pandemic saves Goldman- HSBC more than $1bn on bankers' travel and 
entertainment",2 days ago,https://www.fnlondon.com/articles/the-pandemic-saved-banks-more-than-1bn-on-high-flyers-travel-and-entertainment-20210312
4,"HSBC Encouraging Those I-Bankers Who Can To Leave And The Rest To Just 
Slack Off",2 days ago,https://dealbreaker.com/2021/03/hsbc-bonus-cuts
5,Investors turn up heat on HSBC to phase out fossil fuel funding,3 days ago,https://www.aljazeera.com/economy/2021/3/11/investors-turn-up-heat-on-hsbc-to-phase-out-fossil-fuel-funding
6,Huawei’s Meng takes HSBC to court in Hong Kong to seek bank’s papers,2 weeks ago,https://www.scmp.com/tech/tech-war/article/3123310/huaweis-cfo-meng-wanzhou-takes-hsbc-court-hong-kong-seek-access-banks
7,HSBC pays dividends again after beating estimates on 2020 profit,3 weeks ago,https://www.cnbc.com/2021/02/23/hsbc-reports-fourth-quarter-full-year-2020-earnings.html
8,HSBC to announce exit from U.S. retail banking- reshuffles top jobs,3 weeks ago,https://www.cnbc.com/2021/02/22/hsbc-to-announce-exit-from-us-retail-banking-reshuffles-top-jobs.html
9,Big banks will need much less office space in the future,2 weeks ago,https://www.cnn.com/2021/02/24/business/hsbc-lloyds-london-office/index.html
10,HSBC Dodges Public Climate Spat With Own Shareholder ...,3 days ago,https://www.bloomberg.com/news/articles/2021-03-11/hsbc-proposes-climate-resolution-with-coal-phase-out-target
11,HSBC toughens stance on fossil fuel funding after shareholder ...,3 days ago,https://wsau.com/2021/03/10/hsbc-toughens-stance-on-fossil-fuel-funding-after-shareholder-heat/
12,HSBC avoids revolt by investors pressing for cut in fossil fuel ...,Blog,https://www.ft.com/content/3f976312-532d-4a4b-b189-8ab98c469827
13,HSBC Bank's presence in Buffalo still solid despite decisions ...,1 week ago,https://www.bizjournals.com/buffalo/news/2021/03/05/hsbc-bank-s-presence-in-buffalo.html
14,Either Huawei or HSBC is lying as Meng case moves to Hong ...,2 days ago,https://www.lightreading.com/security/either-huawei-or-hsbc-is-lying-as-meng-case-moves-to-hong-kong/d/d-id/768031
15,Chase hires ex-HSBC exec Jeremy Balkin to lead wholesale ...,4 days ago,https://www.paymentssource.com/news/chase-hires-ex-hsbc-exec-jeremy-balkin-to-lead-wholesale-payments-innovation
16,HSBC Germany Head Von Schmettow to Be Replaced by ...,3 days ago,https://www.bloomberg.com/news/articles/2021-03-11/hscb-germany-head-von-schmettow-to-be-replaced-by-salsano
17,HSBC now offers Mac-friendly choice scheme,1 week ago,https://www.computerworld.com/article/3610689/hsbc-now-offers-mac-friendly-choice-scheme.html
18,HSBC Asset Management adds head of ETF strategy,3 days ago,https://www.pionline.com/money-management/hsbc-asset-management-adds-head-etf-strategy
19,HSBC confirms plan to sell US retail business,3 weeks ago,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/hsbc-confirms-plan-to-sell-us-retail-business-62801265
20,HSBC confirms plan to sell US retail business,3 weeks ago,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/hsbc-confirms-plan-to-sell-us-retail-business-62801265
21,HSBC Ratings Placed Under Review for Downgrade by Moody's,5 days ago,https://www.nasdaq.com/articles/hsbc-ratings-placed-under-review-for-downgrade-by-moodys-2021-03-09
22,HSBC Banker Knew About Dealings With Iran- Meng's ...,2 weeks ago,https://www.bloomberg.com/news/articles/2021-03-02/hsbc-banker-knew-about-dealings-with-iran-meng-s-defense-argues
23,HSBC to shrink its office footprint amid shift to WFH,2 weeks ago,https://therealdeal.com/national/2021/02/24/hsbc-to-shrink-its-office-footprint-amid-shift-to-wfh/
24,"Despite Interest Rate Headwinds- HSBC Stock Is Likely To Beat Consensus In 
Q4",3 weeks ago,https://www.forbes.com/sites/greatspeculations/2021/02/22/despite-interest-rate-headwinds-hsbc-stock-is-likely-to-beat-consensus-in-q4/
25,HSBC Holdings (HSBC) Aims Expansion in Asia- Hires New Staff,2 weeks ago,https://finance.yahoo.com/news/hsbc-holdings-hsbc-aims-expansion-152203033.html
26,JPMorgan Taps HSBC Innovation Head To Lead FinTech Division,4 days ago,https://www.pymnts.com/personnel/2021/jpmorgan-taps-hsbc-innovation-head-lead-fintech-division/
27,HSBC U.S. Wealth- Personal-Banking Head Sanchez to ...,3 weeks ago,https://www.bloomberg.com/news/articles/2021-02-23/hsbc-u-s-wealth-personal-banking-head-sanchez-to-leave-lender
28,Huawei- HSBC in Hong Kong court over Meng extradition papers,2 days ago,https://www.scmp.com/tech/tech-war/article/3125229/hong-kong-court-hears-meng-wanzhous-application-access-hsbc-documents
29,HSBC rises on report it's about to exit U.S. retail as FTSE 100 reverses,3 weeks ago,https://www.marketwatch.com/story/hsbc-rises-on-report-its-about-to-exit-u-s-retail-as-ftse-100-reverses-11613994689
30,Huawei- HSBC in Hong Kong court over Meng extradition papers,2 days ago,https://www.scmp.com/tech/tech-war/article/3125229/hong-kong-court-hears-meng-wanzhous-application-access-hsbc-documents
31,Who are the highest earning bankers at HSBC in Hong Kong?,5 days ago,https://www.efinancialcareers.com/news/2021/03/who-are-the-highest-earning-bankers-at-hsbc-in-hong-kong
32,A massive overhaul is rocking HSBC. Here's what you need to ...,2 weeks ago,https://www.fnlondon.com/articles/a-massive-overhaul-is-rocking-hsbc-heres-what-you-need-to-know-20210224
33,UK shares inch higher; HSBC- AstraZeneca cap gains,3 days ago,https://www.kitco.com/news/2021-03-11/UK-shares-inch-higher-HSBC-AstraZeneca-cap-gains.html
34,HSBC- Barclays challenged over bond linked to Vietnamese ...,2 weeks ago,https://www.reuters.com/article/instant-article/idINKBN2AO14D
35,HSBC Global Asset Management Announces Changes to ...,1 week ago,https://www.businesswire.com/news/home/20210305005540/en/HSBC-Global-Asset-Management-Announces-Changes-to-Some-of-Its-Funds
36,HSBC Women's World Championship set for April return,6 days ago,https://www.lpga.com/news/2021/hsbc-womens-world-championship-set-for-april-return
37,HSBC BANK PLC - Form 8.5 (EPT/RI) - TalkTalk Telecom Group plc,2 days ago,https://finance.yahoo.com/news/hsbc-bank-plc-form-8-111100665.html
38,"HSBC Bank A.S. (Turkey) -- Moody's announces completion of a periodic 
review of ratings of HSBC Bank A.S. (Turkey)",2 days ago,https://finance.yahoo.com/news/hsbc-bank-turkey-moodys-announces-145007107.html
39,HSBC Among Top Bank Share Gainers in Asia on Reflation Bets,4 weeks ago,https://www.bloomberg.com/news/articles/2021-02-16/hsbc-among-top-bank-share-gainers-in-asia-on-reflation-bets
40,Huawei's CFO Takes HSBC to Hong Kong Court to Gain ...,2 weeks ago,https://www.bloomberg.com/news/articles/2021-02-26/huawei-s-cfo-takes-hsbc-to-court-in-hong-kong-to-gain-documents
41,HSBC launches £15bn fund to support COVID recovery,4 days ago,https://au.finance.yahoo.com/news/hsbc-sme-fund-2021-15-bn-covid-19-disruptive-entrepreneurship-000132839.html
42,HSBC launches FX hedging analytics tool for buy-side - The ...,6 days ago,https://www.thetradenews.com/hsbc-launches-fx-hedging-analytics-tool-for-buy-side/
43,UPDATE: HSBC Global Asset Management Announces ...,2 weeks ago,https://www.businesswire.com/news/home/20210224006113/en/UPDATE-HSBC-Global-Asset-Management-Announces-Change-to-the-HSBC-Emerging-Markets-Pooled-Fund
44,HSBC Holdings plc (HSBC) Ex-Dividend Date Scheduled for March 11- 2021,4 days ago,https://www.nasdaq.com/articles/hsbc-holdings-plc-hsbc-ex-dividend-date-scheduled-for-march-11-2021-2021-03-10
45,HSBC launches new regional focused SME lending fund for businesses to thrive,2 days ago,https://www.taxassist.co.uk/resources/news/hsbc-launches-new-regional-focused-sme-lending-fund-for-businesses-to-thrive
46,HSBC bosses try to quell banker anger over bonus cuts,2 days ago,https://www.straitstimes.com/business/banking/hsbc-bosses-try-to-quell-banker-anger-over-bonus-cuts
47,HSBC's interns received an incomprehensible object in the post,1 week ago,https://www.efinancialcareers.com/news/2021/03/hsbc-intern-gifts
48,HSBC BANK PLC - Form 8.5 (EPT/RI) - Calisen PLC,3 days ago,https://www.globenewswire.com/news-release/2021/03/11/2191105/0/en/HSBC-BANK-PLC-Form-8-5-EPT-RI-Calisen-PLC.html
49,HSBC launches luxury index for wealth clients in Malaysia,16 hours ago,https://www.nst.com.my/business/2021/03/673715/hsbc-launches-luxury-index-wealth-clients-malaysia
50,HSBC BANK PLC - Form 8.5 (EPT/RI) - Calisen PLC,3 days ago,https://www.globenewswire.com/news-release/2021/03/11/2191105/0/en/HSBC-BANK-PLC-Form-8-5-EPT-RI-Calisen-PLC.html
51,HSBC launches luxury index for wealth clients in Malaysia,16 hours ago,https://www.nst.com.my/business/2021/03/673715/hsbc-launches-luxury-index-wealth-clients-malaysia
52,HSBC: Rate Sensitivity And Improving Shareholder Returns,6 days ago,https://seekingalpha.com/article/4412218-hsbc-improving-shareholder-returns
53,"Asia-Pacific stocks mixed as investors watch tech shares; HSBC earnings 
beat expectations",3 weeks ago,https://www.cnbc.com/2021/02/23/asia-stocks-technology-shares-japan-markets-closed-hsbc-earnings-currencies-oil.html
54,"HSBC Bank (China) Company Limited -- Moody's places HSBC Bank (China) on 
review for downgrade; affirms Hang Seng Bank (China)'s deposit ratings with 
stable outlook",4 days ago,https://finance.yahoo.com/news/hsbc-bank-china-company-limited-124607351.html
55,Huawei confirms exec seeking HSBC records in Hong Kong court,3 days ago,https://au.finance.yahoo.com/news/huawei-confirms-exec-seeking-hsbc-042308305.html
56,Huawei CFO Meng Wanzhou loses lawsuit against HSBC in the UK,1 month ago,https://qz.com/1972171/huawei-cfo-meng-wanzhou-sues-hsbc-in-the-uk/
57,HSBC fraud helpline's 20-hour wait 'disgraceful',3 weeks ago,https://finance.yahoo.com/news/hsbc-fraud-helplines-20-hour-015837118.html
