,Title,Time,Link
0,KeyBank announces $40B investments in communities ...,10 hours ago,https://www.bizjournals.com/dayton/news/2021/03/14/keybank-investments.html
1,Biz Bites: New Winthrop Key Bank building owner; expansions ...,4 days ago,https://www.mainebiz.biz/article/biz-bites-new-winthrop-key-bank-building-owner-expansions-openings
2,AQN Strategies acquisition marks new era of predictive ...,15 hours ago,https://www.crainscleveland.com/finance/aqn-strategies-acquisition-marks-new-era-predictive-analytics-keybanks-business
3,Key Bank Center opens COVID vaccine clinic RADIO.COM,4 days ago,https://www.radio.com/wben/news/local/key-bank-center-opens-covid-vaccine-clinic
4,KeyBank branch consolidation reaches Buffalo- with eight ...,2 weeks ago,https://www.bizjournals.com/buffalo/news/2021/02/24/keybank-will-close-branches.html
5,KeyBank community investments include $107 million in ...,2 days ago,https://vermontbiz.com/news/2021/march/12/keybank-community-investments-include-107-million-vermont
6,"KeyBank to close eight locations in Western New York- consolidate some 
branches",2 weeks ago,https://www.wkbw.com/news/local-news/keybank-to-close-eight-locations-in-western-new-york-consolidate-some-branches
7,Former Downtown Key Bank Building Back on the Market ...,6 days ago,https://www.wrfalp.com/former-downtown-key-bank-building-back-on-the-market-could-still-qualify-for-1-million-in-state-funding/
8,"KeyBank of Cleveland expands plan to invest billions in low-income 
neighborhoods",3 days ago,https://www.cleveland.com/business/2021/03/keybank-of-cleveland-expands-plan-to-invest-billions-in-low-income-neighborhoods.html
9,The former Key Bank Plaza in downtown Anchorage is getting ...,1 month ago,https://www.adn.com/alaska-news/anchorage/2021/02/14/the-former-key-bank-plaza-in-downtown-anchorage-is-getting-a-glacier-like-facade-in-a-41-million-renovation/
10,KeyBank Announces $40B Investment In Communities ...,2 days ago,https://www.prnewswire.com/news-releases/keybank-announces-40b-investment-in-communities-including-affordable-housing-economic-inclusion-and-climate-change-funding-commitments-301246105.html
11,KeyBank Expands Community Commitment,2 days ago,https://www.bankerandtradesman.com/keybank-expands-community-commitment/
12,KeyBank consolidating branches- closing downtown tower location,4 weeks ago,https://www.daytondailynews.com/news/keybank-consolidating-branches-closing-downtown-tower-location/UOVC2CUHM5DARE267E6L4KABMQ/
13,Key Bank robbed in Macedonia; FBI searching for suspect,2 weeks ago,https://www.wkyc.com/article/news/crime/key-bank-robbed-macedonia/95-b15d29b4-6ed5-4c90-8afa-8098290c9b93
14,KeyBank to close Camden and Boothbay Harbor branches ...,1 week ago,https://www.boothbayregister.com/article/keybank-close-camden-and-boothbay-harbor-branches-coming-spring-not-anticipating-job-/144231
15,Erie County- PSE Opening Vaccination Site at KeyBank Center,1 week ago,https://spectrumlocalnews.com/nys/buffalo/news/2021/03/04/erie-county--pegula-sports---entertainment-opening-covid-19-vaccination-site-at-keybank-center
16,"KeyBank to expands community investment to $40 billion- including Dayton 
area",2 days ago,https://www.wdtn.com/news/local-news/keybank-to-invest-120-million-to-support-dayton-area/
17,KeyBank boosts community benefits plan target to $40 billion,3 days ago,https://buffalonews.com/news/local/keybank-boosts-community-benefits-plan-target-to-40-billion/article_1a50079e-81e5-11eb-91b1-bf4702c0b0b7.html
18,KeyBank provides $13 million in financing for affordable ...,2 days ago,https://rejournals.com/keybank-provides-13-million-in-financing-for-affordable-housing-in-cleveland/
19,KeyBank Vaccine Site Opens- Eligibility Expanded in New York,4 days ago,https://spectrumlocalnews.com/nys/buffalo/coronavirus/2021/03/10/keybank-vaccine-site-opens--eligibility-expanded-in-new-york
20,Change at the top for KeyBank in Pittsburgh as it seeks a new ...,1 week ago,https://www.bizjournals.com/pittsburgh/news/2021/03/05/change-at-the-top-for-keybank-in-pittsburgh.html
21,KeyBank boosts Community Benefits commitment to $40B,2 days ago,https://rbj.net/2021/03/12/keybank-boosts-community-benefits-commitment-to-40b/
22,Winthrop Historical Society purchases former Key Bank ...,1 week ago,https://www.centralmaine.com/2021/03/04/winthrop-historical-society-purchases-former-key-bank-building-for-future-headquarters/
23,Vaccination site for 65+ set to open at KeyBank Center,1 week ago,https://news.wbfo.org/post/vaccination-site-65-set-open-keybank-center
24,KeyBank will increase fund for equity- housing to $40B,2 days ago,https://www.mainebiz.biz/article/keybank-will-increase-fund-for-equity-housing-to-40b
25,Olympia police arrest man accused of robbing KeyBank,3 days ago,https://www.theolympian.com/news/local/crime/article249833948.html
26,Weekly 10: Top 10 KeyBank branches in WNY - Buffalo ...,2 weeks ago,https://www.bizjournals.com/buffalo/news/2021/02/25/keybank-daily-10.html
27,Stalled | News- Sports- Jobs,2 days ago,https://www.post-journal.com/news/local-news/2021/03/stalled/
28,KeyBank affordable housing funding will include $280M in ...,2 days ago,https://www.mainebiz.biz/article/keybank-affordable-housing-funding-will-include-280m-in-maine
29,"KeyBank Boosts Commitment To $40 Bln For Community Benefits Plan - Quick 
Facts",2 days ago,https://www.nasdaq.com/articles/keybank-boosts-commitment-to-%2440-bln-for-community-benefits-plan-quick-facts-2021-03-12
