,Title,Time,Link
0,Governor Launches “Operation Lone Star” To Protect Texas,6 days ago,https://kkyr.com/governor-abbott-launches-operation-lone-star-to-address-crisis-at-the-border/
1,A Year Later- NCAA Postseason Play Continues For LCU,2 days ago,https://lcuchaps.com/news/2021/3/12/womens-basketball-a-year-later-ncaa-postseason-play-continues-for-lcu.aspx
2,Texas Duo Improves To 5-1- Beach Volleyball Splits At FIU ...,1 day ago,https://fgcuathletics.com/news/2021/3/13/texas-duo-improves-to-5-1-beach-volleyball-splits-at-fiu-beach-bash.aspx
3,Company Profiles Hispanic American-Owned Banks by State,1 month ago,https://www.investopedia.com/hispanic-american-owned-banks-by-state-5094619
4,Home Sales Will Keep Growing- Even If Rates Rise. Here's Why,2 weeks ago,https://www.forbes.com/sites/palashghosh/2021/02/26/home-sales-will-keep-growing-even-if-rates-rise-heres-why/
5,Texas-sized relief being offered by DAV- USAA,2 weeks ago,https://www.radio.com/connectingvets/news/texas-sized-relief-being-offered-by-dav-usaa
6,"‘It is now time to open Texas 100%’: Lone Star State lifts statewide mask 
mandate",1 week ago,https://finance.yahoo.com/news/now-time-open-texas-100-025011279.html
7,Driving for 6: Tug of war- fireworks and missed layups with ...,5 days ago,https://www.pdclarion.com/sports/national/driving-for-6-tug-of-war-fireworks-and-missed-layups-with-brant-banks-could-nu/article_2024912d-7d03-5a7d-9e09-187cd99d74a7.html
8,"Longview Museum of Fine Arts plans to open in new mid-century modern space 
summer of 2022",1 week ago,https://www.kltv.com/2021/03/05/longview-museum-fine-arts-plans-open-new-mid-century-modern-space-summer/
9,West Texas A&M sports news in brief,4 days ago,https://www.amarillo.com/story/sports/2021/03/10/west-texas-a-m-sports-news-brief/6941945002/
10,TAMUC – Sports – EastTexasRadio.com,1 day ago,https://easttexasradio.com/tamuc-sports-408/
11,Harlingen police looking for bank robbery suspect,"Nov 3, 2020",https://www.valleycentral.com/news/harlingen-police-looking-for-bank-robbery-suspect/
12,"Megan Thee Stallion & Beyonce Win Best Rap Performance For ""Savage"" | 2021 
GRAMMY Awards Show",2 hours ago,https://www.grammy.com/grammys/news/megan-thee-stallion-beyonce-win-best-rap-performance-savage-2021-grammy-awards-show
13,"Burglars use stolen pickup truck with chain in destruction- theft of ATM- 
police say","Jul 10, 2020",https://www.ksat.com/news/local/2020/07/10/burglars-use-stolen-pickup-truck-with-chain-in-destruction-theft-of-atm-police-say/
14,How Paycheck Protection Program loans were split in Hays ...,"Jan 7, 2021",https://haysfreepress.com/2021/01/07/how-paycheck-protection-program-loans-were-split-in-hays-county/
15,Unity National Bank of Houston eyes larger loans after Bank of ...,"Oct 19, 2020",https://www.bizjournals.com/houston/news/2020/10/19/unity-national-bank-bank-of-america-investment.html
16,40 For Forty: 40 Amazing Things About The Community ...,4 days ago,https://www.woodlandsonline.com/npps/story.cfm?nppage=69484
17,"Auto Insurance Shopping Stabilizes- State-Level Competition Intensifies: 
J.D. Power",5 days ago,https://www.insurancejournal.com/news/national/2021/03/09/604374.htm
18,Texas Bankers Support Food Banks Following Historic Winter ...,3 weeks ago,http://www.irvingweekly.com/s/3319/Texas-Bankers-Support-Food-Banks-Following-Historic-Winter-Storm.php
19,Magnolia plays Frisco Lone Star Friday at Community ...,"Dec 14, 2020",https://www.corsicanadailysun.com/sports/magnolia-plays-frisco-lone-star-friday-at-community-national-bank-trust-of-texas-stadium/article_090a713e-3e35-11eb-a302-37ac78bbacf9.html
20,Magnolia plays Frisco Lone Star Friday at Community ...,"Dec 14, 2020",https://www.corsicanadailysun.com/sports/magnolia-plays-frisco-lone-star-friday-at-community-national-bank-trust-of-texas-stadium/article_090a713e-3e35-11eb-a302-37ac78bbacf9.html
21,City of San Antonio- banks host job fair,3 days ago,https://www.mysanantonio.com/news/local/article/City-of-San-Antonio-virtual-job-fair-16017589.php
22,Lone Star Bank Fined by FinCen For Violating PATRIOT,"Nov 8, 2017",https://www.natlawreview.com/article/fincen-fines-texas-bank-2m-alleged-failure-to-vet-and-monitor-mexican-correspondent
23,Regulators drop hammer on Lone Star National Bank,"Apr 22, 2015",https://www.expressnews.com/business/local/article/Regulators-drop-hammer-on-Lone-Star-National-Bank-6217662.php
24,Lone Star Capital Bank to acquire Business Bank of Texas ...,"Dec 28, 2020",https://www.bizjournals.com/sanantonio/news/2020/12/28/san-antonio-bank-to-acquire-community-bank-austin.html
25,"Oil and gas stocks lead record-breaking charge for S&P 500 as winter blast 
sends energy prices soaring",4 weeks ago,https://markets.businessinsider.com/news/stocks/oil-and-gas-stocks-soar-winter-blast-energy-prices-higher-2021-2-1030088299
26,Frost Bank- Broadway Bank distributed more PPP loans than ...,"Jul 7, 2020",https://www.bizjournals.com/sanantonio/news/2020/07/07/local-banks-distributed-more-ppp.html
27,Regulators release South Texas bank from ‘troubled condition’,"Aug 22, 2017",https://www.mysanantonio.com/business/local/article/Regulators-release-South-Texas-bank-from-11950400.php
28,Fiesta Commission elects new officers - San Antonio Business ...,"Jun 29, 2020",https://www.bizjournals.com/sanantonio/news/2020/06/29/fiesta-elects-new-officers.html
29,"Houston-area warming centers open- ready for anyone in need of shelter due 
to severe cold weather",1 month ago,https://www.khou.com/article/news/local/grb-convention-center-emergency-shelter-winter-weather/285-399d4516-3ebc-43f1-bbee-4025572e73bf
30,FDIC: Texas banks' net income fare better than national ...,"Sep 17, 2020",https://www.bizjournals.com/houston/news/2020/09/17/fdic-texas-banks.html
31,Harlingen police arrest bank robbery suspect,"Nov 4, 2020",https://www.valleycentral.com/news/local-news/harlingen-police-arrest-bank-robbery-suspect/
32,Rio Grande Valley businessman pleads guilty to wire fraud in ...,"May 23, 2020",http://www.krgv.com/news/rio-grande-valley-businessman-pleads-guilty-to-wire-fraud-in-weslaco-hotel-bribery-case/
33,Lone Star Funds Offers to Meet Halfway,"Nov 23, 2020",http://www.businesskorea.co.kr/news/articleView.html?idxno=55525
34,National Bank's SME growth fund raises initial C$200m,"Jan 12, 2021",https://www.pehub.com/national-banks-sme-growth-fund-raises-initial-c200m/
35,Lubbock National Bank to offer third round of PPP loans,"Dec 28, 2020",https://www.everythinglubbock.com/news/local-news/lubbock-national-bank-to-offer-third-round-of-ppp-loans/
36,Looking back on 2020's local banking/finance news - San ...,"Dec 29, 2020",https://www.bizjournals.com/sanantonio/news/2020/12/29/looking-back-on-local-banking-financial-news.html
37,Lone Star National closing a San Antonio branch,"Jan 13, 2017",https://www.mysanantonio.com/business/local/article/Lone-Star-National-closing-a-San-Antonio-branch-10856784.php
38,Texas and Texas A&M revive Lone Star Showdown Rivalry for ...,"Aug 11, 2020",https://texassports.com/news/2020/8/11/texas-athletics-texas-and-texas-am-revive-lone-star-showdown-rivalry-for-2020-college-colors-day-competition.aspx
39,Lone Star Air: Liberia's New National Airline,"Oct 6, 2020",https://onemileatatime.com/lone-star-air-liberia/
40,Texas and Texas A&M revive Lone Star Showdown Rivalry for ...,"Aug 11, 2020",https://texassports.com/news/2020/8/11/texas-athletics-texas-and-texas-am-revive-lone-star-showdown-rivalry-for-2020-college-colors-day-competition.aspx
41,Lone Star Air: Liberia's New National Airline,"Oct 6, 2020",https://onemileatatime.com/lone-star-air-liberia/
42,Photos: Ron Farmer's photos from the Frisco Lone Star ...,"Dec 19, 2020",https://www.corsicanadailysun.com/sports/photos-ron-farmers-photos-from-the-frisco-lone-star-magnolia-football-playoff-game/article_80988494-421c-11eb-97b9-9f451d8bf0af.html
43,Industry Ink: City National Bank- Songshine Media- T. Graham ...,"Jan 4, 2021",https://musicrow.com/2021/01/industry-ink-city-national-bank-songshine-media-t-graham-brown/
44,Hidalgo County- Cameron County collect more in property tax ...,"Oct 26, 2020",http://www.krgv.com/news/hidalgo-county-cameron-county-collect-more-in-property-tax-revenue/
45,"Volunteers needed for upcoming Grand Prairie food drives at Lone Star Park 
and Gateway Church","Jan 7, 2021",https://www.dallasnews.com/news/2021/01/07/volunteers-needed-for-upcoming-grand-prairie-food-drives-at-lone-star-park-and-gateway-church/
46,These Houston-area businesses were approved for PPP ...,"Jul 7, 2020",https://www.bizjournals.com/houston/news/2020/07/07/houston-businesses-5m-or-more-in-ppp-loans.html
47,"Lone Star Park will host a drive-through food pantry with North Texas Food 
Bank Friday","Aug 27, 2020",https://www.dallasnews.com/news/2020/08/27/lone-star-park-will-host-a-drive-through-food-pantry-with-north-texas-food-bank-friday/
48,Lone Star Funds snaps up another JPI apartment community in Garland,1 month ago,https://www.dallasnews.com/business/real-estate/2021/02/03/lone-star-funds-snaps-up-another-jpi-apartment-community-in-garland/
49,Alonzo Cantu buys Super Splash- may build soccer stadium,"Jun 10, 2015",https://www.valleycentral.com/news/local-news/alonzo-cantu-buys-super-splash-may-build-soccer-stadium/
