,Title,Time,Link
0,Mizuho Bank Hit by Fresh System Glitch,2 days ago,https://www.nippon.com/en/news/yjj2021031201197/
1,Mizuho hit by 4th glitch in 2 weeks- pressure mounts on ...,2 days ago,https://english.kyodonews.net/news/2021/03/1e48a78ca7e5-breaking-news-mizuho-bank-hit-by-another-system-glitch.html
2,System glitch at Mizuho Bank leads to overseas remittance delay,2 days ago,https://www.nasdaq.com/articles/system-glitch-at-mizuho-bank-leads-to-overseas-remittance-delay-2021-03-12
3,Mizuho hit by fourth glitch in two weeks as pressure mounts on ...,1 day ago,https://www.japantimes.co.jp/news/2021/03/13/business/corporate-business/mizuho-banks-glitches/
4,CORRECTED-UPDATE 2-System glitch at Mizuho Bank leads to remittance delay,2 days ago,https://www.reuters.com/article/japan-banks-mizuho/corrected-update-2-system-glitch-at-mizuho-bank-leads-to-remittance-delay-idUSL1N2LA0VF
5,Mizuho Bank hit by 4th system glitch in 2 weeks,1 day ago,https://the-japan-news.com/news/article/0007222608
6,Japan's Mizuho Bank restores ATM services after card-eating ...,2 weeks ago,https://www.japantimes.co.jp/news/2021/03/01/business/corporate-business/mizuho-bank-glitch-continues/
7,Mizuho bank suspends data transferring work,1 week ago,https://www.japantimes.co.jp/news/2021/03/06/business/corporate-business/mizuho-digital-data-glitch/
8,Mizuho Bank blames switch to digital passbook for ATM outage,1 week ago,https://english.kyodonews.net/news/2021/03/aa3afa21c4df-mizuho-bank-blames-switch-to-digital-passbook-for-atm-outage.html
9,More pressure on Mizuho after fourth glitch in two weeks : The ...,1 day ago,http://www.asahi.com/ajw/articles/14265648
10,URGENT: Mizuho Bank's 300 overseas remittances affected ...,2 days ago,https://www.nippon.com/en/news/kd743089286575570944/urgent-mizuho-bank's-300-overseas-remittances-affected-by-system-trouble.html
11,Lack of Precaution behind Mizuho Bank System Glitch,1 week ago,https://www.nippon.com/en/news/yjj2021030201178/
12,Mizuho ATM outage triggered by digital passbook shift,1 week ago,https://www.japantimes.co.jp/news/2021/03/04/business/mizuho-bank-banks-atms/
13,China stocks jump on upbeat lending data- Hong Kong tracks Wall Street rally,3 days ago,https://www.reuters.com/article/china-stocks-midday/china-stocks-jump-on-upbeat-lending-data-hong-kong-tracks-wall-street-rally-idUSL1N2L907O
14,Mizuho- LINE Increase Investments In Bid To Launch ‘Smartphone Bank’,3 weeks ago,https://www.pymnts.com/digital-first-banking/2021/mizuho-line-investments-smartphone-bank/
15,3000 Mizuho Bank ATMs Hit by System Breakdown,2 weeks ago,https://www.nippon.com/en/news/yjj2021022800220/
16,Mizuho Bank apologizes to irate customers over latest snafu ...,2 weeks ago,http://www.asahi.com/ajw/articles/14233527
17,Mizuho and Line raise investment in build for new smartphone ...,3 weeks ago,https://www.finextra.com/pressarticle/86255/mizuho-and-line-raise-investment-in-build-for-new-smartphone-bank
18,Serbia's development agency- Mizuho Bank to jointly support ...,1 week ago,https://seenews.com/news/serbias-development-agency-mizuho-bank-to-jointly-support-japanese-investors-733166
19,Mizuho Bank ordered to report preventive steps over major ...,1 week ago,https://mainichi.jp/english/articles/20210304/p2g/00m/0bu/017000c
20,Japan's Mizuho Bank ATMs face another temporary hiccup on ...,6 days ago,https://mainichi.jp/english/articles/20210308/p2a/00m/0na/004000c
21,Mizuho Bank's ATMs swallow customer cards under new ...,1 week ago,http://www.asahi.com/ajw/articles/14239409
22,Mizuho Financial to appoint Kato as CEO of bank unit,3 weeks ago,https://asia.nikkei.com/Business/Finance/Mizuho-Financial-to-appoint-Kato-as-CEO-of-bank-unit
23,UPDATE 1-Japan's Mizuho halts service at card-eating ATMs,2 weeks ago,https://www.reuters.com/article/mizuho-glitch-idUSL2N2KY05M
24,Moody's Fully Supported Municipal & IRB Deals,3 days ago,https://finance.yahoo.com/news/moodys-fully-supported-municipal-irb-131304027.html
25,"Custodial Receipts (Mizuho Bank)- Custodial Receipts- Series 2020-XF2892 -- 
Moody's reviews amendment for Tender Option Bond Trust and Custody 
Receipts- Series 2020-XF2892",2 weeks ago,https://finance.yahoo.com/news/custodial-receipts-mizuho-bank-custodial-151606053.html
26,Line- Mizuho invest more in planned online bank,3 weeks ago,https://koreajoongangdaily.joins.com/2021/02/23/business/finance/line-line-bank-line-financial/20210223180000358.html
27,Bitcoin Bank Market 2025: Robinhood- Coinbase- Circle ...,12 hours ago,https://neighborwebsj.com/uncategorized/4679308/bitcoin-bank-market-2025-robinhood-coinbase-circle-nextbank-e-btcbank-mizuho-bitbank-elliptic-vault/
28,Stimulus Checks Bring Hope for Bull Market Roiled by Bond ...,4 days ago,https://www.bloomberg.com/news/articles/2021-03-10/stimulus-checks-bring-hope-for-bull-market-roiled-by-bond-yields
29,"Asia-Pacific markets mixed as shares in South Korea- China struggled for 
gains",5 days ago,https://www.cnbc.com/2021/03/09/asia-markets-us-stimulus-package-reaction-dollar-and-oil-moves.html
30,Sterling falls 0.8% versus dollar as Treasury yields climb,2 days ago,https://www.kitco.com/news/2021-03-12/Sterling-falls-0-8-versus-dollar-as-Treasury-yields-climb.html
31,Enel signs record SLL,2 days ago,https://www.nasdaq.com/articles/enel-signs-record-sll-2021-03-12
32,China Rolls Over $31 Billion in Medium-Term Loans to Banks,3 weeks ago,https://www.bloomberg.com/news/articles/2021-02-18/china-s-central-bank-rolls-over-31-billion-in-medium-term-funds
33,China's yuan firms on dollar weakness- stronger guidance,3 days ago,https://www.nasdaq.com/articles/chinas-yuan-firms-on-dollar-weakness-stronger-guidance-2021-03-10
34,FOREX-Dollar gains across the board as Powell sticks to script,1 week ago,https://www.reuters.com/article/global-forex/forex-dollar-gains-across-the-board-as-powell-sticks-to-script-idUSL2N2L30M5
35,Dollar jumps as U.S. jobs growth beats expectations,1 week ago,https://www.cnbc.com/2021/03/04/forex-markets-dollar-japanese-yen-us-federal-reserve-jerome-powell.html
36,Mitsubishi UFJ Financial faces growing credit risk from lending ...,4 weeks ago,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/mitsubishi-ufj-financial-faces-growing-credit-risk-from-lending-outside-japan-62583111
37,EMERGING MARKETS-Asia stocks mostly higher on positive U.S.- China cues,4 days ago,https://www.nasdaq.com/articles/emerging-markets-asia-stocks-mostly-higher-on-positive-u.s.-china-cues-2021-03-09
38,K Line working with Nokia to bridge shipping's 10-year sat ...,2 days ago,https://splash247.com/k-line-working-with-nokia-to-bridge-shippings-10-year-sat-comms-gap/
39,Digital Dollar Exploration Gets Backing From Treasury Secretary Yellen,3 weeks ago,https://www.pymnts.com/digital-payments/2021/digital-dollar-exploration-gets-backing-from-treasury-secretary-yellen/
40,Global Pacific Lottery Market Global Growth- Opportunities ...,1 day ago,https://neighborwebsj.com/uncategorized/4636911/global-pacific-lottery-market-global-growth-opportunities-industry-analysis-forecast-china-exp-macao-welfare-lottery-china-exp-macao-sports-lottery-hong-kong-jockey-club/
41,First climate transition finance in Japan,1 day ago,https://en.portnews.ru/news/310076/
42,Why investors are putting biodiversity on the balance sheet ...,1 week ago,https://www.greenbiz.com/article/why-investors-are-putting-biodiversity-balance-sheet
43,Mizuho concludes deal with Furukawa Electric,2 weeks ago,https://sbr.com.sg/financial-services/news/mizuho-concludes-deal-furukawa-electric
44,"""K"" Line takes delivery of next-generation LNG fueled car ...",1 day ago,https://en.portnews.ru/news/310073/
45,Asian shares rise on back of US stimulus bill,6 days ago,https://www.irishtimes.com/business/markets/asian-shares-rise-on-back-of-us-stimulus-bill-1.4504277
46,China is sounding the alarm about a global market bubble ...,2 weeks ago,https://keyt.com/news/money-and-business/2021/03/02/china-is-sounding-the-alarm-about-a-global-market-bubble/
47,Sterling tumbles as bond yields climb again,2 days ago,https://www.cityam.com/sterling-tumbles-as-bond-yields-climb-again/
48,"CUSTODY SERVICES MARKET(COVID-19 UPDATED) OUTLOOK AND GROWTH STANCE 
FORECASTED THROUGH 2026 | Northern Trust Corporation- BNP Paribas- JPMorgan 
Chase- HSBC Holdings- Citigroup- Royal Bank of Canada- Pictet Group- 
Mainstream Group Holdings",3 days ago,https://www.mccourier.com/custody-services-marketcovid-19-updated-outlook-and-growth-stance-forecasted-through-2026-northern-trust-corporation-bnp-paribas-jpmorgan-chase-hsbc-holdings-citigroup-royal-bank-of-canada-p/
49,New release: Worldwide Investment Opportunities in Letter of ...,6 days ago,https://www.whatech.com/markets-research/financial-services/687602-new-release-worldwide-investment-opportunities-in-letter-of-credit-confirmation-market-by-2027-jp-morgan-chase-co-mizuho-bank-ltd-mufg-bank-scotiabank-standard-chartered-sumitomo-mitsui-banking-corp
50,Lotteries Market In-Depth Analysis including key players ...,2 days ago,https://neighborwebsj.com/uncategorized/4601856/lotteries-market-in-depth-analysis-including-key-players-china-welfare-lottery-china-sports-lottery-hong-kong-jockey-club/
51,NIO Stock Price Increased 22.97% This Past Week: Why It Happened,1 day ago,https://pulse2.com/nio-stock-price-nyse-nio-increased-22-97-this-past-week/
52,PNB to infuse P515M into leasing arm,3 weeks ago,https://www.bworldonline.com/pnb-to-infuse-p515m-into-leasing-arm/
53,STI rises 1.22% as investors rotate out of tech stocks into ...,5 days ago,https://www.straitstimes.com/business/companies-markets/sti-rises-122-as-investors-rotate-out-of-tech-stocks-into-cyclical
54,Rotation out of tech stocks into cyclical counters lifts STI,5 days ago,https://www.straitstimes.com/business/companies-markets/rotation-out-of-tech-stocks-into-cyclical-counters-lifts-sti
55,"Erneute Störung bei der Mizuho Bank sorgte für Probleme bei Überweisungen 
in Fremdwährung",9 hours ago,https://sumikai.com/nachrichten-aus-japan/erneute-stoerung-bei-der-mizuho-bank-sorgte-fuer-probleme-bei-ueberweisungen-in-fremdwaehrung-289988/
56,Exclusive: An 'industry custom' - Little-known fees help Japan ...,2 weeks ago,https://www.nippon.com/en/news/reu20210301KCN2AT106/
57,Bank of Åland Plc: Managers' Transactions (Erikslund),5 days ago,https://finance.yahoo.com/news/bank-land-plc-managers-transactions-083000615.html
58,Mizuho to become first Japanese bank to sell consumer data,"Nov 10, 2020",https://www.japantimes.co.jp/news/2020/11/10/business/corporate-business/mizuho-consumer-data/
59,Thinking About Buying Stock In ADT- Nio- Tesla Or Li Auto?,3 days ago,https://www.benzinga.com/analyst-ratings/upgrades/21/03/20118530/thinking-about-buying-stock-in-adt-nio-tesla-or-li-auto
60,Fitch Assigns 'A-' Rating to Mizuho Markets Cayman LP's ...,1 month ago,https://www.fitchratings.com/research/banks/fitch-assigns-a-rating-to-mizuho-markets-cayman-lp-guaranteed-senior-note-programme-20-01-2021
61,Japan's Fujitsu- JCB- Mizuho Bank Test Blockchain-Based ID System,"Oct 15, 2020",https://www.pymnts.com/innovation/2020/japans-fujitsu-jcb-mizuho-bank-test-blockchain-based-id-system/
62,JCB- Mizuho Bank and Fujitsu to test blockchain-based ...,"Oct 19, 2020",https://www.nfcw.com/2020/10/19/368706/jcb-mizuho-bank-and-fujitsu-to-test-blockchain-based-identity-exchange-technology-for-securing-transactions/
63,"As World Heads toward Smartphone/FIDO for Authentication- Mizuho Bank Goes 
in Opposite Direction","Apr 15, 2020",https://www.paymentsjournal.com/as-world-heads-toward-smartphone-fido-for-authentication-mizuho-bank-goes-in-opposite-direction/
64,Hokkaido Airports Co takes full control of Hokkaido's 7 airports,3 days ago,https://centreforaviation.com/analysis/reports/hokkaido-airports-co-takes-full-control-of-hokkaidos-seven-airports-553953
65,SPARX Group- Toyota Motor Corporation- Sumitomo Mitsui ...,"Nov 2, 2020",https://www.automotiveworld.com/news-releases/sparx-group-toyota-motor-corporation-sumitomo-mitsui-banking-corporation-mufg-bank-and-mizuho-bank-form-partnership-to-establish-a-new-fund/
66,Mizuho becomes first Japan megabank to set fee for new ...,"Aug 21, 2020",https://www.japantimes.co.jp/news/2020/08/21/business/mizuho-first-japan-bank-passbook-fee/
67,Mizuho Is Latest Bank To Sell Customer Data,"Nov 9, 2020",https://www.pymnts.com/data/2020/mizuho-latest-bank-to-sell-customer-data/
68,Fitch Revises Outlook on Mizuho and Subsidiaries' IDRs to ...,"Aug 4, 2020",https://www.fitchratings.com/research/banks/fitch-revises-outlook-on-mizuho-subsidiaries-idrs-to-negative-04-08-2020
69,Fitch Revises Outlook on Mizuho and Subsidiaries to Stable ...,"Sep 24, 2020",https://www.fitchratings.com/research/banks/fitch-revises-outlook-on-mizuho-subsidiaries-to-stable-affirms-ratings-24-09-2020
70,JCB- Mizuho Bank and Fujitsu to test blockchain-based ...,"Oct 19, 2020",https://www.nfcw.com/2020/10/19/368706/jcb-mizuho-bank-and-fujitsu-to-test-blockchain-based-identity-exchange-technology-for-securing-transactions/
71,"As World Heads toward Smartphone/FIDO for Authentication- Mizuho Bank Goes 
in Opposite Direction","Apr 15, 2020",https://www.paymentsjournal.com/as-world-heads-toward-smartphone-fido-for-authentication-mizuho-bank-goes-in-opposite-direction/
72,Hokkaido Airports Co takes full control of Hokkaido's 7 airports,3 days ago,https://centreforaviation.com/analysis/reports/hokkaido-airports-co-takes-full-control-of-hokkaidos-seven-airports-553953
73,SPARX Group- Toyota Motor Corporation- Sumitomo Mitsui ...,"Nov 2, 2020",https://www.automotiveworld.com/news-releases/sparx-group-toyota-motor-corporation-sumitomo-mitsui-banking-corporation-mufg-bank-and-mizuho-bank-form-partnership-to-establish-a-new-fund/
74,Mizuho becomes first Japan megabank to set fee for new ...,"Aug 21, 2020",https://www.japantimes.co.jp/news/2020/08/21/business/mizuho-first-japan-bank-passbook-fee/
75,Mizuho Is Latest Bank To Sell Customer Data,"Nov 9, 2020",https://www.pymnts.com/data/2020/mizuho-latest-bank-to-sell-customer-data/
76,Fitch Revises Outlook on Mizuho and Subsidiaries' IDRs to ...,"Aug 4, 2020",https://www.fitchratings.com/research/banks/fitch-revises-outlook-on-mizuho-subsidiaries-idrs-to-negative-04-08-2020
77,Fitch Revises Outlook on Mizuho and Subsidiaries to Stable ...,"Sep 24, 2020",https://www.fitchratings.com/research/banks/fitch-revises-outlook-on-mizuho-subsidiaries-to-stable-affirms-ratings-24-09-2020
78,Japan banks ink $330 mil. deal for Qatar's 1st mega solar project,"Aug 13, 2020",https://english.kyodonews.net/news/2020/08/02a3f9725eff-japan-banks-ink-330-mil-deal-for-qatars-1st-mega-solar-project.html
79,Mizuho Is Said to Hire Moelis Technology Banker Zach Righellis,"Dec 23, 2020",https://www.bloomberg.com/news/articles/2020-12-23/mizuho-is-said-to-hire-moelis-technology-banker-zach-righellis
80,Fujitsu- JCB and Mizuho to test digital identity interoperability,"Oct 20, 2020",https://www.finextra.com/newsarticle/36778/fujitsu-jcb-and-mizuho-to-test-digital-identity-interoperability
81,Coupang rides out tech turmoil,2 days ago,https://www.ifre.com/story/2777369/coupang-rides-out-tech-turmoil-5ypck0pstt
82,ITFC and Mizuho pen US$100mn trade finance agreement,"Sep 22, 2020",https://www.gtreview.com/news/global/itfc-and-mizuho-pen-us100mn-trade-finance-agreement/
83,"UPDATE 1-Japan bank Mizuho's profit slides 24.6% as credit costs rise amid 
virus","Jul 31, 2020",https://www.reuters.com/article/mizuho-results-idUSL3N2F22M1
84,Mizuho veterans launch SDG-focused infrastructure growth firm,"Oct 28, 2020",https://citywireselector.com/news/mizuho-veterans-launch-sdg-focused-infrastructure-growth-firm/a1418550
85,Mizuho employees to get option to work three days a week ...,"Oct 8, 2020",https://www.japantimes.co.jp/news/2020/10/08/business/corporate-business/mizuho-employees-three-days-a-week/
86,Mizuho Bank- Think Tank Lose 2.5 M. Pieces of Personal Info,"Jul 21, 2020",https://www.nippon.com/en/news/yjj2020072101125/
87,Fitch Downgrades Mizuho and Subsidiaries' Viability Ratings ...,"Apr 8, 2020",https://www.fitchratings.com/research/structured-finance/fitch-downgrades-mizuho-subsidiaries-viability-ratings-affirms-idrs-08-04-2020
88,Mizuho- Japan's first megabank- facing tough going again 20 ...,"Sep 29, 2020",https://www.japantimes.co.jp/news/2020/09/29/business/corporate-business/mizuho-megabank/
89,In quest to go paperless (and save money)- Mizuho to start ...,"Aug 30, 2020",https://japantoday.com/category/features/kuchikomi/in-quest-to-go-paperless-(and-save-money)-mizuho-to-start-charging-for-bank-books
90,Wells Fargo and Mizuho are in the market for U.S. banking MDs,"Sep 14, 2020",https://www.efinancialcareers.com/news/2020/09/wells-fargo-mizuho-hiring-wall-street
91,Mizuho to shrink New York and London offices following ...,"Sep 24, 2020",https://www.japantimes.co.jp/news/2020/09/24/business/corporate-business/mizuho-shrink-new-york-london-offices/
92,Announcement Regarding Filing of Annual Report on Form 20 ...,"Jul 2, 2020",https://www.globenewswire.com/news-release/2020/07/02/2057230/0/en/Announcement-Regarding-Filing-of-Annual-Report-on-Form-20-F-with-the-U-S-Securities-and-Exchange-Commission.html
93,Mizuho Financial Group raises full year profit outlook on ...,"Nov 12, 2020",https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/mizuho-financial-group-raises-full-year-profit-guidance-on-improving-outlook-61251814
