,Title,Time,Link
0,Royal Bank of Scotland (RBS) Q4 2020 Earnings Call Transcript,3 weeks ago,https://www.fool.com/earnings/call-transcripts/2021/02/19/royal-bank-of-scotland-rbs-q4-2020-earnings-call-t/
1,Developer Loses Bid To Revive £34M Suit Over RBS Treatment,3 days ago,https://www.law360.com/articles/1363768/developer-loses-bid-to-revive-34m-suit-over-rbs-treatment
2,Royal Bank of Scotland least popular bank with customers,4 weeks ago,https://www.thetimes.co.uk/article/royal-bank-of-scotland-least-popular-bank-with-customers-mzvsdhlvg
3,Microcredit Market 2028 Outlook- Key End Users- Leading ...,4 hours ago,https://neighborwebsj.com/uncategorized/4697609/microcredit-market-2028-outlook-key-end-users-leading-players-bank-of-america-citigroup-royal-bank-of-scotland-hsbc-group-wells-fargo-bank-mitsubishi-ufj-financial-group-icbc-credit-agricol/
4,UK Mortgage Market Growth Acceleration by 2028 with Al ...,1 day ago,https://ksusentinel.com/2021/03/13/uk-mortgage-market-growth-acceleration-by-2028-with-al-rayan-bank-nationwide-lloyds-banking-group-royal-bank-of-scotland-santander-nationwide-hsbc-barclays-molo-tandem-moneysupermarket-dash/
5,Third-Party Banking Services Market is booming worldwide By ...,2 days ago,https://ksusentinel.com/2021/03/12/third-party-banking-services-market-is-booming-worldwide-by-top-leading-vendors-santander-royal-bank-of-scotland-group-barclays-bank-hsbc-group-lloyds-group-nationwide-danske-bank-bank-of-ir/
6,Open Banking Market Share 2021 by Global Players – Royal ...,1 day ago,https://neighborwebsj.com/uncategorized/4607125/open-banking-market-share-2021-by-global-players-royal-bank-of-scotland-lloyds-banking-group-schroders-careers-in-investment-banking-hsbc-holdings-nationwide-building-society-standard-chartere/
7,Open Banking Financial Services Market Skyrocketing by ...,5 days ago,https://ksusentinel.com/2021/03/09/open-banking-financial-services-market-skyrocketing-by-2028-with-royal-bank-of-scotland-lloyds-banking-group-schroders-hsbc-holdings-nationwide-building-society-standard-chartered-plc-barclay/
8,RBS owner NatWest and Barclays in sharp focus with full-year numbers,1 month ago,https://www.scotsman.com/business/rbs-owner-natwest-and-barclays-sharp-focus-full-year-numbers-3133011
9,Aberdeen -based Highlandwear firm McCalls adapts with ...,3 weeks ago,https://www.heraldscotland.com/business_hq/19101956.aberdeen--based-highlandwear-firm-mccalls-adapts-royal-bank-scotland-funding/
