,Title,Time,Link
0,Have Insiders Sold U.S. Bancorp (NYSE:USB) Shares Recently?,8 hours ago,https://simplywall.st/stocks/us/banks/nyse-usb/us-bancorp/news/have-insiders-sold-us-bancorp-nyseusb-shares-recently
1,U.S. Bancorp (USB)- an Attractive Detractor?,3 days ago,https://finance.yahoo.com/news/u-bancorp-usb-attractive-detractor-175236924.html
2,U.S. Bancorp stock outperforms competitors on strong trading day,2 days ago,https://www.marketwatch.com/story/u-s-bancorp-stock-outperforms-competitors-on-strong-trading-day-01615588434-ff8061a24b3e
3,Is U.S. Bancorp a Great Dividend Stock?,1 week ago,https://www.fool.com/investing/2021/03/04/is-us-bancorp-a-great-dividend-stock/
4,U.S. Bancorp to speak at the RBC Capital Markets Financial ...,1 week ago,https://www.valdostadailytimes.com/news/business/u-s-bancorp-to-speak-at-the-rbc-capital-markets-financial-institutions-conference/article_2476fb06-9330-5a7f-b177-acfdd05eadb6.html
5,U.S. Bancorp rolls out a plan to fight racial wealth gap,3 weeks ago,https://www.startribune.com/u-s-bancorp-rolls-out-a-plan-to-fight-racial-wealth-gap/600024034/
6,At $53- U.S. Bancorp Stock Is Costly,2 weeks ago,https://www.forbes.com/sites/greatspeculations/2021/02/26/at-53-us-bancorp-stock-is-costly/
7,U.S. Bancorp stock falls Thursday- underperforms market,3 days ago,https://www.marketwatch.com/story/u-s-bancorp-stock-falls-thursday-underperforms-market-01615502060-010fa5285aa7
8,US Bancorp CEO's pay dropped 40% in 2020,4 days ago,https://www.startribune.com/u-s-bancorp-ceo-s-pay-dropped-40-in-2020/600032527/
9,Most of US Bank's business down in 2020 vs. 2019,2 weeks ago,https://www.bizjournals.com/twincities/news/2021/02/25/only-one-of-u-s-banks-business-lines.html
10,US Bancorp sets an example,3 weeks ago,https://www.startribune.com/u-s-bancorp-sets-an-example/600024718/
11,U.S. Bancorp stock rises Wednesday- outperforms market,4 days ago,https://www.marketwatch.com/story/u-s-bancorp-stock-rises-wednesday-outperforms-market-01615415607-48aa44b772a9
12,"Why Bank of America- US Bancorp- and Synovus Financial Rose More Than 13.7% 
in February",1 week ago,https://www.fool.com/investing/2021/03/07/why-bank-of-america-us-bancorp-and-synovus-financi/
13,U.S. Bancorp announces redemption of all outstanding ...,1 week ago,https://www.valdostadailytimes.com/news/business/u-s-bancorp-announces-redemption-of-all-outstanding-depositary-shares-representing-interests-in-its-series/article_8c901b2c-c7dd-55d1-92fa-6d34feb99c9f.html
14,U.S. Bancorp stock rises Tuesday- outperforms market,3 weeks ago,https://www.marketwatch.com/story/u-s-bancorp-stock-rises-tuesday-outperforms-market-01614119670-cc66a6883a21
15,U.S. Bancorp stock falls Tuesday- underperforms market,5 days ago,https://www.marketwatch.com/story/u-s-bancorp-stock-falls-tuesday-underperforms-market-01615329256-be1cb96bb92e
16,U.S. Bancorp stock falls Thursday- still outperforms market,1 week ago,https://www.marketwatch.com/story/u-s-bancorp-stock-falls-thursday-still-outperforms-market-01614897285-661260362405
