,Title,Time,Link
0,Stock picks to buy- 13 contrarian names and rationale for each: UBS,2 days ago,https://www.businessinsider.com/stock-picks-to-buy-13-compelling-contrarian-stocks-surge-ubs-2021-3
1,Wirehouse Wars: UBS Nabs $5.9-Mln Morgan Stanley Team in Houston,3 days ago,https://advisorhub.com/wirehouse-wars-ubs-nabs-5-9-mln-morgan-stanley-team-in-houston/
2,These Value and ESG Stocks Are Among UBS’ Favorites in Emerging Markets,3 days ago,https://www.barrons.com/articles/these-value-and-esg-stocks-are-among-ubs-favorites-in-emerging-markets-51615482016
3,US dollar may gain further upside momentum – UBS,2 days ago,https://www.fxstreet.com/news/us-dollar-may-gain-further-upside-momentum-ubs-202103120101
4,Here’s Why Investors Can Ignore Chinese Assets No Longer- Says UBS,5 days ago,https://www.barrons.com/articles/heres-why-investors-can-ignore-chinese-assets-no-longer-says-ubs-51615304815
5,Credit Suisse- UBS Moving Bankers to China From Hong Kong,2 weeks ago,https://www.bloomberg.com/news/articles/2021-02-24/credit-suisse-ubs-move-bankers-to-mainland-china-from-hong-kong
6,Buy these stocks as consumer spending is unleashed this year: UBS,2 weeks ago,https://www.cnbc.com/2021/02/25/buy-these-stocks-as-pent-up-consumer-spending-is-unleashed-this-year-says-ubs.html
7,These 4 tech stocks should be safe from bond market jitters- UBS says,2 weeks ago,https://www.cnbc.com/2021/02/24/these-4-tech-stocks-should-be-safe-from-bond-market-jitters-ubs-says.html
8,Uber and more: UBS picks food delivery stocks set to pop by ...,28 mins ago,https://www.cnbc.com/2021/03/14/food-delivery-stock-picks-by-ubs-uber-and-more.html
9,18 UBS advisors in South Texas named to the Forbes/SHOOK ...,6 days ago,http://www.elpasoinc.com/news/state/18-ubs-advisors-in-south-texas-named-to-the-forbes-shook-best-in-state-wealth/article_48817d9d-e82b-5dfd-93d5-236bddecb55c.html
10,Credit Suisse and Greensill: UBS Is Getting Involved,3 days ago,https://www.finews.com/news/english-news/45406-cs-greensill-capital-ubs-taulia-apollo
11,$1.1 billion Financial Advisor team joins UBS in Houston- Texas,3 days ago,https://www.prnewswire.com/news-releases/1-1-billion-financial-advisor-team-joins-ubs-in-houston-texas-301245649.html
12,"Renault has new cash for a strategy that could make it an undervalued EV 
play- says UBS",2 days ago,https://www.marketwatch.com/story/renault-has-new-cash-for-a-strategy-that-could-make-it-an-undervalued-ev-play-says-ubs-11615565876
13,Would Raphaëlle Hamers be Running UBS?,6 days ago,https://www.finews.com/news/english-news/45356-iwd-international-women-s-day-ralph-hamers-thomas-gottstein-philipp-rickenbacher-renaud-de-planta
14,At $16- UBS Stock Still Has Upside Potential,4 days ago,https://www.forbes.com/sites/greatspeculations/2021/03/10/at-16-ubs-stock-still-has-upside-potential/
15,Future Returns: How UBS Surpassed a $5 Billion Impact Goal,5 days ago,https://www.barrons.com/articles/future-returns-how-ubs-surpassed-a-5-billion-impact-goal-01615334081
16,UBS Set to Use Money-Launderer Case to Cut $5.4 Billion ...,1 week ago,https://www.bloomberg.com/news/articles/2021-03-05/ubs-may-use-money-launderer-case-to-appeal-5-4-billion-penalty
17,Form 424B2 UBS AG,2 days ago,https://www.streetinsider.com/SEC+Filings/Form+424B2+UBS+AG/18120309.html
18,A UBS Whistleblower- a Meeting at a Boutique and a Record ...,5 days ago,https://www.bloomberg.com/news/articles/2021-03-09/a-ubs-whistle-blower-a-meeting-at-a-boutique-and-a-record-fine
19,UBS Loses Investment Banking Co-Head,4 weeks ago,https://www.finews.com/news/english-news/45039-piero-novelli-ubs-rob-karofsky-ralph-hamers-andrea-orcel-unicredit
20,"This company and Tesla will be the top 2 electric-vehicle plays by 2025- 
says UBS",2 days ago,https://www.marketwatch.com/story/forget-nio-and-xpeng-this-company-and-tesla-will-be-the-top-2-electric-vehicle-plays-by-2025-says-ubs-11615306959
21,UBS Signals Risk of India Stocks Trailing Bonds Over 12 Months,4 days ago,https://www.bloomberg.com/news/articles/2021-03-10/ubs-signals-risk-of-india-stocks-trailing-bonds-over-12-months
22,UBS raises S&P 500 forecast on incoming stimulus- stronger ...,4 days ago,https://www.cnbc.com/2021/03/10/ubs-raises-sp-500-forecast-on-incoming-stimulus-stronger-earnings-and-a-consumer-spending-rebound.html
23,UBS ups stake in China securities joint venture to 67%,2 days ago,https://www.euromoney.com/article/289b769jo7afz17deqxvk/capital-markets/ubs-ups-stake-in-china-securities-joint-venture-to-67
24,Form 424B2 UBS AG,2 days ago,https://www.streetinsider.com/SEC+Filings/Form+424B2+UBS+AG/18120425.html
25,Goin' Up? Wells Fargo Team Moves Seven Floors to UBS in ...,1 week ago,https://advisorhub.com/goin-up-wells-fargo-team-moves-seven-floors-up-to-ubs-in-san-diego/
26,Fitch Revises UBS Group's Outlook to Stable; Affirms at 'A+',2 weeks ago,https://www.fitchratings.com/research/structured-finance/covered-bonds/fitch-revises-ubs-group-outlook-to-stable-affirms-at-a-02-03-2021
27,"UBS Predicts Tesla And Volkswagen To Become Top Two Electric-Vehicle Plays 
By 2025",2 days ago,https://mitechnews.com/auto-tech/ubs-predicts-tesla-and-volkswagen-to-become-top-two-electric-vehicle-plays-by-2025/
28,"The US economy will grow 7.9% in 2021 as stimulus juices consumer spending- 
UBS says",6 days ago,https://www.businessinsider.com/economic-forecast-gdp-biden-stimulus-reopening-consumer-spending-inflation-ubs-2021-3
29,UBS: Search to Replace Axel Weber Underway,6 days ago,https://www.finews.asia/people/33971-axel-weber-ubs-jeremy-anderson-succession-ralph-hamers-chair-board-of-directors-asia
30,UBS: Search to Replace Axel Weber Underway,6 days ago,https://www.finews.asia/people/33971-axel-weber-ubs-jeremy-anderson-succession-ralph-hamers-chair-board-of-directors-asia
31,UBS Advisors Gerry Bandini and David Chodosch Named to ...,4 days ago,https://www.businesswire.com/news/home/20210310005757/en/UBS-Advisors-Gerry-Bandini-and-David-Chodosch-Named-to-ForbesSHOOK-Best-in-State-Wealth-Advisors-List
32,"Tesla stock price target more than doubled at UBS- as long-time skeptic 
sees EV leader 'winning' in software",1 week ago,https://www.marketwatch.com/story/tesla-stock-price-target-more-than-doubled-at-ubs-as-long-time-skeptic-sees-ev-leader-winning-in-software-11614780825
33,UBS Seeks to Raise Stake in China Joint Venture to 67%,1 week ago,https://www.bloomberg.com/news/articles/2021-03-03/ubs-said-to-seek-to-raise-stake-in-china-joint-venture-to-67
34,UBS : looks to raise stake to 67% in mainland China joint ...,2 days ago,https://www.marketscreener.com/quote/stock/UBS-GROUP-AG-19156942/news/UBS-nbsp-looks-to-raise-stake-to-67-in-mainland-China-joint-venture-32669269/
35,GE stock jumps to a 3-year high after UBS analyst gets a little more bullish,1 week ago,https://www.marketwatch.com/story/ge-stock-jumps-toward-3-year-high-after-ubs-analyst-gets-a-little-more-bullish-11614795999
36,UBS declares coupon payments on 5 ETRACS Exchange Traded Notes,6 days ago,https://finance.yahoo.com/news/ubs-declares-coupon-payments-5-163000985.html
37,UniCredit will not buy out Andrea Orcel's deferred UBS bonuses,5 days ago,https://www.fnlondon.com/articles/unicredit-will-not-buy-out-andrea-orcels-deferred-ubs-bonuses-20210309
