,Title,Time,Link
0,Michael Boyd Appointed As USAA Real Estate General Counsel,5 days ago,http://www.elpasoinc.com/news/state/michael-boyd-appointed-as-usaa-real-estate-general-counsel/article_bc7099ec-3eee-5712-904d-ea97beaa8c9d.html
1,Former USAA CEO Stuart Parker receives more than $6 million golden parachute,1 week ago,https://www.expressnews.com/business/article/Former-USAA-CEO-Stuart-Parker-receives-more-than-16001551.php
2,USAA vs. Geico: which is best in 2021?,5 days ago,https://www.marketwatch.com/story/usaa-vs-geico-01615317772?mod=mw_latestnews
3,USAA Achieves WELL Building Health-Safety Rating ...,2 weeks ago,https://www.prnewswire.com/news-releases/usaa-achieves-well-building-health-safety-rating-301237428.html
4,WATCH: Christian McCaffrey Discusses Offseason & His Partnership with USAA,3 days ago,https://www.si.com/nfl/panthers/gm-report/watch-christian-mccaffrey-discusses-offseason-his-partnership-with-usaa
5,/C O R R E C T I O N -- USAA Real Estate/,4 days ago,https://finance.yahoo.com/news/michael-boyd-appointed-usaa-real-153100670.html
6,USAA Announces Winners of One True Love Contest ...,2 weeks ago,https://www.prnewswire.com/news-releases/usaa-announces-winners-of-one-true-love-contest-301234394.html
7,USAA Donates $350-000 to Support Families Impacted by ...,2 weeks ago,https://www.prnewswire.com/news-releases/usaa-donates-350-000-to-support-families-impacted-by-texas-winter-storms-301235435.html
8,AM Best Affirms Credit Ratings of United Services Automobile ...,3 days ago,https://www.businesswire.com/news/home/20210311005747/en/AM-Best-Affirms-Credit-Ratings-of-United-Services-Automobile-Association-Its-Subsidiaries-and-USAA-Capital-Corporation
9,Longtime Hunton Partner Moves In-House at USAA Real ...,4 days ago,https://www.law.com/corpcounsel/2021/03/10/longtime-hunton-partner-moves-in-house-at-usaa-real-estate/
10,USAA Telematics Program SafePilot Increases Discounts up ...,3 weeks ago,https://www.prnewswire.com/news-releases/usaa-telematics-program-safepilot-increases-discounts-up-to-30-off-auto-insurance-rates-301230708.html
11,USAA offers auto insurance discounts to Texas SafePilot ...,2 weeks ago,https://www.bizjournals.com/sanantonio/news/2021/02/24/usaa-offers-discounts-for-those-on-safepilot.html
12,USAA Real Estate tabs general counsel | Article,2 days ago,https://www.complianceweek.com/grapevine/usaa-real-estate-tabs-general-counsel/30154.article
13,USAA wins with telematics among active-duty military,6 days ago,https://www.dig-in.com/news/usaa-wins-with-telematics-among-active-duty-military
14,USAA sees more than 10-000 insurance claims due to winter ...,3 weeks ago,https://www.bizjournals.com/sanantonio/news/2021/02/17/usaa-sees-more-than-10000-insurance-claims.html
15,"USAA- Wells Fargo finalizing settlement in patent cases that produced 
combined $300M verdicts",4 weeks ago,https://www.expressnews.com/business/local/article/USAA-Wells-Fargo-finalizing-settlement-in-patent-15956394.php
16,USAA Bank Mortgage Review | The Ascent - Motley Fool,3 weeks ago,https://www.fool.com/the-ascent/mortgages/usaa-bank-mortgage-review/
17,San Antonio’s USAA donating $350-000 in storm’s aftermath,2 weeks ago,https://www.expressnews.com/business/article/San-Antonio-s-USAA-donating-350-000-in-15979452.php
18,"Here’s what to do if your home- vehicle sustained damage due to winter 
weather",4 weeks ago,https://www.ksat.com/news/local/2021/02/16/heres-what-to-do-if-your-home-vehicle-sustained-damage-due-to-winter-weather/
19,Wells Fargo and USAA to settle $300m litigation,3 weeks ago,https://www.worldipreview.com/news/wells-fargo-and-usaa-to-settle-300m-litigation-21060
20,About 150 jobs are open at USAA. So how do you get a job there?,2 weeks ago,https://wpde.com/news/nation-world/getting-a-job-at-usaa
21,"Scott+Scott Attorneys at Law LLP Continues Its Investigation of United 
Services Automobile Association’s Directors and Officers for Breach of 
Fiduciary Duties – USAA",3 days ago,https://finance.yahoo.com/news/scott-scott-attorneys-law-llp-163800881.html
22,USAA Achieves WELL Building Healthy-Safety Rating,6 days ago,https://www.cleanlink.com/news/article/USAA-Achieves-WELL-Building-Healthy-Safety-Rating--26839
23,49ers TE George Kittle shows love to military veteran,2 days ago,https://ninernoise.com/2021/03/12/49ers-george-kittle-love-military-veteran/
24,USAA marches into the esports scene with new Call of Duty ...,1 month ago,https://www.wearethemighty.com/articles/usaa-marches-into-the-esports-scene-with-new-call-of-duty-league-sponsorship/
25,"Is USAA Science & Technology Fund (USSCX) a Strong Mutual Fund Pick Right 
Now?",2 days ago,https://www.nasdaq.com/articles/is-usaa-science-technology-fund-usscx-a-strong-mutual-fund-pick-right-now-2021-03-12
26,USAA Donates $350-000 to Support Texas Families Impacted ...,2 weeks ago,https://www.ktsa.com/usaa-donates-350000-to-support-texas-families-impacted-by-winter-storms/
