,Title,Time,Link
0,Union Bank board member awarded Crystal Apple Award ...,1 day ago,https://www.neusenews.com/index/2021/3/12/union-bank-board-member-awarded-crystal-apple-award
1,Rob Swanson Joins MUFG Union Bank as Northern California ...,2 weeks ago,https://www.prnewswire.com/news-releases/rob-swanson-joins-mufg-union-bank-as-northern-california-market-president-for-commercial-banking-301234757.html
2,New ED takes charge at Union Bank,1 day ago,https://www.thehindu.com/business/Industry/new-ed-takes-charge-at-union-bank/article34063399.ece
3,MUFG Union Bank taps Wells Fargo veteran for key Bay Area ...,2 weeks ago,https://www.bizjournals.com/sanfrancisco/news/2021/02/24/mufg-union-bank-taps-wells-fargo-veteran-for-key-b.html
4,Union Bank allots P2 billion capex for 2021,7 hours ago,https://www.philstar.com/business/2021/03/15/2084292/union-bank-allots-p2-billion-capex-2021
5,MUFG Union Bank Launches Green Deposits in the United ...,3 weeks ago,https://www.prnewswire.com/news-releases/mufg-union-bank-launches-green-deposits-in-the-united-states-301232296.html
6,Column: Artist- 4- featured in re-opened Union Bank in La Mesa,5 days ago,https://www.sandiegouniontribune.com/columnists/story/2021-03-08/column-artist-4-featured-in-re-opened-la-mesa-union-bank
7,Armed suspect surrenders to police after 6-hour standoff in downtown Fresno,5 days ago,https://www.fresnobee.com/news/local/crime/article249792253.html
8,Atlantic Union Bank Rebrands Wealth Management Division ...,2 weeks ago,https://www.globenewswire.com/news-release/2021/03/01/2184498/0/en/Atlantic-Union-Bank-Rebrands-Wealth-Management-Division-to-Atlantic-Union-Bank-Wealth-Management.html
9,Local Announcement: Union Bank Welcomes Four-Year-Old ...,2 weeks ago,https://patch.com/california/lamesa/classifieds/announcements/205596/union-bank-welcomes-four-year-old-artist-to-la-mesa-branch
10,Union Bank of India's proposed bonds of up to ₹2-000 crore rated AA+,1 week ago,https://www.livemint.com/companies/news/union-bank-of-india-s-proposed-bonds-of-up-to-rs-2-000-crore-rated-aa-11614836466926.html
11,"4-year-old artist adds color and hope to East County bank rebuilding after 
fire",2 weeks ago,https://www.10news.com/news/local-news/east-county-news/4-year-old-artist-adds-color-and-hope-to-east-county-bank-rebuilding-after-fire
12,Nitesh Ranjan assumes charge as Union Bank ED,3 days ago,https://www.financialexpress.com/industry/banking-finance/nitesh-ranjan-assumes-charge-as-union-bank-ed/2210336/
13,Atlantic Union Bank- 1051 East Cary Street- Suite 1200 ...,6 days ago,https://richmond.com/ads/community/announcements/legal/atlantic-union-bank-1051-east-cary-street-suite-1200-richmond-va-23219-intends-to-apply/ad_9bfafaf1-9396-53ae-a490-6e36591f4628.html
14,Thrivent hires former MUFG Union executive to run proposed ...,1 week ago,https://www.americanbanker.com/news/thrivent-recruits-former-mufg-union-executive-to-run-proposed-bank
15,Fresno Unified- teachers union bank on COVID decline for ...,2 weeks ago,http://sjvsun.com/news/education/fresno-unified-teachers-union-bank-on-covid-decline-for-april-6-reopening/
16,Nitesh Ranjan assumes charge as Executive Director of Union Bank of India,3 days ago,https://www.thestatesman.com/business/nitesh-ranjan-assumes-charge-executive-director-union-bank-india-1502956786.html
17,LA Focus- Union Bank Team up for The First Ladies 'We Got ...,5 days ago,https://eurweb.com/2021/03/09/l-a-focus-union-bank-team-up-for-the-first-ladies-we-got-your-back-townhall-series-featuring-erica-campbell/
18,No. 18 Hokies drop Game 3 to Seminoles,1 hour ago,https://hokiesports.com/news/2021/3/14/baseball-no-18-hokies-drop-game-3-to-seminoles.aspx
19,Armed man arrested following hours-long standoff outside of Fresno bank,5 days ago,https://kmph.com/news/local/officers-in-stand-off-with-armed-man-at-fresno-bank-police-say
20,Considerations for Bank Boards of Directors When Being Acquired,3 days ago,https://www.natlawreview.com/article/credit-union-acquisitions-banks-considerations-bank-boards-directors
21,Next Post Union Bank Unveils Digital Platform To Boost ...,9 hours ago,https://leadership.ng/union-bank-unveils-digital-platform-to-boost-investment/
22,"Western Union: Banks Need To 'Tech Up' To Compete In The Global Remittance 
Market",3 days ago,https://www.pymnts.com/digital-first-banking/2021/western-union-banks-need-to-tech-up-to-compete-in-the-global-remittance-market/
23,Should Union Bank of Taiwan (TPE:2838) Be Disappointed ...,4 weeks ago,https://simplywall.st/stocks/tw/banks/tsec-2838/union-bank-of-taiwan-shares/news/should-union-bank-of-taiwan-tpe2838-be-disappointed-with-the
24,Union Bank of Cameroon moves to conquer additional market shares,4 days ago,https://www.businessincameroon.com/finance/1003-11363-union-bank-of-cameroon-moves-to-conquer-additional-market-shares
25,Bank of India appoints three executive directors,4 days ago,https://www.livemint.com/companies/people/bank-of-india-appoints-three-executive-directors-11615398374513.html
26,Ventura police arrest suspect in robberies at Pacific View Mall- Union Bank,3 weeks ago,https://www.vcstar.com/story/news/local/communities/ventura/2021/02/17/suspect-arrested-pacific-view-mall-union-bank-robberies/6788750002/
27,"Union Bank- Punjab National Bank offer the lowest interest rates on 
personal loans",3 weeks ago,https://www.moneycontrol.com/news/business/personal-finance/union-bank-punjab-national-bank-offer-the-lowest-interest-rates-on-personal-loans-6554251.html
28,"Union Bank of India- Syndicate Bank post highest UPI failure rates; Paytm 
sees lowest decline rate",3 weeks ago,https://www.financialexpress.com/industry/banking-finance/union-bank-of-india-syndicate-bank-post-highest-upi-failure-rates-paytm-sees-lowest-decline-rate/2199009/
29,Colorado credit union spinoff has ambitions beyond pot banking,2 days ago,https://www.bankingdive.com/news/colorado-credit-union-spinoff-has-ambitions-beyond-pot-banking/596558/
30,City Union Bank Ltd. (NSE:CUB) Insiders Have Been Selling,2 weeks ago,https://simplywall.st/stocks/in/banks/nse-cub/city-union-bank-shares/news/city-union-bank-ltd-nsecub-insiders-have-been-selling
31,Broker's call: City Union Bank (Buy),3 weeks ago,https://www.thehindubusinessline.com/markets/stock-markets/brokers-call-city-union-bank-buy/article33880351.ece
32,Cetera Adds 6 Texas Banks,2 days ago,https://www.cutimes.com/2021/03/12/cetera-adds-6-texas-banks-413-176063/
33,"Israel's Mizrahi Tefahot Bank fourth quarter profit up on acquisition of 
rival",5 days ago,https://www.reuters.com/article/mizrah-tefaht-bk-results-int/israels-mizrahi-tefahot-bank-fourth-quarter-profit-up-on-acquisition-of-rival-idUSKBN2B10T9
34,Sound Advice: Desktop computer speakers that won't break ...,18 hours ago,https://www.unionleader.com/nh/lifestyles/sound-advice-desktop-computer-speakers-that-wont-break-the-bank/article_14601179-4880-5a12-980b-ec51339e5899.html
35,"Stock market update: MidCap stocks advance; Union Bank of India jumps over 
5%",2 weeks ago,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-midcap-stocks-advance-union-bank-of-india-jumps-over-5/articleshow/81188022.cms
36,10 public sector banks get 14 executive directors,3 days ago,https://www.livemint.com/industry/banking/10-public-sector-banks-get-14-executive-directors-11615444275239.html
37,Union Bank marks International Women's Day 2021 ...,3 days ago,https://www.pulse.ng/news/metro/union-bank-marks-international-womens-day-2021-choosetochallenge/mwxh2p2
38,Offensive outburst helps FSU take series at VT,2 hours ago,https://247sports.com/college/florida-state/Article/FSU-Baseball-wins-series-at-Virginia-Tech-with-offensive-outburst-162404638/
39,Tech baseball tickets to go on sale to general public,1 week ago,https://hokiesports.com/news/2021/3/4/tech-baseball-tickets-to-go-on-sale-to-general-public.aspx
40,Union Bank grants loan to 203 street vendors in Telangana,1 week ago,https://telanganatoday.com/union-bank-grants-loan-to-203-street-vendors-in-telangana
41,Three ways COVID-19 reshuffled our finances | Business ...,15 hours ago,https://lmtribune.com/business/three-ways-covid-19-reshuffled-our-finances/article_b32f1373-f980-5372-a6b5-4c4517d86b79.html
42,BRIEF-Himalya Food Says Paid Further 18 Mln Rupees To ...,2 days ago,https://in.investing.com/news/briefhimalya-food-says-paid-further-18-mln-rupees-to-union-bank-of-india-against-onetime-settlement-2644853
43,JMU- Harrisonburg hosting 2021 CAA men's basketball ...,5 days ago,https://www.wdbj7.com/2021/03/09/jmu-harrisonburg-hosting-2021-caa-mens-basketball-tournament/
44,Live Updates: FSU 10- VT 3 - T9,2 hours ago,https://247sports.com/college/florida-state/Article/FSU-Baseball-Sunday-Virginia-Tech-Live-Updates-162384804/
45,Analysis | What's NUE in India and Why Does Amazon Want a ...,2 days ago,https://www.washingtonpost.com/business/whats-nue-in-india-and-why-does-amazon-want-a-piece/2021/03/11/9669b8b0-82bd-11eb-be22-32d331d87530_story.html
46,UBI update on change in IFSC code for merged banks,1 week ago,https://www.thehindubusinessline.com/money-and-banking/ubi-update-on-change-in-ifsc-code-for-merged-banks/article33999326.ece
47,Seven merged banks to see cheque book changes from April 1,16 hours ago,https://www.business-standard.com/article/finance/seven-merged-banks-to-see-cheque-book-changes-from-april-1-121031400275_1.html
48,THE SPECTRUM: Reviewing David Yost's job at his midterm ...,26 mins ago,https://www.nbc4i.com/video/the-spectrum-reviewing-david-yosts-job-at-his-midterm-bills-that-passed-in-the-statehouse-this-week/6436033/
49,"PSU banks under pressure: Bank of Baroda- Union Bank shed 3-4% each; CLSA 
retains buy on SBI",2 weeks ago,https://www.moneycontrol.com/news/business/stocks/psu-banks-under-pressure-bank-of-baroda-union-bank-shed-3-4-each-clsa-retains-buy-on-sbi-6576061.html
50,Hyderabad: Union Bank of India organises workshop on ...,6 days ago,https://telanganatoday.com/hyderabad-union-bank-of-india-organises-workshop-on-womens-day
51,Keeping Employees Paid with the Paycheck Protection Program,6 days ago,https://www.nbc4i.com/daytime-columbus/keeping-employees-paid-with-the-paycheck-protection-program/
52,Community Blood Bank needs “O” blood,9 hours ago,https://kelo.com/2021/03/14/community-blood-bank-needs-o-blood/
53,"CGTMSE: 6 lakh MSE loans approved under SIDBI’s credit scheme; Bajaj 
Finance- Union Bank top lenders",1 week ago,https://www.financialexpress.com/industry/sme/msme-fin-cgtmse-6-lakh-mse-loans-approved-under-sidbis-credit-scheme-bajaj-finance-union-bank-top-lenders/2205836/
54,No. 18 Hokies drop Game 2 to Rams,3 days ago,https://hokiesports.com/news/2021/3/10/baseball-no-18-hokies-drop-game-2-to-rams.aspx
55,"Not SBI- these banks are offering cheapest personal loan - Union Bank- PNB- 
Central Bank of India and more",3 weeks ago,https://www.zeebiz.com/personal-finance/news-not-sbi-these-banks-are-offering-cheapest-personal-loan-union-bank-pnb-central-bank-of-india-and-more-150562
56,Millennial Money: 3 ways COVID-19 reshuffled our finances,1 day ago,https://www.timesfreepress.com/news/business/aroundregion/story/2021/mar/13/millennial-money-3-ways-covid-19-reshuffled-o/543065/
57,"Winter Rink hockey tournament: Chaurasia- Shahi shine in Union Bank’s 
victory",4 weeks ago,https://www.freepressjournal.in/sports/untitled-feb-16-2021-1140-pmlawrence-bing-organised-winter-rink-hockey-tournament-chaurasia-shahi-shine-in-union-banks-victory
58,"Police seeking information after masked gunman robs Omaha Police Federal 
Credit Union",1 week ago,https://www.ketv.com/article/masked-gunman-robs-omaha-police-federal-credit-union/35590551
59,"Alert For Account Holders of These Govt Banks! Your Cheque Book- Passbook 
Will Get Scrapped After 2 Weeks | D",1 day ago,https://www.india.com/business/alert-for-account-holders-of-these-govt-banks-your-cheque-book-passbook-will-become-invalid-after-2-weeks-details-4488596/
60,"Govt Of India Will Give Rs 14-500 Crore To These Loss-Making PSU Banks; 
Find Out Why?",17 hours ago,https://trak.in/tags/business/2021/03/14/govt-of-india-will-give-rs-14500-crore-to-these-loss-making-psu-banks-find-out-why/
61,"Online banking with Dane County Credit Union down due to inclement weather 
in Texas",3 weeks ago,https://madison.com/wsj/business/online-banking-with-dane-county-credit-union-down-due-to-inclement-weather-in-texas/article_5c5c44dd-519d-5ccf-9558-17015723053a.html
62,Democrats bank on relief aid to win back wary working class,4 hours ago,https://www.kenoshanews.com/news/national/govt-and-politics/democrats-bank-on-relief-aid-to-win-back-wary-working-class/article_9f21477b-f5b8-5bda-b327-ca7b2219f2c0.html
63,Darren Eric Swisher | Obituaries | wvnews.com,1 day ago,https://www.wvnews.com/theet/obituaries/darren-eric-swisher/article_9a04bb78-290b-53e0-a3aa-7a48feb4a31d.html
64,MUFG Debuts Green Deposits For Corporate Customers,3 weeks ago,https://www.pymnts.com/news/b2b-payments/2021/mufg-debuts-green-deposits/
65,Union Bank introduces digital platform to boost investment,6 days ago,https://punchng.com/union-bank-introduces-digital-platform-to-boost-investment/
66,"Finance Ministry to infuse Rs 14-500 crore in banks under prompt corrective 
action soon",2 days ago,https://www.newindianexpress.com/business/2021/mar/12/finance-ministry-to-infuse-rs-14500-crore-in-banks-under-prompt-corrective-action-soon-2275737.html
67,How to get new IFSC codes of Andhra and Corporation Bank?,1 week ago,https://www.freepressjournal.in/business/how-to-get-new-ifsc-codes-of-andhra-and-corporation-bank
68,Deutsche Bank CEO's 46% pay rise prompts backlash,2 days ago,https://www.reuters.com/article/us-deutsche-bank-results/deutsche-bank-2020-bonuses-jump-29-as-bank-turns-profit-idUSKBN2B40Q9
69,United Bancshares- Inc. Reports Full Year 2020 Results,6 days ago,https://www.streetinsider.com/Globe+Newswire/United+Bancshares%2C+Inc.+Reports+Full+Year+2020+Results/18092363.html
70,No. 24 Hokies lose Game 3 to No. 25 Tar Heels,1 week ago,https://hokiesports.com/news/2021/3/7/baseball-no-24-hokies-lose-game-3-to-no-25-tar-heels.aspx
71,Indian Bank to divest ASREC stake,1 week ago,https://www.financialexpress.com/industry/banking-finance/indian-bank-to-divest-asrec-stake/2207242/
72,No. 24 Hokies claim series over No. 25 Tar Heels for first time,1 week ago,https://hokiesports.com/news/2021/3/6/baseball-no-24-hokies-claim-series-over-no-25-tar-heels-for-first-time.aspx
73,Associated Bank names Andrew Harmening as new CEO to succeed Phil Flynn,4 days ago,https://www.greenbaypressgazette.com/story/money/2021/03/10/green-bay-based-associated-bank-names-andrew-harmening-ceo-president/6937175002/
74,"Drexel gets revenge against College of Charleston- advances to CAA 
semifinals for the first time since 2012",6 days ago,https://www.inquirer.com/college-sports/drexel/drexel-dragons-college-of-charleston-caa-tournament-quarterfinals-zach-walton-northeastern-20210308.html
