,Title,Time,Link
0,Western Union (WU) to Offer Services to Advance America,2 weeks ago,https://finance.yahoo.com/news/western-union-wu-offer-services-145002796.html
1,Advance America Teams With Western Union For Money Transfer Tools,2 weeks ago,https://www.pymnts.com/news/partnerships-acquisitions/2021/advance-america-teams-with-western-union-for-money-transfer-tools/
2,"Triterras Announces Strategic Partnership with Western Union Business 
Solutions",5 days ago,https://finance.yahoo.com/news/triterras-announces-strategic-partnership-western-120000429.html
3,Western Union: Look At The Value Going Forward,6 days ago,https://seekingalpha.com/article/4412128-western-union-look-at-the-value-going-forward
4,"Western Union: Banks Need To 'Tech Up' To Compete In The Global Remittance 
Market",3 days ago,https://www.pymnts.com/digital-first-banking/2021/western-union-banks-need-to-tech-up-to-compete-in-the-global-remittance-market/
5,Digital Money Transfer and Remittance Market Introducing ...,5 days ago,https://ksusentinel.com/2021/03/09/digital-money-transfer-and-remittance-market-introducing-new-industry-dynamics-through-swot-analysis-2021western-union-wu-ria-financial-services-paypal-xoom-transferwise-worldremit-moneyg/
6,Digital Remittance Market 2021 Emerging Trends- Global Size ...,1 day ago,https://neighborwebsj.com/uncategorized/4607219/digital-remittance-market-2021-emerging-trends-global-size-by-major-players-western-union-wu-ria-financial-services-paypal-xoom-transferwise-worldremit-etc/
7,Digital Money Transfer & Remittances Market | Company ...,6 days ago,https://ksusentinel.com/2021/03/08/digital-money-transfer-remittances-market-company-challenges-and-essential-success-factors-western-union-wu-ria-financial-services-paypal-xoom-transferwise-worldremit-etc/
8,Form 6-K Triterras- Inc. For: Mar 11,3 days ago,https://www.streetinsider.com/SEC+Filings/Form+6-K+Triterras%2C+Inc.+For%3A+Mar+11/18112841.html
9,"Today In Payments: Advance America- Western Union Team On Money Transfer 
Tools; Square Generates $1.7 Billion In Crypto Revenue",2 weeks ago,https://www.pymnts.com/news/2021/today-in-payments-advance-america-western-union-team-on-money-transfer-tools/
10,Western Union CFO On Thinking Outside The Box To Digitize The Enterprise,1 week ago,https://www.pymnts.com/news/b2b-payments/2021/western-union-cfo-on-thinking-outside-the-box-to-digitize-the-enterprise/
11,Western Union Expands Global B2B Payments Platform,2 weeks ago,https://www.businesswire.com/news/home/20210225005193/en/Western-Union-Expands-Global-B2B-Payments-Platform
12,"Digital Remittance Market 2021 Latest Advancement and Precise Outlook – 
2025; Western Union (WU)- Azimo- TransferWise- Ria Financial Services- 
Remitly",3 days ago,https://www.mccourier.com/digital-remittance-market-2021-latest-advancement-and-precise-outlook-2025-western-union-wu-azimo-transferwise-ria-financial-services-remitly/
13,Western Union: 5G- AI- RTP Will Create New Digital Experiences,2 weeks ago,https://www.pymnts.com/innovation/2021/western-union-5g-ai-rtp-will-create-new-digital-experiences/
14,Global Digital Remittance Service Market Report 2020 ...,4 days ago,https://neighborwebsj.com/space/4463452/global-digital-remittance-service-market-report-2020-western-union-ria-financial-services-xoom-transferwise-moneygram-remitly-azimo-transfergo-worldremit-tng-wallet-etc-4/
15,Give Your Child Financial Security While Studying Abroad With Western Union,3 weeks ago,https://www.moneycontrol.com/news/trends/features-2/give-your-child-financial-security-while-studying-abroad-with-western-union-6553821.html
16,Global Digital Money Transfer and Remittances Market ...,2 days ago,https://neighborwebsj.com/uncategorized/4590911/global-digital-money-transfer-and-remittances-market-growth-set-to-surge-significantly-western-union-wu-azimo-transferwise-ria-financial-services/
17,Digital Remittance Market Estimated to Record Highest CAGR ...,5 days ago,https://neighborwebsj.com/coronavirus/4450329/digital-remittance-market-estimated-to-record-highest-cagr-by-2027-western-union-wu-ria-financial-services-paypal-xoom-transferwise-worldremit/
18,"Foreign Exchange Services Market Poised for Breakout Growth | American 
Express Company- Western Union Holdings- Inc- Capital One Financial 
Corporation- Bank of America Corporation",2 days ago,https://www.mccourier.com/foreign-exchange-services-market-poised-for-breakout-growth-american-express-company-western-union-holdings-inc-capital-one-financial-corporation-bank-of-america-corporation/
19,"Detail Study on Digital Remittance Market Reviews and Outlook 2021-2026 | 
Ria Financial Services- PayPal/Xoom",2 days ago,https://www.mccourier.com/detail-study-on-digital-remittance-market-reviews-and-outlook-2021-2026-ria-financial-services-paypal-xoom/
20,Triterras (TRIT) Signs Letter of Intent to Acquire Invoice Bazaar,3 days ago,https://www.streetinsider.com/Corporate+News/Triterras+%28TRIT%29+Signs+Letter+of+Intent+to+Acquire+Invoice+Bazaar/18113040.html
21,Global Digital Money Transfer & Remittances Market Evolving ...,5 days ago,https://ksusentinel.com/2021/03/09/global-digital-money-transfer-remittances-market-evolving-trends-and-opportunities-in-covid-19-pandamic-end-by-2027/
22,"Today In Digital First Banking: Central Banks Of UAE- China Join CBDC 
Effort; State Bank Of India Signs Onto Liink",2 weeks ago,https://www.pymnts.com/news/digital-banking/2021/today-in-digital-first-banking-central-banks-of-uae-china-join-cbdc-effort/
