,Title,Time,Link
0,Why JPMorgan Stock Jumped Today,"Dec 21, 2020",https://www.fool.com/investing/2020/12/21/why-jpmorgan-stock-jumped-today/
1,"JPMorgan Chase partners with fintech start-up Marqeta to launch 'virtual' 
credit cards","Jul 28, 2020",https://www.cnbc.com/2020/07/28/jpmorgan-partners-with-marqeta-to-launch-virtual-credit-cards.html
2,Oil: JPMorgan is overweight on these 3 energy stocks,"Nov 16, 2020",https://www.cnbc.com/2020/11/16/oil-jpmorgan-is-overweight-on-these-3-energy-stocks.html
3,J.P. Morgan Hires Boaz Lahovitsky to Lead Wealth ...,"Aug 31, 2020",https://www.businesswire.com/news/home/20200831005669/en/J.P.-Morgan-Hires-Boaz-Lahovitsky-to-Lead-Wealth-Management-National-Branch-Business
4,3 Stocks J.P. Morgan Says Are Ready to Rip Higher,"Dec 24, 2020",https://finance.yahoo.com/news/3-stocks-j-p-morgan-155659397.html
5,JPMorgan: Gold will suffer as institutional investors flock to ...,"Dec 9, 2020",https://www.cnbc.com/2020/12/09/jpmorgan-gold-will-suffer-as-institutional-investors-flock-to-bitcoin.html
6,JPMorgan appoints General Dynamics CEO as board member,"Oct 28, 2020",https://www.reuters.com/article/us-jp-morgan-novakovic/jpmorgan-appoints-general-dynamics-ceo-as-board-member-idUKKBN27D1K0?edition-redirect=ca
7,JP Morgan enters green bond push with $1 billion debut debt deal,"Sep 9, 2020",https://www.marketwatch.com/story/jp-morgan-enters-green-bond-push-with-1-billion-debut-debt-deal-11599703139
8,Bitcoin Steady as Analysts Say Getting Back to $40000 Is Key,1 month ago,https://www.bloomberg.com/news/articles/2021-01-18/jpmorgan-strategists-say-40-000-is-key-test-for-bitcoin-boom
9,JPMorgan Is Now Banking for Bitcoin Exchanges Coinbase Gemini,"May 12, 2020",https://www.bloomberg.com/news/articles/2020-05-12/jpmorgan-is-now-banking-for-bitcoin-exchanges-coinbase-gemini
