Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
BAC,Bank of America Corp,"Jan 17, 2022",-,-,-
BAC,Bank of America Corp,"Oct 14, 2021",-,-,-
BAC,Bank of America Corp,"Jul 14, 2021",-,-,-
BAC,Bank of America Corp,"Apr 15, 2021",0.6,-,-
BAC,Bank of America Corporation,"Jan 19, 2021",0.55,0.59,+7.86
BAC,Bank of America Corporation,"Oct 14, 2020",0.49,0.51,+3.45
BAC,Bank of America Corporation,"Jul 16, 2020",0.27,0.37,+38.58
BAC,Bank of America Corporation,"Apr 15, 2020",0.46,0.4,-13.23
BAC,Bank of America Corporation,"Jan 15, 2020",0.68,0.74,+8.19
BAC,Bank of America Corporation,"Oct 16, 2019",0.51,0.56,+10.67
BAC,Bank of America Corporation,"Jul 17, 2019",0.71,0.74,+4.67
BAC,Bank of America Corporation,"Apr 16, 2019",0.66,0.7,+6.87
BAC,Bank of America Corporation,"Jan 16, 2019",0.63,0.7,+10.94
BAC,Bank of America Corporation,"Oct 15, 2018",0.62,0.66,+6.45
BAC,Bank of America Corporation,"Jul 16, 2018",0.57,0.63,+10.53
BAC,Bank of America Corporation,"Apr 16, 2018",0.59,0.62,+4.73
BAC,Bank of America Corporation,"Jan 17, 2018",0.44,0.48,+9.59
BAC,Bank of America Corporation,"Oct 13, 2017",0.45,0.48,+5.73
BAC,Bank of America Corporation,"Jul 18, 2017",0.43,0.46,+7.23
BAC,Bank of America Corporation,"Apr 18, 2017",0.35,0.41,+18.16
BAC,Bank of America Corporation,"Jan 13, 2017",0.38,0.4,+6.38
BAC,Bank of America Corporation,"Oct 17, 2016",0.34,0.41,+22.02
BAC,Bank of America Corporation,"Jul 18, 2016",0.33,0.36,+10.09
BAC,Bank of America Corporation,"Apr 14, 2016",0.21,0.21,+2.44
BAC,Bank of America Corporation,"Jan 19, 2016",0.26,0.29,+9.85
BAC,Bank of America Corporation,"Oct 14, 2015",0.33,0.37,+11.78
BAC,Bank of America Corporation,"Jul 15, 2015",0.36,0.45,+26.05
BAC,Bank of America Corporation,"Apr 15, 2015",0.29,0.27,-7.22
BAC,Bank of America Corporation,"Jan 15, 2015",0.31,0.25,-19.61
BAC,Bank of America Corporation,"Oct 15, 2014",-0.09,-0.01,+89.25
BAC,Bank of America Corporation,"Jul 16, 2014",0.29,0.22,-22.96
BAC,Bank of America Corporation,"Apr 16, 2014",0.05,0.1,+97.51
BAC,Bank of America Corporation,"Jan 15, 2014",0.26,0.29,+10.73
BAC,Bank of America Corporation,"Oct 16, 2013",0.18,0.2,+9.51
BAC,Bank of America Corporation,"Jul 17, 2013",0.25,0.32,+26.82
BAC,Bank of America Corporation,"Apr 17, 2013",0.22,0.2,-10.23
BAC,Bank of America Corporation,"Jan 17, 2013",0.02,0.03,+34.71
BAC,Bank of America Corporation,"Oct 17, 2012",-0.07,-,+100
BAC,Bank of America Corporation,"Jul 18, 2012",0.14,0.17,+20.71
BAC,Bank of America Corporation,"Apr 19, 2012",0.12,0.24,+96.96
BAC,Bank of America Corporation,"Jan 19, 2012",0.15,0.15,-2.04
BAC,Bank of America Corporation,"Oct 18, 2011",0.19,0.31,+59.95
BAC,Bank of America Corporation,"Jul 19, 2011",-0.9,-0.9,+0.37
BAC,Bank of America Corporation,"Apr 15, 2011",0.27,0.17,-36.31
BAC,Bank of America Corporation,"Jan 21, 2011",0.14,0.04,-72.26
BAC,Bank of America Corporation,"Oct 19, 2010",0.16,0.27,+66.58
BAC,Bank of America Corporation,"Jul 16, 2010",0.22,0.27,+22.95
BAC,Bank of America Corporation,"Apr 16, 2010",0.09,0.28,+202.34
BAC,Bank of America Corporation,"Jan 20, 2010",-0.52,-0.6,-14.37
BAC,Bank of America Corporation,"Oct 16, 2009",-0.21,-0.26,-26.63
BAC,Bank of America Corporation,"Jul 17, 2009",0.28,0.33,+19.67
BAC,Bank of America Corporation,"Apr 20, 2009",0.05,0.44,+816.67
BAC,Bank of America Corporation,"Jan 16, 2009",0.08,-0.48,-723.38
BAC,Bank of America Corporation,"Oct 06, 2008",0.62,0.15,-75.87
BAC,Bank of America Corporation,"Jul 21, 2008",0.53,0.72,+35.34
BAC,Bank of America Corporation,"Apr 21, 2008",0.41,0.23,-43.9
BAC,Bank of America Corporation,"Jan 22, 2008",0.18,0.05,-72.06
BAC,Bank of America Corporation,"Oct 18, 2007",1.06,0.82,-22.29
BAC,Bank of America Corporation,"Jul 19, 2007",1.2,1.28,+6.79
BAC,Bank of America Corporation,"Apr 19, 2007",1.15,1.17,+1.67
BAC,Bank of America Corporation,"Jan 23, 2007",1.18,1.19,+0.85
BAC,Bank of America Corporation,"Oct 19, 2006",1.15,1.22,+5.72
BAC,Bank of America Corporation,"Jul 19, 2006",1.1,1.22,+11.3
BAC,Bank of America Corporation,"Apr 20, 2006",1,1.08,+8.22
BAC,Bank of America Corporation,"Jan 23, 2006",1.02,0.94,-8.06
BAC,Bank of America Corporation,"Oct 19, 2005",1.02,1.04,+1.95
BAC,Bank of America Corporation,"Jul 18, 2005",1.01,1.08,+7.02
BAC,Bank of America Corporation,"Apr 18, 2005",0.97,1.16,+19.21
BAC,Bank of America Corporation,"Jan 18, 2005",0.94,0.94,-0.37
BAC,Bank of America Corporation,"Oct 14, 2004",0.9,0.91,+0.59
BAC,Bank of America Corporation,"Jul 14, 2004",0.87,0.93,+6.74
BAC,Bank of America Corporation,"Apr 14, 2004",0.89,0.92,+2.66
BAC,Bank of America Corporation,"Jan 15, 2004",0.89,0.92,+2.86
BAC,Bank of America Corporation,"Oct 14, 2003",0.85,0.96,+13.47
BAC,Bank of America Corporation,"Jul 14, 2003",0.79,0.9,+14.65
BAC,Bank of America Corporation,"Apr 14, 2003",0.74,0.8,+7.47
BAC,Bank of America Corporation,"Jan 15, 2003",0.82,0.85,+3.3
BAC,Bank of America Corporation,"Oct 15, 2002",0.71,0.73,+2.46
BAC,Bank of America Corporation,"Jul 15, 2002",0.7,0.7,+0.55
BAC,Bank of America Corporation,"Apr 15, 2002",0.67,0.69,+2.82
BAC,Bank of America Corporation,"Jan 22, 2002",0.62,0.64,+2.78
BAC,Bank of America Corporation,"Oct 15, 2001",0.62,0.64,+2.79
BAC,Bank of America Corporation,"Jul 16, 2001",0.59,0.62,+5.15
BAC,Bank of America Corporation,"Apr 16, 2001",0.57,0.57,+1.56
BAC,Bank of America Corporation,"Jan 16, 2001",0.43,0.43,-1.78
BAC,Bank of America Corporation,"Oct 16, 2000",0.65,0.66,+0.97
BAC,Bank of America Corporation,"Jul 17, 2000",0.62,0.62,-1.01
BAC,Bank of America Corporation,"Apr 17, 2000",0.62,0.67,+7.07
BAC,Bank of America Corporation,"Jan 18, 2000",0.61,0.62,+0.03
BAC,Bank of America Corporation,"Oct 18, 1999",0.6,0.62,+1.78
BAC,Bank of America Corporation,"Jul 19, 1999",0.57,0.57,+1.12
BAC,Bank of America Corporation,"Apr 19, 1999",0.52,0.55,+6.13
BAC,Bank of America Corporation,"Jan 19, 1999",0.46,0.46,-1.94
BAC,Bank of America Corporation,"Oct 14, 1998",0.43,0.25,-41.52
BAC,Bank of America Corporation,"Jul 13, 1998",0.57,0.59,+3.77
BAC,Bank of America Corporation,"Apr 13, 1998",0.53,0.59,+9.7
