Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
BAC,Bank of America Corp,2021/10/14,-,-,-
BAC,Bank of America Corp,2021/7/14,-,-,-
BAC,Bank of America Corp,2021/4/15,0.6,-,-
BAC,Bank of America Corporation,2021/1/19,0.55,0.59,7.86
BAC,Bank of America Corporation,2020/10/14,0.49,0.51,3.45
BAC,Bank of America Corporation,2020/7/16,0.27,0.37,38.58
BAC,Bank of America Corporation,2020/4/15,0.46,0.4,-13.23
BAC,Bank of America Corporation,2020/1/15,0.68,0.74,8.19
BAC,Bank of America Corporation,2019/10/16,0.51,0.56,10.67
BAC,Bank of America Corporation,2019/7/17,0.71,0.74,4.67
BAC,Bank of America Corporation,2019/4/16,0.66,0.7,6.87
BAC,Bank of America Corporation,2019/1/16,0.63,0.7,10.94
BAC,Bank of America Corporation,2018/10/15,0.62,0.66,6.45
BAC,Bank of America Corporation,2018/7/16,0.57,0.63,10.53
BAC,Bank of America Corporation,2018/4/16,0.59,0.62,4.73
BAC,Bank of America Corporation,2018/1/17,0.44,0.48,9.59
BAC,Bank of America Corporation,2017/10/13,0.45,0.48,5.73
BAC,Bank of America Corporation,2017/7/18,0.43,0.46,7.23
BAC,Bank of America Corporation,2017/4/18,0.35,0.41,18.16
BAC,Bank of America Corporation,2017/1/13,0.38,0.4,6.38
BAC,Bank of America Corporation,2016/10/17,0.34,0.41,22.02
BAC,Bank of America Corporation,2016/7/18,0.33,0.36,10.09
BAC,Bank of America Corporation,2016/4/14,0.21,0.21,2.44
BAC,Bank of America Corporation,2016/1/19,0.26,0.29,9.85
