,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,BAC,Bank of America Corp,2021-10-14,0.000,0.000,0.000
1,BAC,Bank of America Corp,2021-09-14,0.000,0.000,0.000
2,BAC,Bank of America Corp,2021-08-15,0.000,0.000,0.000
3,BAC,Bank of America Corp,2021-07-14,0.000,0.000,0.000
4,BAC,Bank of America Corp,2021-06-14,0.200,0.000,0.000
5,BAC,Bank of America Corp,2021-05-15,0.400,0.000,0.000
6,BAC,Bank of America Corp,2021-04-15,0.600,0.000,0.000
7,BAC,Bank of America Corp,2021-03-16,0.583,0.197,2.620
8,BAC,Bank of America Corp,2021-02-14,0.567,0.393,5.240
9,BAC,Bank of America Corp,2021-01-19,0.550,0.590,7.860
10,BAC,Bank of America Corp,2020-12-20,0.530,0.563,6.390
11,BAC,Bank of America Corp,2020-11-20,0.510,0.537,4.920
12,BAC,Bank of America Corp,2020-10-14,0.490,0.510,3.450
13,BAC,Bank of America Corp,2020-09-14,0.417,0.463,15.160
14,BAC,Bank of America Corp,2020-08-15,0.343,0.417,26.870
15,BAC,Bank of America Corp,2020-07-16,0.270,0.370,38.580
16,BAC,Bank of America Corp,2020-06-16,0.333,0.380,21.310
17,BAC,Bank of America Corp,2020-05-17,0.397,0.390,4.040
18,BAC,Bank of America Corp,2020-04-15,0.460,0.400,-13.230
19,BAC,Bank of America Corp,2020-03-16,0.533,0.513,-6.090
20,BAC,Bank of America Corp,2020-02-15,0.607,0.627,1.050
21,BAC,Bank of America Corp,2020-01-15,0.680,0.740,8.190
22,BAC,Bank of America Corp,2019-12-16,0.623,0.680,9.017
23,BAC,Bank of America Corp,2019-11-16,0.567,0.620,9.843
24,BAC,Bank of America Corp,2019-10-16,0.510,0.560,10.670
25,BAC,Bank of America Corp,2019-09-16,0.577,0.620,8.670
26,BAC,Bank of America Corp,2019-08-17,0.643,0.680,6.670
27,BAC,Bank of America Corp,2019-07-17,0.710,0.740,4.670
28,BAC,Bank of America Corp,2019-06-17,0.693,0.727,5.403
29,BAC,Bank of America Corp,2019-05-18,0.677,0.713,6.137
30,BAC,Bank of America Corp,2019-04-16,0.660,0.700,6.870
31,BAC,Bank of America Corp,2019-03-17,0.650,0.700,8.227
32,BAC,Bank of America Corp,2019-02-15,0.640,0.700,9.583
33,BAC,Bank of America Corp,2019-01-16,0.630,0.700,10.940
34,BAC,Bank of America Corp,2018-12-17,0.627,0.687,9.443
35,BAC,Bank of America Corp,2018-11-17,0.623,0.673,7.947
36,BAC,Bank of America Corp,2018-10-15,0.620,0.660,6.450
37,BAC,Bank of America Corp,2018-09-15,0.603,0.650,7.810
38,BAC,Bank of America Corp,2018-08-16,0.587,0.640,9.170
39,BAC,Bank of America Corp,2018-07-16,0.570,0.630,10.530
40,BAC,Bank of America Corp,2018-06-16,0.577,0.627,8.597
41,BAC,Bank of America Corp,2018-05-17,0.583,0.623,6.663
42,BAC,Bank of America Corp,2018-04-16,0.590,0.620,4.730
43,BAC,Bank of America Corp,2018-03-17,0.540,0.573,6.350
44,BAC,Bank of America Corp,2018-02-15,0.490,0.527,7.970
45,BAC,Bank of America Corp,2018-01-17,0.440,0.480,9.590
46,BAC,Bank of America Corp,2017-12-18,0.443,0.480,8.303
47,BAC,Bank of America Corp,2017-11-18,0.447,0.480,7.017
48,BAC,Bank of America Corp,2017-10-13,0.450,0.480,5.730
49,BAC,Bank of America Corp,2017-09-13,0.443,0.473,6.230
50,BAC,Bank of America Corp,2017-08-14,0.437,0.467,6.730
51,BAC,Bank of America Corp,2017-07-18,0.430,0.460,7.230
52,BAC,Bank of America Corp,2017-06-18,0.403,0.443,10.873
53,BAC,Bank of America Corp,2017-05-19,0.377,0.427,14.517
54,BAC,Bank of America Corp,2017-04-18,0.350,0.410,18.160
55,BAC,Bank of America Corp,2017-03-19,0.360,0.407,14.233
56,BAC,Bank of America Corp,2017-02-17,0.370,0.403,10.307
57,BAC,Bank of America Corp,2017-01-13,0.380,0.400,6.380
58,BAC,Bank of America Corp,2016-12-14,0.367,0.403,11.593
59,BAC,Bank of America Corp,2016-11-14,0.353,0.407,16.807
60,BAC,Bank of America Corp,2016-10-17,0.340,0.410,22.020
61,BAC,Bank of America Corp,2016-09-17,0.337,0.393,18.043
62,BAC,Bank of America Corp,2016-08-18,0.333,0.377,14.067
63,BAC,Bank of America Corp,2016-07-18,0.330,0.360,10.090
64,BAC,Bank of America Corp,2016-06-18,0.290,0.310,7.540
65,BAC,Bank of America Corp,2016-05-19,0.250,0.260,4.990
66,BAC,Bank of America Corp,2016-04-14,0.210,0.210,2.440
67,BAC,Bank of America Corp,2016-03-15,0.227,0.237,4.910
68,BAC,Bank of America Corp,2016-02-14,0.243,0.263,7.380
69,BAC,Bank of America Corp,2016-01-19,0.26,0.29,9.85
