,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,BAC,Bank of America Corp,2021/10/14,0,0,0,None,None,NA
1,BAC,Bank of America Corp,2021/9/14,0,0,0,None,None,NA
2,BAC,Bank of America Corp,2021/8/15,0,0,0,None,None,NA
3,BAC,Bank of America Corp,2021/7/14,0,0,0,None,None,NA
4,BAC,Bank of America Corp,2021/6/14,0.2,0,0,None,None,NA
5,BAC,Bank of America Corp,2021/5/15,0.4,0,0,None,None,NA
6,BAC,Bank of America Corp,2021/4/15,0.6,0,0,None,None,NA
7,BAC,Bank of America Corp,2021/3/16,0.583,0.197,2.62,positive,Pos_Average,OutP
8,BAC,Bank of America Corp,2021/2/14,0.567,0.393,5.24,positive,Above_Average,OutP
9,BAC,Bank of America Corp,2021/1/19,0.55,0.59,7.86,positive,Above_Average,OutP
10,BAC,Bank of America Corp,2020/12/20,0.53,0.563,6.39,positive,Above_Average,OutP
11,BAC,Bank of America Corp,2020/11/20,0.51,0.537,4.92,positive,Pos_Average,OutP
12,BAC,Bank of America Corp,2020/10/14,0.49,0.51,3.45,positive,Pos_Average,OutP
13,BAC,Bank of America Corp,2020/9/14,0.417,0.463,15.16,positive,Significantly_Above,OutP
14,BAC,Bank of America Corp,2020/8/15,0.343,0.417,26.87,positive,Significantly_Above,OutP
15,BAC,Bank of America Corp,2020/7/16,0.27,0.37,38.58,positive,Significantly_Above,OutP
16,BAC,Bank of America Corp,2020/6/16,0.333,0.38,21.31,positive,Significantly_Above,regular
17,BAC,Bank of America Corp,2020/5/17,0.397,0.39,4.04,positive,Pos_Average,regular
18,BAC,Bank of America Corp,2020/4/15,0.46,0.4,-13.23,negative,Significantly_Below,regular
19,BAC,Bank of America Corp,2020/3/16,0.533,0.513,-6.09,negative,Below_Average,regular
20,BAC,Bank of America Corp,2020/2/15,0.607,0.627,1.05,positive,Pos_Average,OutP
21,BAC,Bank of America Corp,2020/1/15,0.68,0.74,8.19,positive,Above_Average,OutP
22,BAC,Bank of America Corp,2019/12/16,0.623,0.68,9.017,positive,Above_Average,OutP
23,BAC,Bank of America Corp,2019/11/16,0.567,0.62,9.843,positive,Above_Average,OutP
24,BAC,Bank of America Corp,2019/10/16,0.51,0.56,10.67,positive,Significantly_Above,OutP
25,BAC,Bank of America Corp,2019/9/16,0.577,0.62,8.67,positive,Above_Average,OutP
26,BAC,Bank of America Corp,2019/8/17,0.643,0.68,6.67,positive,Above_Average,OutP
27,BAC,Bank of America Corp,2019/7/17,0.71,0.74,4.67,positive,Pos_Average,OutP
28,BAC,Bank of America Corp,2019/6/17,0.693,0.727,5.403,positive,Above_Average,OutP
29,BAC,Bank of America Corp,2019/5/18,0.677,0.713,6.137,positive,Above_Average,OutP
30,BAC,Bank of America Corp,2019/4/16,0.66,0.7,6.87,positive,Above_Average,OutP
31,BAC,Bank of America Corp,2019/3/17,0.65,0.7,8.227,positive,Above_Average,OutP
32,BAC,Bank of America Corp,2019/2/15,0.64,0.7,9.583,positive,Above_Average,OutP
33,BAC,Bank of America Corp,2019/1/16,0.63,0.7,10.94,positive,Significantly_Above,OutP
34,BAC,Bank of America Corp,2018/12/17,0.627,0.687,9.443,positive,Above_Average,OutP
35,BAC,Bank of America Corp,2018/11/17,0.623,0.673,7.947,positive,Above_Average,OutP
36,BAC,Bank of America Corp,2018/10/15,0.62,0.66,6.45,positive,Above_Average,OutP
37,BAC,Bank of America Corp,2018/9/15,0.603,0.65,7.81,positive,Above_Average,OutP
38,BAC,Bank of America Corp,2018/8/16,0.587,0.64,9.17,positive,Above_Average,OutP
39,BAC,Bank of America Corp,2018/7/16,0.57,0.63,10.53,positive,Significantly_Above,OutP
40,BAC,Bank of America Corp,2018/6/16,0.577,0.627,8.597,positive,Above_Average,OutP
41,BAC,Bank of America Corp,2018/5/17,0.583,0.623,6.663,positive,Above_Average,OutP
42,BAC,Bank of America Corp,2018/4/16,0.59,0.62,4.73,positive,Pos_Average,OutP
43,BAC,Bank of America Corp,2018/3/17,0.54,0.573,6.35,positive,Above_Average,OutP
44,BAC,Bank of America Corp,2018/2/15,0.49,0.527,7.97,positive,Above_Average,OutP
45,BAC,Bank of America Corp,2018/1/17,0.44,0.48,9.59,positive,Above_Average,OutP
46,BAC,Bank of America Corp,2017/12/18,0.443,0.48,8.303,positive,Above_Average,OutP
47,BAC,Bank of America Corp,2017/11/18,0.447,0.48,7.017,positive,Above_Average,OutP
48,BAC,Bank of America Corp,2017/10/13,0.45,0.48,5.73,positive,Above_Average,OutP
49,BAC,Bank of America Corp,2017/9/13,0.443,0.473,6.23,positive,Above_Average,OutP
50,BAC,Bank of America Corp,2017/8/14,0.437,0.467,6.73,positive,Above_Average,OutP
51,BAC,Bank of America Corp,2017/7/18,0.43,0.46,7.23,positive,Above_Average,OutP
52,BAC,Bank of America Corp,2017/6/18,0.403,0.443,10.873,positive,Significantly_Above,OutP
53,BAC,Bank of America Corp,2017/5/19,0.377,0.427,14.517,positive,Significantly_Above,OutP
54,BAC,Bank of America Corp,2017/4/18,0.35,0.41,18.16,positive,Significantly_Above,OutP
55,BAC,Bank of America Corp,2017/3/19,0.36,0.407,14.233,positive,Significantly_Above,OutP
56,BAC,Bank of America Corp,2017/2/17,0.37,0.403,10.307,positive,Significantly_Above,OutP
57,BAC,Bank of America Corp,2017/1/13,0.38,0.4,6.38,positive,Above_Average,OutP
58,BAC,Bank of America Corp,2016/12/14,0.367,0.403,11.593,positive,Significantly_Above,OutP
59,BAC,Bank of America Corp,2016/11/14,0.353,0.407,16.807,positive,Significantly_Above,OutP
60,BAC,Bank of America Corp,2016/10/17,0.34,0.41,22.02,positive,Significantly_Above,OutP
