Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
BK,Bank of New York Mellon Corp,"Jan 18, 2022",-,-,-
BK,Bank of New York Mellon Corp,"Oct 14, 2021",-,-,-
BK,Bank of New York Mellon Corp,"Jul 15, 2021",-,-,-
BK,Bank of New York Mellon Corp,"Apr 16, 2021",0.87,-,-
BK,The Bank of New York Mellon Corporation,"Jan 20, 2021",0.91,0.96,+5.26
BK,The Bank of New York Mellon Corporation,"Oct 16, 2020",0.94,0.98,+4.14
BK,The Bank of New York Mellon Corporation,"Jul 15, 2020",0.91,1.01,+10.62
BK,The Bank of New York Mellon Corporation,"Apr 16, 2020",0.9,1.05,+16.15
BK,The Bank of New York Mellon Corporation,"Jan 16, 2020",1.01,1.01,+0.4
BK,The Bank of New York Mellon Corporation,"Oct 16, 2019",0.99,1.07,+7.86
BK,The Bank of New York Mellon Corporation,"Jul 17, 2019",0.95,1.01,+6.54
BK,The Bank of New York Mellon Corporation,"Apr 17, 2019",0.96,0.94,-1.88
BK,The Bank of New York Mellon Corporation,"Jan 16, 2019",0.92,0.99,+7.61
BK,The Bank of New York Mellon Corporation,"Oct 18, 2018",1.04,1.06,+2.32
BK,The Bank of New York Mellon Corporation,"Jul 19, 2018",1.02,1.03,+0.88
BK,The Bank of New York Mellon Corporation,"Apr 19, 2018",0.96,1.1,+14.35
BK,The Bank of New York Mellon Corporation,"Jan 18, 2018",0.91,0.91,+0.11
BK,The Bank of New York Mellon Corporation,"Oct 19, 2017",0.92,0.94,+1.95
BK,The Bank of New York Mellon Corporation,"Jul 20, 2017",0.84,0.88,+4.39
BK,The Bank of New York Mellon Corporation,"Apr 20, 2017",0.8,0.83,+3.75
BK,The Bank of New York Mellon Corporation,"Jan 19, 2017",0.77,0.77,-0.26
BK,The Bank of New York Mellon Corporation,"Oct 20, 2016",0.81,0.9,+11.25
BK,The Bank of New York Mellon Corporation,"Jul 21, 2016",0.75,0.76,+1.2
BK,The Bank of New York Mellon Corporation,"Apr 21, 2016",0.68,0.74,+9.47
BK,The Bank of New York Mellon Corporation,"Jan 21, 2016",0.64,0.68,+7.09
BK,The Bank of New York Mellon Corporation,"Oct 20, 2015",0.71,0.74,+3.93
BK,The Bank of New York Mellon Corporation,"Jul 21, 2015",0.66,0.77,+17.02
BK,The Bank of New York Mellon Corporation,"Apr 22, 2015",0.59,0.67,+12.98
BK,The Bank of New York Mellon Corporation,"Jan 23, 2015",0.59,0.59,-
BK,The Bank of New York Mellon Corporation,"Oct 17, 2014",0.61,0.64,+4.23
BK,The Bank of New York Mellon Corporation,"Jul 18, 2014",0.56,0.62,+11.44
BK,The Bank of New York Mellon Corporation,"Apr 22, 2014",0.53,0.57,+6.7
