Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
BK,Bank of New York Mellon Corp,2021/10/14,-,-,-
BK,Bank of New York Mellon Corp,2021/7/15,-,-,-
BK,Bank of New York Mellon Corp,2021/4/16,0.87,-,-
BK,The Bank of New York Mellon Corporation,2021/1/20,0.91,0.96,5.26
BK,The Bank of New York Mellon Corporation,2020/10/16,0.94,0.98,4.14
BK,The Bank of New York Mellon Corporation,2020/7/15,0.91,1.01,10.62
BK,The Bank of New York Mellon Corporation,2020/4/16,0.9,1.05,16.15
BK,The Bank of New York Mellon Corporation,2020/1/16,1.01,1.01,0.4
BK,The Bank of New York Mellon Corporation,2019/10/16,0.99,1.07,7.86
BK,The Bank of New York Mellon Corporation,2019/7/17,0.95,1.01,6.54
BK,The Bank of New York Mellon Corporation,2019/4/17,0.96,0.94,-1.88
BK,The Bank of New York Mellon Corporation,2019/1/16,0.92,0.99,7.61
BK,The Bank of New York Mellon Corporation,2018/10/18,1.04,1.06,2.32
BK,The Bank of New York Mellon Corporation,2018/7/19,1.02,1.03,0.88
BK,The Bank of New York Mellon Corporation,2018/4/19,0.96,1.1,14.35
BK,The Bank of New York Mellon Corporation,2018/1/18,0.91,0.91,0.11
BK,The Bank of New York Mellon Corporation,2017/10/19,0.92,0.94,1.95
BK,The Bank of New York Mellon Corporation,2017/7/20,0.84,0.88,4.39
BK,The Bank of New York Mellon Corporation,2017/4/20,0.8,0.83,3.75
BK,The Bank of New York Mellon Corporation,2017/1/19,0.77,0.77,-0.26
BK,The Bank of New York Mellon Corporation,2016/10/20,0.81,0.9,11.25
BK,The Bank of New York Mellon Corporation,2016/7/21,0.75,0.76,1.2
BK,The Bank of New York Mellon Corporation,2016/4/21,0.68,0.74,9.47
BK,The Bank of New York Mellon Corporation,2016/1/21,0.64,0.68,7.09
