,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,BK,Bank of New York Mellon Corp,2021-10-14,0.000,0.000,0.000
1,BK,Bank of New York Mellon Corp,2021-09-14,0.000,0.000,0.000
2,BK,Bank of New York Mellon Corp,2021-08-15,0.000,0.000,0.000
3,BK,Bank of New York Mellon Corp,2021-07-15,0.000,0.000,0.000
4,BK,Bank of New York Mellon Corp,2021-06-15,0.290,0.000,0.000
5,BK,Bank of New York Mellon Corp,2021-05-16,0.580,0.000,0.000
6,BK,Bank of New York Mellon Corp,2021-04-16,0.870,0.000,0.000
7,BK,Bank of New York Mellon Corp,2021-03-17,0.883,0.320,1.753
8,BK,Bank of New York Mellon Corp,2021-02-15,0.897,0.640,3.507
9,BK,Bank of New York Mellon Corp,2021-01-20,0.910,0.960,5.260
10,BK,Bank of New York Mellon Corp,2020-12-21,0.920,0.967,4.887
11,BK,Bank of New York Mellon Corp,2020-11-21,0.930,0.973,4.513
12,BK,Bank of New York Mellon Corp,2020-10-16,0.940,0.980,4.140
13,BK,Bank of New York Mellon Corp,2020-09-16,0.930,0.990,6.300
14,BK,Bank of New York Mellon Corp,2020-08-17,0.920,1.000,8.460
15,BK,Bank of New York Mellon Corp,2020-07-15,0.910,1.010,10.620
16,BK,Bank of New York Mellon Corp,2020-06-15,0.907,1.023,12.463
17,BK,Bank of New York Mellon Corp,2020-05-16,0.903,1.037,14.307
18,BK,Bank of New York Mellon Corp,2020-04-16,0.900,1.050,16.150
19,BK,Bank of New York Mellon Corp,2020-03-17,0.937,1.037,10.900
20,BK,Bank of New York Mellon Corp,2020-02-16,0.973,1.023,5.650
21,BK,Bank of New York Mellon Corp,2020-01-16,1.010,1.010,0.400
22,BK,Bank of New York Mellon Corp,2019-12-17,1.003,1.030,2.887
23,BK,Bank of New York Mellon Corp,2019-11-17,0.997,1.050,5.373
24,BK,Bank of New York Mellon Corp,2019-10-16,0.990,1.070,7.860
25,BK,Bank of New York Mellon Corp,2019-09-16,0.977,1.050,7.420
26,BK,Bank of New York Mellon Corp,2019-08-17,0.963,1.030,6.980
27,BK,Bank of New York Mellon Corp,2019-07-17,0.950,1.010,6.540
28,BK,Bank of New York Mellon Corp,2019-06-17,0.953,0.987,3.733
29,BK,Bank of New York Mellon Corp,2019-05-18,0.957,0.963,0.927
30,BK,Bank of New York Mellon Corp,2019-04-17,0.960,0.940,-1.880
31,BK,Bank of New York Mellon Corp,2019-03-18,0.947,0.957,1.283
32,BK,Bank of New York Mellon Corp,2019-02-16,0.933,0.973,4.447
33,BK,Bank of New York Mellon Corp,2019-01-16,0.920,0.990,7.610
34,BK,Bank of New York Mellon Corp,2018-12-17,0.960,1.013,5.847
35,BK,Bank of New York Mellon Corp,2018-11-17,1.000,1.037,4.083
36,BK,Bank of New York Mellon Corp,2018-10-18,1.040,1.060,2.320
37,BK,Bank of New York Mellon Corp,2018-09-18,1.033,1.050,1.840
38,BK,Bank of New York Mellon Corp,2018-08-19,1.027,1.040,1.360
39,BK,Bank of New York Mellon Corp,2018-07-19,1.020,1.030,0.880
40,BK,Bank of New York Mellon Corp,2018-06-19,1.000,1.053,5.370
41,BK,Bank of New York Mellon Corp,2018-05-20,0.980,1.077,9.860
42,BK,Bank of New York Mellon Corp,2018-04-19,0.960,1.100,14.350
43,BK,Bank of New York Mellon Corp,2018-03-20,0.943,1.037,9.603
44,BK,Bank of New York Mellon Corp,2018-02-18,0.927,0.973,4.857
45,BK,Bank of New York Mellon Corp,2018-01-18,0.910,0.910,0.110
46,BK,Bank of New York Mellon Corp,2017-12-19,0.913,0.920,0.723
47,BK,Bank of New York Mellon Corp,2017-11-19,0.917,0.930,1.337
48,BK,Bank of New York Mellon Corp,2017-10-19,0.920,0.940,1.950
49,BK,Bank of New York Mellon Corp,2017-09-19,0.893,0.920,2.763
50,BK,Bank of New York Mellon Corp,2017-08-20,0.867,0.900,3.577
51,BK,Bank of New York Mellon Corp,2017-07-20,0.840,0.880,4.390
52,BK,Bank of New York Mellon Corp,2017-06-20,0.827,0.863,4.177
53,BK,Bank of New York Mellon Corp,2017-05-21,0.813,0.847,3.963
54,BK,Bank of New York Mellon Corp,2017-04-20,0.800,0.830,3.750
55,BK,Bank of New York Mellon Corp,2017-03-21,0.790,0.810,2.413
56,BK,Bank of New York Mellon Corp,2017-02-19,0.780,0.790,1.077
57,BK,Bank of New York Mellon Corp,2017-01-19,0.770,0.770,-0.260
58,BK,Bank of New York Mellon Corp,2016-12-20,0.783,0.813,3.577
59,BK,Bank of New York Mellon Corp,2016-11-20,0.797,0.857,7.413
60,BK,Bank of New York Mellon Corp,2016-10-20,0.810,0.900,11.250
61,BK,Bank of New York Mellon Corp,2016-09-20,0.790,0.853,7.900
62,BK,Bank of New York Mellon Corp,2016-08-21,0.770,0.807,4.550
63,BK,Bank of New York Mellon Corp,2016-07-21,0.750,0.760,1.200
64,BK,Bank of New York Mellon Corp,2016-06-21,0.727,0.753,3.957
65,BK,Bank of New York Mellon Corp,2016-05-22,0.703,0.747,6.713
66,BK,Bank of New York Mellon Corp,2016-04-21,0.680,0.740,9.470
67,BK,Bank of New York Mellon Corp,2016-03-22,0.667,0.720,8.677
68,BK,Bank of New York Mellon Corp,2016-02-21,0.653,0.700,7.883
69,BK,Bank of New York Mellon Corp,2016-01-21,0.64,0.68,7.09
