,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,BK,Bank of New York Mellon Corp,2021-10-14,0.0,0.0,0.0,None,None,NA
1,1,BK,Bank of New York Mellon Corp,2021-09-14,0.0,0.0,0.0,None,None,NA
2,2,BK,Bank of New York Mellon Corp,2021-08-15,0.0,0.0,0.0,None,None,NA
3,3,BK,Bank of New York Mellon Corp,2021-07-15,0.0,0.0,0.0,None,None,NA
4,4,BK,Bank of New York Mellon Corp,2021-06-15,0.29,0.0,0.0,None,None,NA
5,5,BK,Bank of New York Mellon Corp,2021-05-16,0.58,0.0,0.0,None,None,NA
6,6,BK,Bank of New York Mellon Corp,2021-04-16,0.87,0.0,0.0,None,None,NA
7,7,BK,Bank of New York Mellon Corp,2021-03-17,0.883,0.32,1.7530000000000001,positive,Pos_Average,OutP
8,8,BK,Bank of New York Mellon Corp,2021-02-15,0.897,0.64,3.5069999999999997,positive,Pos_Average,OutP
9,9,BK,Bank of New York Mellon Corp,2021-01-20,0.91,0.96,5.26,positive,Above_Average,OutP
10,10,BK,Bank of New York Mellon Corp,2020-12-21,0.92,0.9670000000000001,4.887,positive,Pos_Average,OutP
11,11,BK,Bank of New York Mellon Corp,2020-11-21,0.93,0.973,4.513,positive,Pos_Average,OutP
12,12,BK,Bank of New York Mellon Corp,2020-10-16,0.94,0.98,4.14,positive,Pos_Average,OutP
13,13,BK,Bank of New York Mellon Corp,2020-09-16,0.93,0.99,6.3,positive,Above_Average,OutP
14,14,BK,Bank of New York Mellon Corp,2020-08-17,0.92,1.0,8.46,positive,Above_Average,OutP
15,15,BK,Bank of New York Mellon Corp,2020-07-15,0.91,1.01,10.62,positive,Significantly_Above,OutP
16,16,BK,Bank of New York Mellon Corp,2020-06-15,0.907,1.023,12.463,positive,Significantly_Above,OutP
17,17,BK,Bank of New York Mellon Corp,2020-05-16,0.903,1.037,14.307,positive,Significantly_Above,OutP
18,18,BK,Bank of New York Mellon Corp,2020-04-16,0.9,1.05,16.15,positive,Significantly_Above,OutP
19,19,BK,Bank of New York Mellon Corp,2020-03-17,0.937,1.037,10.9,positive,Significantly_Above,OutP
20,20,BK,Bank of New York Mellon Corp,2020-02-16,0.973,1.023,5.65,positive,Above_Average,OutP
21,21,BK,Bank of New York Mellon Corp,2020-01-16,1.01,1.01,0.4,positive,Pos_Average,OutP
22,22,BK,Bank of New York Mellon Corp,2019-12-17,1.003,1.03,2.887,positive,Pos_Average,OutP
23,23,BK,Bank of New York Mellon Corp,2019-11-17,0.997,1.05,5.372999999999999,positive,Above_Average,OutP
24,24,BK,Bank of New York Mellon Corp,2019-10-16,0.99,1.07,7.86,positive,Above_Average,OutP
25,25,BK,Bank of New York Mellon Corp,2019-09-16,0.977,1.05,7.42,positive,Above_Average,OutP
26,26,BK,Bank of New York Mellon Corp,2019-08-17,0.963,1.03,6.98,positive,Above_Average,OutP
27,27,BK,Bank of New York Mellon Corp,2019-07-17,0.95,1.01,6.54,positive,Above_Average,OutP
28,28,BK,Bank of New York Mellon Corp,2019-06-17,0.953,0.987,3.733,positive,Pos_Average,regular
29,29,BK,Bank of New York Mellon Corp,2019-05-18,0.9570000000000001,0.963,0.927,positive,Pos_Average,regular
30,30,BK,Bank of New York Mellon Corp,2019-04-17,0.96,0.94,-1.88,negative,Neg_Average,regular
31,31,BK,Bank of New York Mellon Corp,2019-03-18,0.9470000000000001,0.9570000000000001,1.2830000000000001,positive,Pos_Average,OutP
32,32,BK,Bank of New York Mellon Corp,2019-02-16,0.9329999999999999,0.973,4.447,positive,Pos_Average,OutP
33,33,BK,Bank of New York Mellon Corp,2019-01-16,0.92,0.99,7.61,positive,Above_Average,OutP
34,34,BK,Bank of New York Mellon Corp,2018-12-17,0.96,1.013,5.847,positive,Above_Average,OutP
35,35,BK,Bank of New York Mellon Corp,2018-11-17,1.0,1.037,4.083,positive,Pos_Average,OutP
36,36,BK,Bank of New York Mellon Corp,2018-10-18,1.04,1.06,2.32,positive,Pos_Average,OutP
37,37,BK,Bank of New York Mellon Corp,2018-09-18,1.033,1.05,1.84,positive,Pos_Average,OutP
38,38,BK,Bank of New York Mellon Corp,2018-08-19,1.0270000000000001,1.04,1.36,positive,Pos_Average,OutP
39,39,BK,Bank of New York Mellon Corp,2018-07-19,1.02,1.03,0.88,positive,Pos_Average,OutP
40,40,BK,Bank of New York Mellon Corp,2018-06-19,1.0,1.053,5.37,positive,Above_Average,OutP
41,41,BK,Bank of New York Mellon Corp,2018-05-20,0.98,1.077,9.86,positive,Above_Average,OutP
42,42,BK,Bank of New York Mellon Corp,2018-04-19,0.96,1.1,14.35,positive,Significantly_Above,OutP
43,43,BK,Bank of New York Mellon Corp,2018-03-20,0.943,1.037,9.603,positive,Above_Average,OutP
44,44,BK,Bank of New York Mellon Corp,2018-02-18,0.927,0.973,4.857,positive,Pos_Average,OutP
45,45,BK,Bank of New York Mellon Corp,2018-01-18,0.91,0.91,0.11,positive,Pos_Average,OutP
46,46,BK,Bank of New York Mellon Corp,2017-12-19,0.9129999999999999,0.92,0.723,positive,Pos_Average,OutP
47,47,BK,Bank of New York Mellon Corp,2017-11-19,0.917,0.93,1.337,positive,Pos_Average,OutP
48,48,BK,Bank of New York Mellon Corp,2017-10-19,0.92,0.94,1.95,positive,Pos_Average,OutP
49,49,BK,Bank of New York Mellon Corp,2017-09-19,0.893,0.92,2.763,positive,Pos_Average,OutP
50,50,BK,Bank of New York Mellon Corp,2017-08-20,0.867,0.9,3.577,positive,Pos_Average,OutP
51,51,BK,Bank of New York Mellon Corp,2017-07-20,0.84,0.88,4.39,positive,Pos_Average,OutP
52,52,BK,Bank of New York Mellon Corp,2017-06-20,0.8270000000000001,0.863,4.177,positive,Pos_Average,OutP
53,53,BK,Bank of New York Mellon Corp,2017-05-21,0.813,0.847,3.963,positive,Pos_Average,OutP
