Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
CFG,Citizens Financial Group Inc,"Jan 19, 2022",-,-,-
CFG,Citizens Financial Group Inc,"Oct 20, 2021",-,-,-
CFG,Citizens Financial Group Inc,"Jul 20, 2021",-,-,-
CFG,Citizens Financial Group Inc,"Apr 16, 2021",0.93,-,-
CFG,"Citizens Financial Group, Inc.","Jan 20, 2021",0.91,0.99,+8.67
CFG,"Citizens Financial Group, Inc.","Oct 16, 2020",0.74,0.68,-8.11
CFG,"Citizens Financial Group, Inc.","Jul 17, 2020",0.08,0.53,+554.32
CFG,"Citizens Financial Group, Inc.","Apr 17, 2020",0.38,0.03,-92
CFG,"Citizens Financial Group, Inc.","Jan 17, 2020",0.95,0.98,+3.05
CFG,"Citizens Financial Group, Inc.","Oct 18, 2019",0.96,0.97,+0.73
CFG,"Citizens Financial Group, Inc.","Jul 19, 2019",0.94,0.95,+1.17
CFG,"Citizens Financial Group, Inc.","Apr 18, 2019",0.89,0.92,+3.49
CFG,"Citizens Financial Group, Inc.","Jan 18, 2019",0.94,0.96,+1.8
CFG,"Citizens Financial Group, Inc.","Oct 19, 2018",0.9,0.91,+1.56
CFG,"Citizens Financial Group, Inc.","Jul 20, 2018",0.85,0.88,+3.17
CFG,"Citizens Financial Group, Inc.","Apr 20, 2018",0.76,0.78,+3.04
CFG,"Citizens Financial Group, Inc.","Jan 19, 2018",0.67,0.71,+5.5
CFG,"Citizens Financial Group, Inc.","Oct 20, 2017",0.64,0.68,+6.08
CFG,"Citizens Financial Group, Inc.","Jul 21, 2017",0.59,0.63,+6.42
CFG,"Citizens Financial Group, Inc.","Apr 20, 2017",0.51,0.61,+20.55
CFG,"Citizens Financial Group, Inc.","Jan 20, 2017",0.52,0.55,+5.57
CFG,"Citizens Financial Group, Inc.","Oct 21, 2016",0.48,0.56,+16.18
CFG,"Citizens Financial Group, Inc.","Jul 21, 2016",0.44,0.46,+5.75
CFG,"Citizens Financial Group, Inc.","Apr 21, 2016",0.39,0.41,+5.67
CFG,"Citizens Financial Group, Inc.","Jan 22, 2016",0.42,0.42,+0.96
CFG,"Citizens Financial Group, Inc.","Oct 23, 2015",0.4,0.4,+0.76
CFG,"Citizens Financial Group, Inc.","Jul 21, 2015",0.36,0.35,-3.31
CFG,"Citizens Financial Group, Inc.","Apr 22, 2015",0.34,0.38,+12.43
CFG,"Citizens Financial Group, Inc.","Jan 26, 2015",0.34,0.36,+7.46
CFG,"Citizens Financial Group, Inc.","Oct 27, 2014",0.35,0.34,-2.86
