Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
CFG,Citizens Financial Group Inc,2022/1/19,-,-,-
CFG,Citizens Financial Group Inc,2021/10/20,-,-,-
CFG,Citizens Financial Group Inc,2021/7/20,-,-,-
CFG,Citizens Financial Group Inc,2021/4/16,0.93,-,-
CFG,"Citizens Financial Group, Inc.",2021/1/20,0.91,0.99,8.67
CFG,"Citizens Financial Group, Inc.",2020/10/16,0.74,0.68,-8.11
CFG,"Citizens Financial Group, Inc.",2020/7/17,0.08,0.53,554.32
CFG,"Citizens Financial Group, Inc.",2020/4/17,0.38,0.03,-92
CFG,"Citizens Financial Group, Inc.",2020/1/17,0.95,0.98,3.05
CFG,"Citizens Financial Group, Inc.",2019/10/18,0.96,0.97,0.73
CFG,"Citizens Financial Group, Inc.",2019/7/19,0.94,0.95,1.17
CFG,"Citizens Financial Group, Inc.",2019/4/18,0.89,0.92,3.49
CFG,"Citizens Financial Group, Inc.",2019/1/18,0.94,0.96,1.8
CFG,"Citizens Financial Group, Inc.",2018/10/19,0.9,0.91,1.56
CFG,"Citizens Financial Group, Inc.",2018/7/20,0.85,0.88,3.17
CFG,"Citizens Financial Group, Inc.",2018/4/20,0.76,0.78,3.04
CFG,"Citizens Financial Group, Inc.",2018/1/19,0.67,0.71,5.5
CFG,"Citizens Financial Group, Inc.",2017/10/20,0.64,0.68,6.08
CFG,"Citizens Financial Group, Inc.",2017/7/21,0.59,0.63,6.42
CFG,"Citizens Financial Group, Inc.",2017/4/20,0.51,0.61,20.55
CFG,"Citizens Financial Group, Inc.",2017/1/20,0.52,0.55,5.57
CFG,"Citizens Financial Group, Inc.",2016/10/21,0.48,0.56,16.18
CFG,"Citizens Financial Group, Inc.",2016/7/21,0.44,0.46,5.75
CFG,"Citizens Financial Group, Inc.",2016/4/21,0.39,0.41,5.67
CFG,"Citizens Financial Group, Inc.",2016/1/22,0.42,0.42,0.96
