,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,CFG,Citizens Financial Group Inc,2022-01-19,0.000,0.000,0.000
1,CFG,Citizens Financial Group Inc,2021-12-20,0.000,0.000,0.000
2,CFG,Citizens Financial Group Inc,2021-11-20,0.000,0.000,0.000
3,CFG,Citizens Financial Group Inc,2021-10-20,0.000,0.000,0.000
4,CFG,Citizens Financial Group Inc,2021-09-20,0.000,0.000,0.000
5,CFG,Citizens Financial Group Inc,2021-08-21,0.000,0.000,0.000
6,CFG,Citizens Financial Group Inc,2021-07-20,0.000,0.000,0.000
7,CFG,Citizens Financial Group Inc,2021-06-20,0.310,0.000,0.000
8,CFG,Citizens Financial Group Inc,2021-05-21,0.620,0.000,0.000
9,CFG,Citizens Financial Group Inc,2021-04-16,0.930,0.000,0.000
10,CFG,Citizens Financial Group Inc,2021-03-17,0.923,0.330,2.890
11,CFG,Citizens Financial Group Inc,2021-02-15,0.917,0.660,5.780
12,CFG,Citizens Financial Group Inc,2021-01-20,0.910,0.990,8.670
13,CFG,Citizens Financial Group Inc,2020-12-21,0.853,0.887,3.077
14,CFG,Citizens Financial Group Inc,2020-11-21,0.797,0.783,-2.517
15,CFG,Citizens Financial Group Inc,2020-10-16,0.740,0.680,-8.110
16,CFG,Citizens Financial Group Inc,2020-09-16,0.520,0.630,179.367
17,CFG,Citizens Financial Group Inc,2020-08-17,0.300,0.580,366.843
18,CFG,Citizens Financial Group Inc,2020-07-17,0.080,0.530,554.320
19,CFG,Citizens Financial Group Inc,2020-06-17,0.180,0.363,338.880
20,CFG,Citizens Financial Group Inc,2020-05-18,0.280,0.197,123.440
21,CFG,Citizens Financial Group Inc,2020-04-17,0.380,0.030,-92.000
22,CFG,Citizens Financial Group Inc,2020-03-18,0.570,0.347,-60.317
23,CFG,Citizens Financial Group Inc,2020-02-17,0.760,0.663,-28.633
24,CFG,Citizens Financial Group Inc,2020-01-17,0.950,0.980,3.050
25,CFG,Citizens Financial Group Inc,2019-12-18,0.953,0.977,2.277
26,CFG,Citizens Financial Group Inc,2019-11-18,0.957,0.973,1.503
27,CFG,Citizens Financial Group Inc,2019-10-18,0.960,0.970,0.730
28,CFG,Citizens Financial Group Inc,2019-09-18,0.953,0.963,0.877
29,CFG,Citizens Financial Group Inc,2019-08-19,0.947,0.957,1.023
30,CFG,Citizens Financial Group Inc,2019-07-19,0.940,0.950,1.170
31,CFG,Citizens Financial Group Inc,2019-06-19,0.923,0.940,1.943
32,CFG,Citizens Financial Group Inc,2019-05-20,0.907,0.930,2.717
33,CFG,Citizens Financial Group Inc,2019-04-18,0.890,0.920,3.490
34,CFG,Citizens Financial Group Inc,2019-03-19,0.907,0.933,2.927
35,CFG,Citizens Financial Group Inc,2019-02-17,0.923,0.947,2.363
36,CFG,Citizens Financial Group Inc,2019-01-18,0.940,0.960,1.800
37,CFG,Citizens Financial Group Inc,2018-12-19,0.927,0.943,1.720
38,CFG,Citizens Financial Group Inc,2018-11-19,0.913,0.927,1.640
39,CFG,Citizens Financial Group Inc,2018-10-19,0.900,0.910,1.560
40,CFG,Citizens Financial Group Inc,2018-09-19,0.883,0.900,2.097
41,CFG,Citizens Financial Group Inc,2018-08-20,0.867,0.890,2.633
42,CFG,Citizens Financial Group Inc,2018-07-20,0.850,0.880,3.170
43,CFG,Citizens Financial Group Inc,2018-06-20,0.820,0.847,3.127
44,CFG,Citizens Financial Group Inc,2018-05-21,0.790,0.813,3.083
45,CFG,Citizens Financial Group Inc,2018-04-20,0.760,0.780,3.040
46,CFG,Citizens Financial Group Inc,2018-03-21,0.730,0.757,3.860
47,CFG,Citizens Financial Group Inc,2018-02-19,0.700,0.733,4.680
48,CFG,Citizens Financial Group Inc,2018-01-19,0.670,0.710,5.500
49,CFG,Citizens Financial Group Inc,2017-12-20,0.660,0.700,5.693
50,CFG,Citizens Financial Group Inc,2017-11-20,0.650,0.690,5.887
51,CFG,Citizens Financial Group Inc,2017-10-20,0.640,0.680,6.080
52,CFG,Citizens Financial Group Inc,2017-09-20,0.623,0.663,6.193
53,CFG,Citizens Financial Group Inc,2017-08-21,0.607,0.647,6.307
54,CFG,Citizens Financial Group Inc,2017-07-21,0.590,0.630,6.420
55,CFG,Citizens Financial Group Inc,2017-06-21,0.563,0.623,11.130
56,CFG,Citizens Financial Group Inc,2017-05-22,0.537,0.617,15.840
57,CFG,Citizens Financial Group Inc,2017-04-20,0.510,0.610,20.550
58,CFG,Citizens Financial Group Inc,2017-03-21,0.513,0.590,15.557
59,CFG,Citizens Financial Group Inc,2017-02-19,0.517,0.570,10.563
60,CFG,Citizens Financial Group Inc,2017-01-20,0.520,0.550,5.570
61,CFG,Citizens Financial Group Inc,2016-12-21,0.507,0.553,9.107
62,CFG,Citizens Financial Group Inc,2016-11-21,0.493,0.557,12.643
63,CFG,Citizens Financial Group Inc,2016-10-21,0.480,0.560,16.180
64,CFG,Citizens Financial Group Inc,2016-09-21,0.467,0.527,12.703
65,CFG,Citizens Financial Group Inc,2016-08-22,0.453,0.493,9.227
66,CFG,Citizens Financial Group Inc,2016-07-21,0.440,0.460,5.750
67,CFG,Citizens Financial Group Inc,2016-06-21,0.423,0.443,5.723
68,CFG,Citizens Financial Group Inc,2016-05-22,0.407,0.427,5.697
69,CFG,Citizens Financial Group Inc,2016-04-21,0.390,0.410,5.670
70,CFG,Citizens Financial Group Inc,2016-03-22,0.400,0.413,4.100
71,CFG,Citizens Financial Group Inc,2016-02-21,0.410,0.417,2.530
72,CFG,Citizens Financial Group Inc,2016-01-22,0.42,0.42,0.96
