,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,CFG,Citizens Financial Group Inc,2022-01-19,0.0,0.0,0.0,None,None,NA
1,1,CFG,Citizens Financial Group Inc,2021-12-20,0.0,0.0,0.0,None,None,NA
2,2,CFG,Citizens Financial Group Inc,2021-11-20,0.0,0.0,0.0,None,None,NA
3,3,CFG,Citizens Financial Group Inc,2021-10-20,0.0,0.0,0.0,None,None,NA
4,4,CFG,Citizens Financial Group Inc,2021-09-20,0.0,0.0,0.0,None,None,NA
5,5,CFG,Citizens Financial Group Inc,2021-08-21,0.0,0.0,0.0,None,None,NA
6,6,CFG,Citizens Financial Group Inc,2021-07-20,0.0,0.0,0.0,None,None,NA
7,7,CFG,Citizens Financial Group Inc,2021-06-20,0.31,0.0,0.0,None,None,NA
8,8,CFG,Citizens Financial Group Inc,2021-05-21,0.62,0.0,0.0,None,None,NA
9,9,CFG,Citizens Financial Group Inc,2021-04-16,0.93,0.0,0.0,None,None,NA
10,10,CFG,Citizens Financial Group Inc,2021-03-17,0.9229999999999999,0.33,2.89,positive,Pos_Average,OutP
11,11,CFG,Citizens Financial Group Inc,2021-02-15,0.917,0.66,5.78,positive,Above_Average,OutP
12,12,CFG,Citizens Financial Group Inc,2021-01-20,0.91,0.99,8.67,positive,Above_Average,regular
13,13,CFG,Citizens Financial Group Inc,2020-12-21,0.853,0.887,3.077,positive,Pos_Average,regular
14,14,CFG,Citizens Financial Group Inc,2020-11-21,0.797,0.7829999999999999,-2.517,negative,Neg_Average,regular
15,15,CFG,Citizens Financial Group Inc,2020-10-16,0.74,0.68,-8.11,negative,Below_Average,regular
16,16,CFG,Citizens Financial Group Inc,2020-09-16,0.52,0.63,179.36700000000002,positive,Significantly_Above,OutP
17,17,CFG,Citizens Financial Group Inc,2020-08-17,0.3,0.58,366.843,positive,Significantly_Above,OutP
18,18,CFG,Citizens Financial Group Inc,2020-07-17,0.08,0.53,554.32,positive,Significantly_Above,OutP
19,19,CFG,Citizens Financial Group Inc,2020-06-17,0.18,0.363,338.88,positive,Significantly_Above,regular
20,20,CFG,Citizens Financial Group Inc,2020-05-18,0.28,0.19699999999999998,123.44,positive,Significantly_Above,regular
21,21,CFG,Citizens Financial Group Inc,2020-04-17,0.38,0.03,-92.0,negative,Significantly_Below,UnderP
22,22,CFG,Citizens Financial Group Inc,2020-03-18,0.57,0.34700000000000003,-60.317,negative,Significantly_Below,regular
23,23,CFG,Citizens Financial Group Inc,2020-02-17,0.76,0.6629999999999999,-28.633000000000003,negative,Significantly_Below,regular
24,24,CFG,Citizens Financial Group Inc,2020-01-17,0.95,0.98,3.05,positive,Pos_Average,OutP
25,25,CFG,Citizens Financial Group Inc,2019-12-18,0.953,0.977,2.2769999999999997,positive,Pos_Average,OutP
26,26,CFG,Citizens Financial Group Inc,2019-11-18,0.9570000000000001,0.973,1.5030000000000001,positive,Pos_Average,OutP
27,27,CFG,Citizens Financial Group Inc,2019-10-18,0.96,0.97,0.73,positive,Pos_Average,OutP
28,28,CFG,Citizens Financial Group Inc,2019-09-18,0.953,0.963,0.877,positive,Pos_Average,OutP
29,29,CFG,Citizens Financial Group Inc,2019-08-19,0.9470000000000001,0.9570000000000001,1.023,positive,Pos_Average,OutP
30,30,CFG,Citizens Financial Group Inc,2019-07-19,0.94,0.95,1.17,positive,Pos_Average,OutP
31,31,CFG,Citizens Financial Group Inc,2019-06-19,0.9229999999999999,0.94,1.943,positive,Pos_Average,OutP
32,32,CFG,Citizens Financial Group Inc,2019-05-20,0.907,0.93,2.717,positive,Pos_Average,OutP
33,33,CFG,Citizens Financial Group Inc,2019-04-18,0.89,0.92,3.49,positive,Pos_Average,OutP
34,34,CFG,Citizens Financial Group Inc,2019-03-19,0.907,0.9329999999999999,2.927,positive,Pos_Average,OutP
35,35,CFG,Citizens Financial Group Inc,2019-02-17,0.9229999999999999,0.9470000000000001,2.363,positive,Pos_Average,OutP
36,36,CFG,Citizens Financial Group Inc,2019-01-18,0.94,0.96,1.8,positive,Pos_Average,OutP
37,37,CFG,Citizens Financial Group Inc,2018-12-19,0.927,0.943,1.72,positive,Pos_Average,OutP
38,38,CFG,Citizens Financial Group Inc,2018-11-19,0.9129999999999999,0.927,1.64,positive,Pos_Average,OutP
39,39,CFG,Citizens Financial Group Inc,2018-10-19,0.9,0.91,1.56,positive,Pos_Average,OutP
40,40,CFG,Citizens Financial Group Inc,2018-09-19,0.883,0.9,2.097,positive,Pos_Average,OutP
41,41,CFG,Citizens Financial Group Inc,2018-08-20,0.867,0.89,2.633,positive,Pos_Average,OutP
42,42,CFG,Citizens Financial Group Inc,2018-07-20,0.85,0.88,3.17,positive,Pos_Average,OutP
43,43,CFG,Citizens Financial Group Inc,2018-06-20,0.82,0.847,3.127,positive,Pos_Average,OutP
44,44,CFG,Citizens Financial Group Inc,2018-05-21,0.79,0.813,3.083,positive,Pos_Average,OutP
45,45,CFG,Citizens Financial Group Inc,2018-04-20,0.76,0.78,3.04,positive,Pos_Average,OutP
46,46,CFG,Citizens Financial Group Inc,2018-03-21,0.73,0.757,3.86,positive,Pos_Average,OutP
47,47,CFG,Citizens Financial Group Inc,2018-02-19,0.7,0.733,4.68,positive,Pos_Average,OutP
48,48,CFG,Citizens Financial Group Inc,2018-01-19,0.67,0.71,5.5,positive,Above_Average,OutP
49,49,CFG,Citizens Financial Group Inc,2017-12-20,0.66,0.7,5.693,positive,Above_Average,OutP
50,50,CFG,Citizens Financial Group Inc,2017-11-20,0.65,0.69,5.8870000000000005,positive,Above_Average,OutP
51,51,CFG,Citizens Financial Group Inc,2017-10-20,0.64,0.68,6.08,positive,Above_Average,OutP
52,52,CFG,Citizens Financial Group Inc,2017-09-20,0.623,0.6629999999999999,6.193,positive,Above_Average,OutP
53,53,CFG,Citizens Financial Group Inc,2017-08-21,0.607,0.647,6.307,positive,Above_Average,OutP
