Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
COF,Capital One Financial Corp,"Jan 24, 2022",-,-,-
COF,Capital One Financial Corp,"Oct 20, 2021",-,-,-
COF,Capital One Financial Corp,"Jul 19, 2021",-,-,-
COF,Capital One Financial Corp,"Apr 21, 2021",3.76,-,-
COF,Capital One Financial Corporation,"Jan 26, 2021",2.86,5.35,+86.93
COF,Capital One Financial Corporation,"Oct 22, 2020",2.13,5.06,+137.22
COF,Capital One Financial Corporation,"Jul 21, 2020",-1.68,-2.21,-31.24
COF,Capital One Financial Corporation,"Apr 23, 2020",0.52,-3.1,-701.94
COF,Capital One Financial Corporation,"Jan 21, 2020",2.28,2.25,-1.4
COF,Capital One Financial Corporation,"Oct 24, 2019",2.88,2.69,-6.56
COF,Capital One Financial Corporation,"Jul 18, 2019",2.87,3.24,+12.93
COF,Capital One Financial Corporation,"Apr 25, 2019",2.7,2.86,+5.93
COF,Capital One Financial Corporation,"Jan 22, 2019",2.37,1.87,-21.2
COF,Capital One Financial Corporation,"Oct 23, 2018",2.88,2.99,+3.96
COF,Capital One Financial Corporation,"Jul 19, 2018",2.63,3.71,+41.12
COF,Capital One Financial Corporation,"Apr 24, 2018",2.32,2.62,+13.13
COF,Capital One Financial Corporation,"Jan 23, 2018",1.88,1.59,-15.34
COF,Capital One Financial Corporation,"Oct 24, 2017",2.15,2.14,-0.33
COF,Capital One Financial Corporation,"Jul 20, 2017",1.9,1.94,+2.32
COF,Capital One Financial Corporation,"Apr 25, 2017",1.92,1.54,-19.88
COF,Capital One Financial Corporation,"Jan 24, 2017",1.61,1.45,-9.66
COF,Capital One Financial Corporation,"Oct 25, 2016",1.94,1.9,-2.16
COF,Capital One Financial Corporation,"Jul 21, 2016",1.86,1.69,-9.14
COF,Capital One Financial Corporation,"Apr 26, 2016",1.91,1.84,-3.87
COF,Capital One Financial Corporation,"Jan 26, 2016",1.61,1.58,-2.11
COF,Capital One Financial Corporation,"Oct 22, 2015",1.94,1.98,+2.01
COF,Capital One Financial Corporation,"Jul 23, 2015",1.97,1.5,-23.82
COF,Capital One Financial Corporation,"Apr 23, 2015",1.88,2,+6.61
COF,Capital One Financial Corporation,"Jan 22, 2015",1.74,1.73,-0.69
COF,Capital One Financial Corporation,"Oct 16, 2014",1.94,1.86,-4.12
COF,Capital One Financial Corporation,"Jul 17, 2014",1.82,2.04,+12.04
COF,Capital One Financial Corporation,"Apr 16, 2014",1.69,1.96,+16.02
COF,Capital One Financial Corporation,"Jan 16, 2014",1.55,1.45,-6.34
COF,Capital One Financial Corporation,"Oct 17, 2013",1.8,1.86,+3.25
COF,Capital One Financial Corporation,"Jul 18, 2013",1.72,1.87,+8.64
COF,Capital One Financial Corporation,"Apr 18, 2013",1.6,1.79,+12.06
COF,Capital One Financial Corporation,"Jan 17, 2013",1.58,1.41,-10.83
COF,Capital One Financial Corporation,"Oct 18, 2012",1.66,2.01,+21.14
COF,Capital One Financial Corporation,"Jul 18, 2012",1.07,0.82,-23.25
COF,Capital One Financial Corporation,"Apr 19, 2012",1.39,1.56,+12.32
COF,Capital One Financial Corporation,"Jan 19, 2012",1.56,0.88,-43.42
COF,Capital One Financial Corporation,"Oct 20, 2011",1.68,1.77,+5.27
COF,Capital One Financial Corporation,"Jul 13, 2011",1.71,1.97,+15.47
COF,Capital One Financial Corporation,"Apr 21, 2011",1.55,2.21,+42.62
COF,Capital One Financial Corporation,"Jan 20, 2011",1.36,1.52,+12.14
COF,Capital One Financial Corporation,"Oct 18, 2010",1.17,1.76,+50.24
COF,Capital One Financial Corporation,"Jul 22, 2010",0.88,1.33,+51.31
COF,Capital One Financial Corporation,"Apr 22, 2010",0.59,1.4,+137.29
COF,Capital One Financial Corporation,"Jan 21, 2010",0.45,0.83,+83.97
COF,Capital One Financial Corporation,"Oct 22, 2009",0.14,0.94,+583.44
COF,Capital One Financial Corporation,"Jul 23, 2009",-0.76,-0.65,+14.55
COF,Capital One Financial Corporation,"Apr 21, 2009",-0.08,-0.45,-459.63
