,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,COF,Capital One Financial Corp,2021-10-20,0.000,0.000,0.000
1,COF,Capital One Financial Corp,2021-09-20,0.000,0.000,0.000
2,COF,Capital One Financial Corp,2021-08-21,0.000,0.000,0.000
3,COF,Capital One Financial Corp,2021-07-19,0.000,0.000,0.000
4,COF,Capital One Financial Corp,2021-06-19,1.253,0.000,0.000
5,COF,Capital One Financial Corp,2021-05-20,2.507,0.000,0.000
6,COF,Capital One Financial Corp,2021-04-21,3.760,0.000,0.000
7,COF,Capital One Financial Corp,2021-03-22,3.460,1.783,28.977
8,COF,Capital One Financial Corp,2021-02-20,3.160,3.567,57.953
9,COF,Capital One Financial Corp,2021-01-26,2.860,5.350,86.930
10,COF,Capital One Financial Corp,2020-12-27,2.617,5.253,103.693
11,COF,Capital One Financial Corp,2020-11-27,2.373,5.157,120.457
12,COF,Capital One Financial Corp,2020-10-22,2.130,5.060,137.220
13,COF,Capital One Financial Corp,2020-09-22,0.860,2.637,81.067
14,COF,Capital One Financial Corp,2020-08-23,-0.410,0.213,24.913
15,COF,Capital One Financial Corp,2020-07-21,-1.680,-2.210,-31.240
16,COF,Capital One Financial Corp,2020-06-21,-0.947,-2.507,-254.807
17,COF,Capital One Financial Corp,2020-05-22,-0.213,-2.803,-478.373
18,COF,Capital One Financial Corp,2020-04-23,0.520,-3.100,-701.940
19,COF,Capital One Financial Corp,2020-03-24,1.107,-1.317,-468.427
20,COF,Capital One Financial Corp,2020-02-23,1.693,0.467,-234.913
21,COF,Capital One Financial Corp,2020-01-21,2.280,2.250,-1.400
22,COF,Capital One Financial Corp,2019-12-22,2.480,2.397,-3.120
23,COF,Capital One Financial Corp,2019-11-22,2.680,2.543,-4.840
24,COF,Capital One Financial Corp,2019-10-24,2.880,2.690,-6.560
25,COF,Capital One Financial Corp,2019-09-24,2.877,2.873,-0.063
26,COF,Capital One Financial Corp,2019-08-25,2.873,3.057,6.433
27,COF,Capital One Financial Corp,2019-07-18,2.870,3.240,12.930
28,COF,Capital One Financial Corp,2019-06-18,2.813,3.113,10.597
29,COF,Capital One Financial Corp,2019-05-19,2.757,2.987,8.263
30,COF,Capital One Financial Corp,2019-04-25,2.700,2.860,5.930
31,COF,Capital One Financial Corp,2019-03-26,2.590,2.530,-3.113
32,COF,Capital One Financial Corp,2019-02-24,2.480,2.200,-12.157
33,COF,Capital One Financial Corp,2019-01-22,2.370,1.870,-21.200
34,COF,Capital One Financial Corp,2018-12-23,2.540,2.243,-12.813
35,COF,Capital One Financial Corp,2018-11-23,2.710,2.617,-4.427
36,COF,Capital One Financial Corp,2018-10-23,2.880,2.990,3.960
37,COF,Capital One Financial Corp,2018-09-23,2.797,3.230,16.347
38,COF,Capital One Financial Corp,2018-08-24,2.713,3.470,28.733
39,COF,Capital One Financial Corp,2018-07-19,2.630,3.710,41.120
40,COF,Capital One Financial Corp,2018-06-19,2.527,3.347,31.790
41,COF,Capital One Financial Corp,2018-05-20,2.423,2.983,22.460
42,COF,Capital One Financial Corp,2018-04-24,2.320,2.620,13.130
43,COF,Capital One Financial Corp,2018-03-25,2.173,2.277,3.640
44,COF,Capital One Financial Corp,2018-02-23,2.027,1.933,-5.850
45,COF,Capital One Financial Corp,2018-01-23,1.880,1.590,-15.340
46,COF,Capital One Financial Corp,2017-12-24,1.970,1.773,-10.337
47,COF,Capital One Financial Corp,2017-11-24,2.060,1.957,-5.333
48,COF,Capital One Financial Corp,2017-10-24,2.150,2.140,-0.330
49,COF,Capital One Financial Corp,2017-09-24,2.067,2.073,0.553
50,COF,Capital One Financial Corp,2017-08-25,1.983,2.007,1.437
51,COF,Capital One Financial Corp,2017-07-20,1.900,1.940,2.320
52,COF,Capital One Financial Corp,2017-06-20,1.907,1.807,-5.080
53,COF,Capital One Financial Corp,2017-05-21,1.913,1.673,-12.480
54,COF,Capital One Financial Corp,2017-04-25,1.920,1.540,-19.880
55,COF,Capital One Financial Corp,2017-03-26,1.817,1.510,-16.473
56,COF,Capital One Financial Corp,2017-02-24,1.713,1.480,-13.067
57,COF,Capital One Financial Corp,2017-01-24,1.610,1.450,-9.660
58,COF,Capital One Financial Corp,2016-12-25,1.720,1.600,-7.160
59,COF,Capital One Financial Corp,2016-11-25,1.830,1.750,-4.660
60,COF,Capital One Financial Corp,2016-10-25,1.940,1.900,-2.160
61,COF,Capital One Financial Corp,2016-09-25,1.913,1.830,-4.487
62,COF,Capital One Financial Corp,2016-08-26,1.887,1.760,-6.813
63,COF,Capital One Financial Corp,2016-07-21,1.860,1.690,-9.140
64,COF,Capital One Financial Corp,2016-06-21,1.877,1.740,-7.383
65,COF,Capital One Financial Corp,2016-05-22,1.893,1.790,-5.627
66,COF,Capital One Financial Corp,2016-04-26,1.910,1.840,-3.870
67,COF,Capital One Financial Corp,2016-03-27,1.810,1.753,-3.283
68,COF,Capital One Financial Corp,2016-02-26,1.710,1.667,-2.697
69,COF,Capital One Financial Corp,2016-01-26,1.61,1.58,-2.11
