,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,COF,Capital One Financial Corp,2021-10-20,0.0,0.0,0.0,None,None,NA
1,1,COF,Capital One Financial Corp,2021-09-20,0.0,0.0,0.0,None,None,NA
2,2,COF,Capital One Financial Corp,2021-08-21,0.0,0.0,0.0,None,None,NA
3,3,COF,Capital One Financial Corp,2021-07-19,0.0,0.0,0.0,None,None,NA
4,4,COF,Capital One Financial Corp,2021-06-19,1.253,0.0,0.0,None,None,NA
5,5,COF,Capital One Financial Corp,2021-05-20,2.5069999999999997,0.0,0.0,None,None,NA
6,6,COF,Capital One Financial Corp,2021-04-21,3.76,0.0,0.0,None,None,NA
7,7,COF,Capital One Financial Corp,2021-03-22,3.46,1.7830000000000001,28.976999999999997,positive,Significantly_Above,OutP
8,8,COF,Capital One Financial Corp,2021-02-20,3.16,3.5669999999999997,57.953,positive,Significantly_Above,OutP
9,9,COF,Capital One Financial Corp,2021-01-26,2.86,5.35,86.93,positive,Significantly_Above,OutP
10,10,COF,Capital One Financial Corp,2020-12-27,2.617,5.252999999999999,103.693,positive,Significantly_Above,OutP
11,11,COF,Capital One Financial Corp,2020-11-27,2.373,5.157,120.45700000000001,positive,Significantly_Above,OutP
12,12,COF,Capital One Financial Corp,2020-10-22,2.13,5.06,137.22,positive,Significantly_Above,OutP
13,13,COF,Capital One Financial Corp,2020-09-22,0.86,2.637,81.067,positive,Significantly_Above,regular
14,14,COF,Capital One Financial Corp,2020-08-23,-0.41,0.213,24.913,positive,Significantly_Above,regular
15,15,COF,Capital One Financial Corp,2020-07-21,-1.68,-2.21,-31.24,negative,Significantly_Below,UnderP
16,16,COF,Capital One Financial Corp,2020-06-21,-0.9470000000000001,-2.5069999999999997,-254.80700000000002,negative,Significantly_Below,UnderP
17,17,COF,Capital One Financial Corp,2020-05-22,-0.213,-2.803,-478.37300000000005,negative,Significantly_Below,UnderP
18,18,COF,Capital One Financial Corp,2020-04-23,0.52,-3.1,-701.94,negative,Significantly_Below,UnderP
19,19,COF,Capital One Financial Corp,2020-03-24,1.107,-1.317,-468.42699999999996,negative,Significantly_Below,UnderP
20,20,COF,Capital One Financial Corp,2020-02-23,1.693,0.467,-234.91299999999998,negative,Significantly_Below,UnderP
21,21,COF,Capital One Financial Corp,2020-01-21,2.28,2.25,-1.4,negative,Neg_Average,UnderP
22,22,COF,Capital One Financial Corp,2019-12-22,2.48,2.397,-3.12,negative,Neg_Average,UnderP
23,23,COF,Capital One Financial Corp,2019-11-22,2.68,2.543,-4.84,negative,Neg_Average,UnderP
24,24,COF,Capital One Financial Corp,2019-10-24,2.88,2.69,-6.56,negative,Below_Average,regular
25,25,COF,Capital One Financial Corp,2019-09-24,2.877,2.873,-0.063,negative,Neg_Average,regular
26,26,COF,Capital One Financial Corp,2019-08-25,2.873,3.057,6.433,positive,Above_Average,OutP
27,27,COF,Capital One Financial Corp,2019-07-18,2.87,3.24,12.93,positive,Significantly_Above,OutP
28,28,COF,Capital One Financial Corp,2019-06-18,2.813,3.113,10.597000000000001,positive,Significantly_Above,OutP
29,29,COF,Capital One Financial Corp,2019-05-19,2.7569999999999997,2.987,8.263,positive,Above_Average,regular
30,30,COF,Capital One Financial Corp,2019-04-25,2.7,2.86,5.93,positive,Above_Average,regular
31,31,COF,Capital One Financial Corp,2019-03-26,2.59,2.53,-3.113,negative,Neg_Average,UnderP
32,32,COF,Capital One Financial Corp,2019-02-24,2.48,2.2,-12.157,negative,Significantly_Below,UnderP
33,33,COF,Capital One Financial Corp,2019-01-22,2.37,1.87,-21.2,negative,Significantly_Below,UnderP
34,34,COF,Capital One Financial Corp,2018-12-23,2.54,2.2430000000000003,-12.812999999999999,negative,Significantly_Below,regular
35,35,COF,Capital One Financial Corp,2018-11-23,2.71,2.617,-4.427,negative,Neg_Average,regular
36,36,COF,Capital One Financial Corp,2018-10-23,2.88,2.99,3.96,positive,Pos_Average,OutP
37,37,COF,Capital One Financial Corp,2018-09-23,2.7969999999999997,3.23,16.347,positive,Significantly_Above,OutP
38,38,COF,Capital One Financial Corp,2018-08-24,2.713,3.47,28.733,positive,Significantly_Above,OutP
39,39,COF,Capital One Financial Corp,2018-07-19,2.63,3.71,41.12,positive,Significantly_Above,OutP
40,40,COF,Capital One Financial Corp,2018-06-19,2.5269999999999997,3.347,31.79,positive,Significantly_Above,OutP
41,41,COF,Capital One Financial Corp,2018-05-20,2.423,2.983,22.46,positive,Significantly_Above,OutP
42,42,COF,Capital One Financial Corp,2018-04-24,2.32,2.62,13.13,positive,Significantly_Above,regular
43,43,COF,Capital One Financial Corp,2018-03-25,2.173,2.2769999999999997,3.64,positive,Pos_Average,regular
44,44,COF,Capital One Financial Corp,2018-02-23,2.0269999999999997,1.933,-5.85,negative,Below_Average,UnderP
45,45,COF,Capital One Financial Corp,2018-01-23,1.88,1.59,-15.34,negative,Significantly_Below,UnderP
46,46,COF,Capital One Financial Corp,2017-12-24,1.97,1.7730000000000001,-10.337,negative,Significantly_Below,UnderP
47,47,COF,Capital One Financial Corp,2017-11-24,2.06,1.9569999999999999,-5.332999999999999,negative,Below_Average,regular
48,48,COF,Capital One Financial Corp,2017-10-24,2.15,2.14,-0.33,negative,Neg_Average,regular
49,49,COF,Capital One Financial Corp,2017-09-24,2.0669999999999997,2.073,0.5529999999999999,positive,Pos_Average,OutP
50,50,COF,Capital One Financial Corp,2017-08-25,1.983,2.0069999999999997,1.4369999999999998,positive,Pos_Average,regular
51,51,COF,Capital One Financial Corp,2017-07-20,1.9,1.94,2.32,positive,Pos_Average,regular
52,52,COF,Capital One Financial Corp,2017-06-20,1.9069999999999998,1.807,-5.08,negative,Below_Average,UnderP
53,53,COF,Capital One Financial Corp,2017-05-21,1.913,1.673,-12.48,negative,Significantly_Below,UnderP
54,54,COF,Capital One Financial Corp,2017-04-25,1.92,1.54,-19.88,negative,Significantly_Below,UnderP
55,55,COF,Capital One Financial Corp,2017-03-26,1.817,1.51,-16.473,negative,Significantly_Below,UnderP
56,56,COF,Capital One Financial Corp,2017-02-24,1.713,1.48,-13.067,negative,Significantly_Below,UnderP
57,57,COF,Capital One Financial Corp,2017-01-24,1.61,1.45,-9.66,negative,Below_Average,UnderP
58,58,COF,Capital One Financial Corp,2016-12-25,1.72,1.6,-7.16,negative,Below_Average,UnderP
59,59,COF,Capital One Financial Corp,2016-11-25,1.83,1.75,-4.66,negative,Neg_Average,UnderP
