Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
DB,Deutsche Bank Aktiengesellschaft,4-Feb-21,0.16,0.18,16.13
DB,Deutsche Bank Aktiengesellschaft,28-Oct-20,-0.01,-0.09,-760
DB,Deutsche Bank Aktiengesellschaft,29-Jul-20,-0.05,0.17,440
DB,Deutsche Bank Aktiengesellschaft,29-Apr-20,-0.12,0.1,180
DB,Deutsche Bank Aktiengesellschaft,30-Jan-20,-0.1,-0.15,-50
DB,Deutsche Bank Aktiengesellschaft,30-Oct-19,0.11,-0.15,-236.36
DB,Deutsche Bank Aktiengesellschaft,24-Jul-19,0.13,0.11,-15.38
DB,Deutsche Bank Aktiengesellschaft,26-Apr-19,0.13,0.1,-26.92
DB,Deutsche Bank Aktiengesellschaft,1-Feb-19,0.03,-0.1,-433.33
DB,Deutsche Bank Aktiengesellschaft,24-Oct-18,0.36,0.15,-58.33
DB,Deutsche Bank Aktiengesellschaft,25-Jul-18,0.21,0.26,23.81
DB,Deutsche Bank Aktiengesellschaft,26-Apr-18,0.29,0.31,6.9
DB,Deutsche Bank Aktiengesellschaft,2-Feb-18,0.05,-0.03,-160
DB,Deutsche Bank Aktiengesellschaft,26-Oct-17,0.32,0.37,17.46
DB,Deutsche Bank Aktiengesellschaft,27-Jul-17,0.27,0.24,-11.11
DB,Deutsche Bank Aktiengesellschaft,27-Apr-17,0.4,0.38,-5
DB,Deutsche Bank Aktiengesellschaft,2-Feb-17,-0.02,0.05,350
DB,Deutsche Bank Aktiengesellschaft,27-Oct-16,0.38,0.49,29.55
DB,Deutsche Bank Aktiengesellschaft,27-Jul-16,0.4,0.4,-
DB,Deutsche Bank Aktiengesellschaft,28-Apr-16,0.35,0.44,23.8
DB,Deutsche Bank Aktiengesellschaft,28-Jan-16,0.93,-0.06,-106.7
DB,Deutsche Bank Aktiengesellschaft,29-Oct-15,0.93,1.08,16.63
DB,Deutsche Bank Aktiengesellschaft,30-Jul-15,1.08,0.91,-15.65
DB,Deutsche Bank Aktiengesellschaft,26-Apr-15,-,1.32,-
DB,Deutsche Bank Aktiengesellschaft,29-Jan-15,0.41,0.54,31.71
DB,Deutsche Bank Aktiengesellschaft,29-Oct-14,0.75,0.59,-21.33
DB,Deutsche Bank Aktiengesellschaft,29-Jul-14,0.33,0.59,78.38
DB,Deutsche Bank Aktiengesellschaft,29-Apr-14,1.2,0.92,-23.4
DB,Deutsche Bank Aktiengesellschaft,20-Feb-14,0.4,-0.54,-237.63
DB,Deutsche Bank Aktiengesellschaft,30-Jul-13,0.95,-,-
DB,Deutsche Bank Aktiengesellschaft,27-Apr-10,0.75,3.13,318.18
DB,Deutsche Bank Aktiengesellschaft,28-Jul-09,0.82,1.9,132.29
DB,Deutsche Bank Aktiengesellschaft,28-Apr-09,0.92,2.13,131.48
DB,Deutsche Bank Aktiengesellschaft,5-Feb-09,0.92,-9.79,-1164.81
