Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
DB,Deutsche Bank Aktiengesellschaft,2021/2/4,0.16,0.18,16.13
DB,Deutsche Bank Aktiengesellschaft,2020/10/28,-0.01,-0.09,-760
DB,Deutsche Bank Aktiengesellschaft,2020/7/29,-0.05,0.17,440
DB,Deutsche Bank Aktiengesellschaft,2020/4/29,-0.12,0.1,180
DB,Deutsche Bank Aktiengesellschaft,2020/1/30,-0.1,-0.15,-50
DB,Deutsche Bank Aktiengesellschaft,2019/10/30,0.11,-0.15,-236.36
DB,Deutsche Bank Aktiengesellschaft,2019/7/24,0.13,0.11,-15.38
DB,Deutsche Bank Aktiengesellschaft,2019/4/26,0.13,0.1,-26.92
DB,Deutsche Bank Aktiengesellschaft,2019/2/1,0.03,-0.1,-433.33
DB,Deutsche Bank Aktiengesellschaft,2018/10/24,0.36,0.15,-58.33
DB,Deutsche Bank Aktiengesellschaft,2018/7/25,0.21,0.26,23.81
DB,Deutsche Bank Aktiengesellschaft,2018/4/26,0.29,0.31,6.9
DB,Deutsche Bank Aktiengesellschaft,2018/2/2,0.05,-0.03,-160
DB,Deutsche Bank Aktiengesellschaft,2017/10/26,0.32,0.37,17.46
DB,Deutsche Bank Aktiengesellschaft,2017/7/27,0.27,0.24,-11.11
DB,Deutsche Bank Aktiengesellschaft,2017/4/27,0.4,0.38,-5
DB,Deutsche Bank Aktiengesellschaft,2017/2/2,-0.02,0.05,350
DB,Deutsche Bank Aktiengesellschaft,2016/10/27,0.38,0.49,29.55
DB,Deutsche Bank Aktiengesellschaft,2016/7/27,0.4,0.4,-
DB,Deutsche Bank Aktiengesellschaft,2016/4/28,0.35,0.44,23.8
DB,Deutsche Bank Aktiengesellschaft,2016/1/28,0.93,-0.06,-106.7
