,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,DB,Deutsche Bank Aktiengesellschaft,2021-02-04,0.160,0.180,16.130
1,DB,Deutsche Bank Aktiengesellschaft,2021-01-05,0.103,0.090,-242.580
2,DB,Deutsche Bank Aktiengesellschaft,2020-12-06,0.047,-0.000,-501.290
3,DB,Deutsche Bank Aktiengesellschaft,2020-10-28,-0.010,-0.090,-760.000
4,DB,Deutsche Bank Aktiengesellschaft,2020-09-28,-0.023,-0.003,-360.000
5,DB,Deutsche Bank Aktiengesellschaft,2020-08-29,-0.037,0.083,40.000
6,DB,Deutsche Bank Aktiengesellschaft,2020-07-29,-0.050,0.170,440.000
7,DB,Deutsche Bank Aktiengesellschaft,2020-06-29,-0.073,0.147,353.333
8,DB,Deutsche Bank Aktiengesellschaft,2020-05-30,-0.097,0.123,266.667
9,DB,Deutsche Bank Aktiengesellschaft,2020-04-29,-0.120,0.100,180.000
10,DB,Deutsche Bank Aktiengesellschaft,2020-03-30,-0.113,0.017,103.333
11,DB,Deutsche Bank Aktiengesellschaft,2020-02-29,-0.107,-0.067,26.667
12,DB,Deutsche Bank Aktiengesellschaft,2020-01-30,-0.100,-0.150,-50.000
13,DB,Deutsche Bank Aktiengesellschaft,2019-12-31,-0.030,-0.150,-112.120
14,DB,Deutsche Bank Aktiengesellschaft,2019-12-01,0.040,-0.150,-174.240
15,DB,Deutsche Bank Aktiengesellschaft,2019-10-30,0.110,-0.150,-236.360
16,DB,Deutsche Bank Aktiengesellschaft,2019-09-30,0.117,-0.063,-162.700
17,DB,Deutsche Bank Aktiengesellschaft,2019-08-31,0.123,0.023,-89.040
18,DB,Deutsche Bank Aktiengesellschaft,2019-07-24,0.130,0.110,-15.380
19,DB,Deutsche Bank Aktiengesellschaft,2019-06-24,0.130,0.107,-19.227
20,DB,Deutsche Bank Aktiengesellschaft,2019-05-25,0.130,0.103,-23.073
21,DB,Deutsche Bank Aktiengesellschaft,2019-04-26,0.130,0.100,-26.920
22,DB,Deutsche Bank Aktiengesellschaft,2019-03-27,0.097,0.033,-162.390
23,DB,Deutsche Bank Aktiengesellschaft,2019-02-25,0.063,-0.033,-297.860
24,DB,Deutsche Bank Aktiengesellschaft,2019-02-01,0.030,-0.100,-433.330
25,DB,Deutsche Bank Aktiengesellschaft,2019-01-02,0.140,-0.017,-308.330
26,DB,Deutsche Bank Aktiengesellschaft,2018-12-03,0.250,0.067,-183.330
27,DB,Deutsche Bank Aktiengesellschaft,2018-10-24,0.360,0.150,-58.330
28,DB,Deutsche Bank Aktiengesellschaft,2018-09-24,0.310,0.187,-30.950
29,DB,Deutsche Bank Aktiengesellschaft,2018-08-25,0.260,0.223,-3.570
30,DB,Deutsche Bank Aktiengesellschaft,2018-07-25,0.210,0.260,23.810
31,DB,Deutsche Bank Aktiengesellschaft,2018-06-25,0.237,0.277,18.173
32,DB,Deutsche Bank Aktiengesellschaft,2018-05-26,0.263,0.293,12.537
33,DB,Deutsche Bank Aktiengesellschaft,2018-04-26,0.290,0.310,6.900
34,DB,Deutsche Bank Aktiengesellschaft,2018-03-27,0.210,0.197,-48.733
35,DB,Deutsche Bank Aktiengesellschaft,2018-02-25,0.130,0.083,-104.367
36,DB,Deutsche Bank Aktiengesellschaft,2018-02-02,0.050,-0.030,-160.000
37,DB,Deutsche Bank Aktiengesellschaft,2018-01-03,0.140,0.103,-100.847
38,DB,Deutsche Bank Aktiengesellschaft,2017-12-04,0.230,0.237,-41.693
39,DB,Deutsche Bank Aktiengesellschaft,2017-10-26,0.320,0.370,17.460
40,DB,Deutsche Bank Aktiengesellschaft,2017-09-26,0.303,0.327,7.937
41,DB,Deutsche Bank Aktiengesellschaft,2017-08-27,0.287,0.283,-1.587
42,DB,Deutsche Bank Aktiengesellschaft,2017-07-27,0.270,0.240,-11.110
43,DB,Deutsche Bank Aktiengesellschaft,2017-06-27,0.313,0.287,-9.073
44,DB,Deutsche Bank Aktiengesellschaft,2017-05-28,0.357,0.333,-7.037
45,DB,Deutsche Bank Aktiengesellschaft,2017-04-27,0.400,0.380,-5.000
46,DB,Deutsche Bank Aktiengesellschaft,2017-03-28,0.260,0.270,113.333
47,DB,Deutsche Bank Aktiengesellschaft,2017-02-26,0.120,0.160,231.667
48,DB,Deutsche Bank Aktiengesellschaft,2017-02-02,-0.020,0.050,350.000
49,DB,Deutsche Bank Aktiengesellschaft,2017-01-03,0.113,0.197,243.183
50,DB,Deutsche Bank Aktiengesellschaft,2016-12-04,0.247,0.343,136.367
51,DB,Deutsche Bank Aktiengesellschaft,2016-10-27,0.380,0.490,29.550
52,DB,Deutsche Bank Aktiengesellschaft,2016-09-27,0.387,0.460,19.700
53,DB,Deutsche Bank Aktiengesellschaft,2016-08-28,0.393,0.430,9.850
54,DB,Deutsche Bank Aktiengesellschaft,2016-07-27,0.400,0.400,0.000
55,DB,Deutsche Bank Aktiengesellschaft,2016-06-27,0.383,0.413,7.933
56,DB,Deutsche Bank Aktiengesellschaft,2016-05-28,0.367,0.427,15.867
57,DB,Deutsche Bank Aktiengesellschaft,2016-04-28,0.350,0.440,23.800
58,DB,Deutsche Bank Aktiengesellschaft,2016-03-29,0.543,0.273,-19.700
59,DB,Deutsche Bank Aktiengesellschaft,2016-02-28,0.737,0.107,-63.200
60,DB,Deutsche Bank Aktiengesellschaft,2016-01-28,0.93,-0.06,-106.7
