,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,DB,Deutsche Bank Aktiengesellschaft,2021-02-04,0.16,0.18,16.13,positive,Significantly_Above,regular
1,1,DB,Deutsche Bank Aktiengesellschaft,2021-01-05,0.10300000000000001,0.09,-242.58,negative,Significantly_Below,UnderP
2,2,DB,Deutsche Bank Aktiengesellschaft,2020-12-06,0.047,-0.0,-501.29,negative,Significantly_Below,UnderP
3,3,DB,Deutsche Bank Aktiengesellschaft,2020-10-28,-0.01,-0.09,-760.0,negative,Significantly_Below,regular
4,4,DB,Deutsche Bank Aktiengesellschaft,2020-09-28,-0.023,-0.003,-360.0,negative,Significantly_Below,regular
5,5,DB,Deutsche Bank Aktiengesellschaft,2020-08-29,-0.037000000000000005,0.083,40.0,positive,Significantly_Above,OutP
6,6,DB,Deutsche Bank Aktiengesellschaft,2020-07-29,-0.05,0.17,440.0,positive,Significantly_Above,OutP
7,7,DB,Deutsche Bank Aktiengesellschaft,2020-06-29,-0.073,0.147,353.333,positive,Significantly_Above,OutP
8,8,DB,Deutsche Bank Aktiengesellschaft,2020-05-30,-0.09699999999999999,0.12300000000000001,266.66700000000003,positive,Significantly_Above,OutP
9,9,DB,Deutsche Bank Aktiengesellschaft,2020-04-29,-0.12,0.1,180.0,positive,Significantly_Above,OutP
10,10,DB,Deutsche Bank Aktiengesellschaft,2020-03-30,-0.113,0.017,103.333,positive,Significantly_Above,regular
11,11,DB,Deutsche Bank Aktiengesellschaft,2020-02-29,-0.107,-0.067,26.666999999999998,positive,Significantly_Above,regular
12,12,DB,Deutsche Bank Aktiengesellschaft,2020-01-30,-0.1,-0.15,-50.0,negative,Significantly_Below,UnderP
13,13,DB,Deutsche Bank Aktiengesellschaft,2019-12-31,-0.03,-0.15,-112.12,negative,Significantly_Below,UnderP
14,14,DB,Deutsche Bank Aktiengesellschaft,2019-12-01,0.04,-0.15,-174.24,negative,Significantly_Below,UnderP
15,15,DB,Deutsche Bank Aktiengesellschaft,2019-10-30,0.11,-0.15,-236.36,negative,Significantly_Below,UnderP
16,16,DB,Deutsche Bank Aktiengesellschaft,2019-09-30,0.11699999999999999,-0.063,-162.7,negative,Significantly_Below,UnderP
17,17,DB,Deutsche Bank Aktiengesellschaft,2019-08-31,0.12300000000000001,0.023,-89.04,negative,Significantly_Below,UnderP
18,18,DB,Deutsche Bank Aktiengesellschaft,2019-07-24,0.13,0.11,-15.38,negative,Significantly_Below,UnderP
19,19,DB,Deutsche Bank Aktiengesellschaft,2019-06-24,0.13,0.107,-19.227,negative,Significantly_Below,UnderP
20,20,DB,Deutsche Bank Aktiengesellschaft,2019-05-25,0.13,0.10300000000000001,-23.073,negative,Significantly_Below,UnderP
21,21,DB,Deutsche Bank Aktiengesellschaft,2019-04-26,0.13,0.1,-26.92,negative,Significantly_Below,UnderP
22,22,DB,Deutsche Bank Aktiengesellschaft,2019-03-27,0.09699999999999999,0.033,-162.39,negative,Significantly_Below,UnderP
23,23,DB,Deutsche Bank Aktiengesellschaft,2019-02-25,0.063,-0.033,-297.86,negative,Significantly_Below,UnderP
24,24,DB,Deutsche Bank Aktiengesellschaft,2019-02-01,0.03,-0.1,-433.33,negative,Significantly_Below,UnderP
25,25,DB,Deutsche Bank Aktiengesellschaft,2019-01-02,0.14,-0.017,-308.33,negative,Significantly_Below,UnderP
26,26,DB,Deutsche Bank Aktiengesellschaft,2018-12-03,0.25,0.067,-183.33,negative,Significantly_Below,UnderP
27,27,DB,Deutsche Bank Aktiengesellschaft,2018-10-24,0.36,0.15,-58.33,negative,Significantly_Below,UnderP
28,28,DB,Deutsche Bank Aktiengesellschaft,2018-09-24,0.31,0.187,-30.95,negative,Significantly_Below,regular
29,29,DB,Deutsche Bank Aktiengesellschaft,2018-08-25,0.26,0.223,-3.57,negative,Neg_Average,regular
30,30,DB,Deutsche Bank Aktiengesellschaft,2018-07-25,0.21,0.26,23.81,positive,Significantly_Above,OutP
31,31,DB,Deutsche Bank Aktiengesellschaft,2018-06-25,0.237,0.27699999999999997,18.173,positive,Significantly_Above,OutP
32,32,DB,Deutsche Bank Aktiengesellschaft,2018-05-26,0.263,0.293,12.537,positive,Significantly_Above,regular
33,33,DB,Deutsche Bank Aktiengesellschaft,2018-04-26,0.29,0.31,6.9,positive,Above_Average,regular
34,34,DB,Deutsche Bank Aktiengesellschaft,2018-03-27,0.21,0.19699999999999998,-48.733000000000004,negative,Significantly_Below,UnderP
35,35,DB,Deutsche Bank Aktiengesellschaft,2018-02-25,0.13,0.083,-104.367,negative,Significantly_Below,UnderP
36,36,DB,Deutsche Bank Aktiengesellschaft,2018-02-02,0.05,-0.03,-160.0,negative,Significantly_Below,UnderP
37,37,DB,Deutsche Bank Aktiengesellschaft,2018-01-03,0.14,0.10300000000000001,-100.84700000000001,negative,Significantly_Below,regular
38,38,DB,Deutsche Bank Aktiengesellschaft,2017-12-04,0.23,0.237,-41.693000000000005,negative,Significantly_Below,regular
39,39,DB,Deutsche Bank Aktiengesellschaft,2017-10-26,0.32,0.37,17.46,positive,Significantly_Above,regular
40,40,DB,Deutsche Bank Aktiengesellschaft,2017-09-26,0.303,0.327,7.937,positive,Above_Average,regular
41,41,DB,Deutsche Bank Aktiengesellschaft,2017-08-27,0.287,0.28300000000000003,-1.587,negative,Neg_Average,UnderP
42,42,DB,Deutsche Bank Aktiengesellschaft,2017-07-27,0.27,0.24,-11.11,negative,Significantly_Below,UnderP
43,43,DB,Deutsche Bank Aktiengesellschaft,2017-06-27,0.313,0.287,-9.073,negative,Below_Average,UnderP
44,44,DB,Deutsche Bank Aktiengesellschaft,2017-05-28,0.35700000000000004,0.33299999999999996,-7.037000000000001,negative,Below_Average,regular
45,45,DB,Deutsche Bank Aktiengesellschaft,2017-04-27,0.4,0.38,-5.0,negative,Neg_Average,regular
46,46,DB,Deutsche Bank Aktiengesellschaft,2017-03-28,0.26,0.27,113.333,positive,Significantly_Above,OutP
47,47,DB,Deutsche Bank Aktiengesellschaft,2017-02-26,0.12,0.16,231.667,positive,Significantly_Above,OutP
48,48,DB,Deutsche Bank Aktiengesellschaft,2017-02-02,-0.02,0.05,350.0,positive,Significantly_Above,OutP
49,49,DB,Deutsche Bank Aktiengesellschaft,2017-01-03,0.113,0.19699999999999998,243.183,positive,Significantly_Above,OutP
50,50,DB,Deutsche Bank Aktiengesellschaft,2016-12-04,0.247,0.34299999999999997,136.36700000000002,positive,Significantly_Above,OutP
51,51,DB,Deutsche Bank Aktiengesellschaft,2016-10-27,0.38,0.49,29.55,positive,Significantly_Above,OutP
52,52,DB,Deutsche Bank Aktiengesellschaft,2016-09-27,0.387,0.46,19.7,positive,Significantly_Above,regular
53,53,DB,Deutsche Bank Aktiengesellschaft,2016-08-28,0.39299999999999996,0.43,9.85,positive,Above_Average,regular
54,54,DB,Deutsche Bank Aktiengesellschaft,2016-07-27,0.4,0.4,0.0,None,None,NA
55,55,DB,Deutsche Bank Aktiengesellschaft,2016-06-27,0.38299999999999995,0.413,7.933,positive,Above_Average,OutP
56,56,DB,Deutsche Bank Aktiengesellschaft,2016-05-28,0.36700000000000005,0.42700000000000005,15.867,positive,Significantly_Above,regular
57,57,DB,Deutsche Bank Aktiengesellschaft,2016-04-28,0.35,0.44,23.8,positive,Significantly_Above,regular
58,58,DB,Deutsche Bank Aktiengesellschaft,2016-03-29,0.5429999999999999,0.273,-19.7,negative,Significantly_Below,UnderP
59,59,DB,Deutsche Bank Aktiengesellschaft,2016-02-28,0.737,0.107,-63.2,negative,Significantly_Below,regular
60,60,DB,Deutsche Bank Aktiengesellschaft,2016-01-28,0.93,-0.06,-106.7,negative,Significantly_Below,regular
