Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
GS,Goldman Sachs Group Inc,"Jan 17, 2022",-,-,-
GS,Goldman Sachs Group Inc,"Oct 12, 2021",-,-,-
GS,Goldman Sachs Group Inc,"Jul 13, 2021",-,-,-
GS,Goldman Sachs Group Inc,"Apr 14, 2021",7.72,-,-
GS,"The Goldman Sachs Group, Inc.","Jan 19, 2021",7.47,12.08,+61.63
GS,"The Goldman Sachs Group, Inc.","Oct 14, 2020",5.57,8.98,+61.25
GS,"The Goldman Sachs Group, Inc.","Jul 15, 2020",3.79,0.53,-86
GS,"The Goldman Sachs Group, Inc.","Apr 15, 2020",3.35,3.11,-7.27
GS,"The Goldman Sachs Group, Inc.","Jan 15, 2020",5.47,4.69,-14.2
GS,"The Goldman Sachs Group, Inc.","Oct 15, 2019",4.82,4.79,-0.52
GS,"The Goldman Sachs Group, Inc.","Jul 16, 2019",4.89,5.81,+18.77
GS,"The Goldman Sachs Group, Inc.","Apr 15, 2019",4.89,5.71,+16.86
GS,"The Goldman Sachs Group, Inc.","Jan 16, 2019",4.45,6.04,+35.67
GS,"The Goldman Sachs Group, Inc.","Oct 16, 2018",5.38,6.28,+16.75
GS,"The Goldman Sachs Group, Inc.","Jul 17, 2018",4.66,5.98,+28.46
GS,"The Goldman Sachs Group, Inc.","Apr 17, 2018",5.58,6.95,+24.46
GS,"The Goldman Sachs Group, Inc.","Jan 17, 2018",4.92,5.68,+15.56
GS,"The Goldman Sachs Group, Inc.","Oct 17, 2017",4.17,5.02,+20.44
GS,"The Goldman Sachs Group, Inc.","Jul 18, 2017",3.39,3.95,+16.66
GS,"The Goldman Sachs Group, Inc.","Apr 18, 2017",5.31,5.15,-2.99
GS,"The Goldman Sachs Group, Inc.","Jan 18, 2017",4.82,5.08,+5.37
GS,"The Goldman Sachs Group, Inc.","Oct 18, 2016",3.82,4.88,+27.72
GS,"The Goldman Sachs Group, Inc.","Jul 19, 2016",3,3.72,+24.08
GS,"The Goldman Sachs Group, Inc.","Apr 19, 2016",2.45,2.68,+9.34
GS,"The Goldman Sachs Group, Inc.","Jan 20, 2016",3.54,1.27,-64.07
GS,"The Goldman Sachs Group, Inc.","Oct 15, 2015",2.91,2.9,-0.48
GS,"The Goldman Sachs Group, Inc.","Jul 16, 2015",3.89,1.98,-49.07
GS,"The Goldman Sachs Group, Inc.","Apr 16, 2015",4.26,5.94,+39.5
GS,"The Goldman Sachs Group, Inc.","Jan 16, 2015",4.32,4.38,+1.37
GS,"The Goldman Sachs Group, Inc.","Oct 16, 2014",3.21,4.57,+42.5
GS,"The Goldman Sachs Group, Inc.","Jul 15, 2014",3.05,4.1,+34.52
GS,"The Goldman Sachs Group, Inc.","Apr 17, 2014",3.45,4.02,+16.61
GS,"The Goldman Sachs Group, Inc.","Jan 16, 2014",4.22,4.6,+9.07
GS,"The Goldman Sachs Group, Inc.","Oct 17, 2013",2.43,2.88,+18.58
GS,"The Goldman Sachs Group, Inc.","Jul 16, 2013",2.82,3.7,+31.16
GS,"The Goldman Sachs Group, Inc.","Apr 16, 2013",3.88,4.29,+10.67
GS,"The Goldman Sachs Group, Inc.","Jan 16, 2013",3.78,5.6,+48.07
GS,"The Goldman Sachs Group, Inc.","Oct 16, 2012",2.12,2.85,+34.64
GS,"The Goldman Sachs Group, Inc.","Jul 17, 2012",1.16,1.78,+52.79
GS,"The Goldman Sachs Group, Inc.","Apr 17, 2012",3.55,3.92,+10.45
GS,"The Goldman Sachs Group, Inc.","Jan 18, 2012",1.24,1.84,+48.48
GS,"The Goldman Sachs Group, Inc.","Oct 18, 2011",-0.16,-0.84,-434.76
GS,"The Goldman Sachs Group, Inc.","Jul 19, 2011",2.27,1.85,-18.46
GS,"The Goldman Sachs Group, Inc.","Apr 19, 2011",0.82,1.56,+90.49
GS,"The Goldman Sachs Group, Inc.","Jan 19, 2011",3.76,3.79,+0.89
GS,"The Goldman Sachs Group, Inc.","Oct 19, 2010",2.32,2.98,+28.69
GS,"The Goldman Sachs Group, Inc.","Jul 20, 2010",2.08,0.78,-62.5
GS,"The Goldman Sachs Group, Inc.","Apr 20, 2010",4.01,5.59,+39.34
GS,"The Goldman Sachs Group, Inc.","Jan 21, 2010",5.2,8.2,+57.82
GS,"The Goldman Sachs Group, Inc.","Oct 15, 2009",4.24,5.25,+23.91
GS,"The Goldman Sachs Group, Inc.","Jul 14, 2009",3.54,4.93,+39.19
GS,"The Goldman Sachs Group, Inc.","Apr 13, 2009",1.64,3.39,+106.47
GS,"The Goldman Sachs Group, Inc.","Dec 16, 2008",-3.73,-4.97,-33.3
