Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
GS,Goldman Sachs Group Inc,2021/10/12,-,-,-
GS,Goldman Sachs Group Inc,2021/7/13,-,-,-
GS,Goldman Sachs Group Inc,2021/4/14,7.72,-,-
GS,"The Goldman Sachs Group, Inc.",2021/1/19,7.47,12.08,61.63
GS,"The Goldman Sachs Group, Inc.",2020/10/14,5.57,8.98,61.25
GS,"The Goldman Sachs Group, Inc.",2020/7/15,3.79,0.53,-86
GS,"The Goldman Sachs Group, Inc.",2020/4/15,3.35,3.11,-7.27
GS,"The Goldman Sachs Group, Inc.",2020/1/15,5.47,4.69,-14.2
GS,"The Goldman Sachs Group, Inc.",2019/10/15,4.82,4.79,-0.52
GS,"The Goldman Sachs Group, Inc.",2019/7/16,4.89,5.81,18.77
GS,"The Goldman Sachs Group, Inc.",2019/4/15,4.89,5.71,16.86
GS,"The Goldman Sachs Group, Inc.",2019/1/16,4.45,6.04,35.67
GS,"The Goldman Sachs Group, Inc.",2018/10/16,5.38,6.28,16.75
GS,"The Goldman Sachs Group, Inc.",2018/7/17,4.66,5.98,28.46
GS,"The Goldman Sachs Group, Inc.",2018/4/17,5.58,6.95,24.46
GS,"The Goldman Sachs Group, Inc.",2018/1/17,4.92,5.68,15.56
GS,"The Goldman Sachs Group, Inc.",2017/10/17,4.17,5.02,20.44
GS,"The Goldman Sachs Group, Inc.",2017/7/18,3.39,3.95,16.66
GS,"The Goldman Sachs Group, Inc.",2017/4/18,5.31,5.15,-2.99
GS,"The Goldman Sachs Group, Inc.",2017/1/18,4.82,5.08,5.37
GS,"The Goldman Sachs Group, Inc.",2016/10/18,3.82,4.88,27.72
GS,"The Goldman Sachs Group, Inc.",2016/7/19,3,3.72,24.08
GS,"The Goldman Sachs Group, Inc.",2016/4/19,2.45,2.68,9.34
GS,"The Goldman Sachs Group, Inc.",2016/1/20,3.54,1.27,-64.07
