,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,GS,Goldman Sachs Group Inc,2021-10-12,0.000,0.000,0.000
1,GS,Goldman Sachs Group Inc,2021-09-12,0.000,0.000,0.000
2,GS,Goldman Sachs Group Inc,2021-08-13,0.000,0.000,0.000
3,GS,Goldman Sachs Group Inc,2021-07-13,0.000,0.000,0.000
4,GS,Goldman Sachs Group Inc,2021-06-13,2.573,0.000,0.000
5,GS,Goldman Sachs Group Inc,2021-05-14,5.147,0.000,0.000
6,GS,Goldman Sachs Group Inc,2021-04-14,7.720,0.000,0.000
7,GS,Goldman Sachs Group Inc,2021-03-15,7.637,4.027,20.543
8,GS,Goldman Sachs Group Inc,2021-02-13,7.553,8.053,41.087
9,GS,Goldman Sachs Group Inc,2021-01-19,7.470,12.080,61.630
10,GS,Goldman Sachs Group Inc,2020-12-20,6.837,11.047,61.503
11,GS,Goldman Sachs Group Inc,2020-11-20,6.203,10.013,61.377
12,GS,Goldman Sachs Group Inc,2020-10-14,5.570,8.980,61.250
13,GS,Goldman Sachs Group Inc,2020-09-14,4.977,6.163,12.167
14,GS,Goldman Sachs Group Inc,2020-08-15,4.383,3.347,-36.917
15,GS,Goldman Sachs Group Inc,2020-07-15,3.790,0.530,-86.000
16,GS,Goldman Sachs Group Inc,2020-06-15,3.643,1.390,-59.757
17,GS,Goldman Sachs Group Inc,2020-05-16,3.497,2.250,-33.513
18,GS,Goldman Sachs Group Inc,2020-04-15,3.350,3.110,-7.270
19,GS,Goldman Sachs Group Inc,2020-03-16,4.057,3.637,-9.580
20,GS,Goldman Sachs Group Inc,2020-02-15,4.763,4.163,-11.890
21,GS,Goldman Sachs Group Inc,2020-01-15,5.470,4.690,-14.200
22,GS,Goldman Sachs Group Inc,2019-12-16,5.253,4.723,-9.640
23,GS,Goldman Sachs Group Inc,2019-11-16,5.037,4.757,-5.080
24,GS,Goldman Sachs Group Inc,2019-10-15,4.820,4.790,-0.520
25,GS,Goldman Sachs Group Inc,2019-09-15,4.843,5.130,5.910
26,GS,Goldman Sachs Group Inc,2019-08-16,4.867,5.470,12.340
27,GS,Goldman Sachs Group Inc,2019-07-16,4.890,5.810,18.770
28,GS,Goldman Sachs Group Inc,2019-06-16,4.890,5.777,18.133
29,GS,Goldman Sachs Group Inc,2019-05-17,4.890,5.743,17.497
30,GS,Goldman Sachs Group Inc,2019-04-15,4.890,5.710,16.860
31,GS,Goldman Sachs Group Inc,2019-03-16,4.743,5.820,23.130
32,GS,Goldman Sachs Group Inc,2019-02-14,4.597,5.930,29.400
33,GS,Goldman Sachs Group Inc,2019-01-16,4.450,6.040,35.670
34,GS,Goldman Sachs Group Inc,2018-12-17,4.760,6.120,29.363
35,GS,Goldman Sachs Group Inc,2018-11-17,5.070,6.200,23.057
36,GS,Goldman Sachs Group Inc,2018-10-16,5.380,6.280,16.750
37,GS,Goldman Sachs Group Inc,2018-09-16,5.140,6.180,20.653
38,GS,Goldman Sachs Group Inc,2018-08-17,4.900,6.080,24.557
39,GS,Goldman Sachs Group Inc,2018-07-17,4.660,5.980,28.460
40,GS,Goldman Sachs Group Inc,2018-06-17,4.967,6.303,27.127
41,GS,Goldman Sachs Group Inc,2018-05-18,5.273,6.627,25.793
42,GS,Goldman Sachs Group Inc,2018-04-17,5.580,6.950,24.460
43,GS,Goldman Sachs Group Inc,2018-03-18,5.360,6.527,21.493
44,GS,Goldman Sachs Group Inc,2018-02-16,5.140,6.103,18.527
45,GS,Goldman Sachs Group Inc,2018-01-17,4.920,5.680,15.560
46,GS,Goldman Sachs Group Inc,2017-12-18,4.670,5.460,17.187
47,GS,Goldman Sachs Group Inc,2017-11-18,4.420,5.240,18.813
48,GS,Goldman Sachs Group Inc,2017-10-17,4.170,5.020,20.440
49,GS,Goldman Sachs Group Inc,2017-09-17,3.910,4.663,19.180
50,GS,Goldman Sachs Group Inc,2017-08-18,3.650,4.307,17.920
51,GS,Goldman Sachs Group Inc,2017-07-18,3.390,3.950,16.660
52,GS,Goldman Sachs Group Inc,2017-06-18,4.030,4.350,10.110
53,GS,Goldman Sachs Group Inc,2017-05-19,4.670,4.750,3.560
54,GS,Goldman Sachs Group Inc,2017-04-18,5.310,5.150,-2.990
55,GS,Goldman Sachs Group Inc,2017-03-19,5.147,5.127,-0.203
56,GS,Goldman Sachs Group Inc,2017-02-17,4.983,5.103,2.583
57,GS,Goldman Sachs Group Inc,2017-01-18,4.820,5.080,5.370
58,GS,Goldman Sachs Group Inc,2016-12-19,4.487,5.013,12.820
59,GS,Goldman Sachs Group Inc,2016-11-19,4.153,4.947,20.270
60,GS,Goldman Sachs Group Inc,2016-10-18,3.820,4.880,27.720
61,GS,Goldman Sachs Group Inc,2016-09-18,3.547,4.493,26.507
62,GS,Goldman Sachs Group Inc,2016-08-19,3.273,4.107,25.293
63,GS,Goldman Sachs Group Inc,2016-07-19,3.000,3.720,24.080
64,GS,Goldman Sachs Group Inc,2016-06-19,2.817,3.373,19.167
65,GS,Goldman Sachs Group Inc,2016-05-20,2.633,3.027,14.253
66,GS,Goldman Sachs Group Inc,2016-04-19,2.450,2.680,9.340
67,GS,Goldman Sachs Group Inc,2016-03-20,2.813,2.210,-15.130
68,GS,Goldman Sachs Group Inc,2016-02-19,3.177,1.740,-39.600
69,GS,Goldman Sachs Group Inc,2016-01-20,3.54,1.27,-64.07
