,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,GS,Goldman Sachs Group Inc,2021-10-12,0.0,0.0,0.0,None,None,NA
1,1,GS,Goldman Sachs Group Inc,2021-09-12,0.0,0.0,0.0,None,None,NA
2,2,GS,Goldman Sachs Group Inc,2021-08-13,0.0,0.0,0.0,None,None,NA
3,3,GS,Goldman Sachs Group Inc,2021-07-13,0.0,0.0,0.0,None,None,NA
4,4,GS,Goldman Sachs Group Inc,2021-06-13,2.573,0.0,0.0,None,None,NA
5,5,GS,Goldman Sachs Group Inc,2021-05-14,5.147,0.0,0.0,None,None,NA
6,6,GS,Goldman Sachs Group Inc,2021-04-14,7.72,0.0,0.0,None,None,NA
7,7,GS,Goldman Sachs Group Inc,2021-03-15,7.6370000000000005,4.027,20.543000000000003,positive,Significantly_Above,OutP
8,8,GS,Goldman Sachs Group Inc,2021-02-13,7.553,8.052999999999999,41.086999999999996,positive,Significantly_Above,OutP
9,9,GS,Goldman Sachs Group Inc,2021-01-19,7.47,12.08,61.63,positive,Significantly_Above,OutP
10,10,GS,Goldman Sachs Group Inc,2020-12-20,6.837000000000001,11.047,61.503,positive,Significantly_Above,OutP
11,11,GS,Goldman Sachs Group Inc,2020-11-20,6.202999999999999,10.013,61.376999999999995,positive,Significantly_Above,OutP
12,12,GS,Goldman Sachs Group Inc,2020-10-14,5.57,8.98,61.25,positive,Significantly_Above,regular
13,13,GS,Goldman Sachs Group Inc,2020-09-14,4.977,6.162999999999999,12.167,positive,Significantly_Above,regular
14,14,GS,Goldman Sachs Group Inc,2020-08-15,4.383,3.347,-36.917,negative,Significantly_Below,UnderP
15,15,GS,Goldman Sachs Group Inc,2020-07-15,3.79,0.53,-86.0,negative,Significantly_Below,UnderP
16,16,GS,Goldman Sachs Group Inc,2020-06-15,3.6430000000000002,1.39,-59.757,negative,Significantly_Below,UnderP
17,17,GS,Goldman Sachs Group Inc,2020-05-16,3.497,2.25,-33.513000000000005,negative,Significantly_Below,UnderP
18,18,GS,Goldman Sachs Group Inc,2020-04-15,3.35,3.11,-7.27,negative,Below_Average,UnderP
19,19,GS,Goldman Sachs Group Inc,2020-03-16,4.0569999999999995,3.637,-9.58,negative,Below_Average,UnderP
20,20,GS,Goldman Sachs Group Inc,2020-02-15,4.763,4.163,-11.89,negative,Significantly_Below,UnderP
21,21,GS,Goldman Sachs Group Inc,2020-01-15,5.47,4.69,-14.2,negative,Significantly_Below,UnderP
22,22,GS,Goldman Sachs Group Inc,2019-12-16,5.252999999999999,4.723,-9.64,negative,Below_Average,UnderP
23,23,GS,Goldman Sachs Group Inc,2019-11-16,5.037,4.757,-5.08,negative,Below_Average,regular
24,24,GS,Goldman Sachs Group Inc,2019-10-15,4.82,4.79,-0.52,negative,Neg_Average,regular
25,25,GS,Goldman Sachs Group Inc,2019-09-15,4.843,5.13,5.91,positive,Above_Average,OutP
