Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
JPM,JPMorgan Chase & Co,"Jan 14, 2022",-,-,-
JPM,JPMorgan Chase & Co,"Oct 13, 2021",-,-,-
JPM,JPMorgan Chase & Co,"Jul 13, 2021",-,-,-
JPM,JPMorgan Chase & Co,"Apr 14, 2021",2.78,-,-
JPM,JPMorgan Chase & Co.,"Jan 15, 2021",2.62,3.79,+44.44
JPM,JPMorgan Chase & Co.,"Oct 13, 2020",2.23,2.92,+31.18
JPM,JPMorgan Chase & Co.,"Jul 14, 2020",1.04,1.38,+32.56
JPM,JPMorgan Chase & Co.,"Apr 14, 2020",1.84,0.78,-57.65
JPM,JPMorgan Chase & Co.,"Jan 14, 2020",2.35,2.57,+9.32
JPM,JPMorgan Chase & Co.,"Oct 15, 2019",2.45,2.68,+9.34
JPM,JPMorgan Chase & Co.,"Jul 16, 2019",2.5,2.82,+12.94
JPM,JPMorgan Chase & Co.,"Apr 12, 2019",2.35,2.65,+12.62
JPM,JPMorgan Chase & Co.,"Jan 15, 2019",2.2,1.98,-10
JPM,JPMorgan Chase & Co.,"Oct 12, 2018",2.25,2.34,+3.91
JPM,JPMorgan Chase & Co.,"Jul 13, 2018",2.22,2.29,+3.29
JPM,JPMorgan Chase & Co.,"Apr 13, 2018",2.28,2.37,+3.86
JPM,JPMorgan Chase & Co.,"Jan 12, 2018",1.69,1.76,+4.08
JPM,JPMorgan Chase & Co.,"Oct 12, 2017",1.65,1.76,+6.47
JPM,JPMorgan Chase & Co.,"Jul 14, 2017",1.58,1.82,+14.97
JPM,JPMorgan Chase & Co.,"Apr 13, 2017",1.52,1.65,+8.62
JPM,JPMorgan Chase & Co.,"Jan 13, 2017",1.44,1.71,+19.08
JPM,JPMorgan Chase & Co.,"Oct 14, 2016",1.39,1.58,+13.67
JPM,JPMorgan Chase & Co.,"Jul 14, 2016",1.43,1.55,+8.54
JPM,JPMorgan Chase & Co.,"Apr 13, 2016",1.26,1.35,+7.4
JPM,JPMorgan Chase & Co.,"Jan 14, 2016",1.25,1.32,+5.35
JPM,JPMorgan Chase & Co.,"Oct 13, 2015",1.37,1.68,+22.63
JPM,JPMorgan Chase & Co.,"Jul 14, 2015",1.44,1.54,+6.94
JPM,JPMorgan Chase & Co.,"Apr 14, 2015",1.4,1.45,+3.79
JPM,JPMorgan Chase & Co.,"Jan 14, 2015",1.31,1.19,-9.02
JPM,JPMorgan Chase & Co.,"Oct 14, 2014",1.38,1.36,-1.52
JPM,JPMorgan Chase & Co.,"Jul 15, 2014",1.29,1.46,+12.83
JPM,JPMorgan Chase & Co.,"Apr 11, 2014",1.4,1.28,-8.85
JPM,JPMorgan Chase & Co.,"Jan 14, 2014",1.35,1.4,+3.8
JPM,JPMorgan Chase & Co.,"Oct 11, 2013",1.17,1.42,+20.87
JPM,JPMorgan Chase & Co.,"Jul 12, 2013",1.44,1.6,+10.76
JPM,JPMorgan Chase & Co.,"Apr 12, 2013",1.39,1.59,+14.58
JPM,JPMorgan Chase & Co.,"Jan 16, 2013",1.16,1.39,+19.79
JPM,JPMorgan Chase & Co.,"Oct 12, 2012",1.24,1.51,+22.27
JPM,JPMorgan Chase & Co.,"Jul 13, 2012",0.71,1.09,+54.25
JPM,JPMorgan Chase & Co.,"Apr 13, 2012",1.18,1.28,+8.52
JPM,JPMorgan Chase & Co.,"Jan 13, 2012",0.9,0.9,-0.17
JPM,JPMorgan Chase & Co.,"Oct 13, 2011",0.91,1.02,+12.53
JPM,JPMorgan Chase & Co.,"Jul 14, 2011",1.21,1.27,+5.22
JPM,JPMorgan Chase & Co.,"Apr 13, 2011",1.16,1.28,+10.48
JPM,JPMorgan Chase & Co.,"Jan 14, 2011",1,1.12,+12.22
JPM,JPMorgan Chase & Co.,"Oct 13, 2010",0.9,1.01,+12.33
JPM,JPMorgan Chase & Co.,"Jul 15, 2010",0.67,0.73,+8.42
JPM,JPMorgan Chase & Co.,"Apr 14, 2010",0.64,0.74,+16.37
JPM,JPMorgan Chase & Co.,"Jan 15, 2010",0.61,0.74,+22.31
JPM,JPMorgan Chase & Co.,"Oct 14, 2009",0.52,0.82,+58.15
JPM,JPMorgan Chase & Co.,"Jul 16, 2009",0.04,0.28,+588.47
JPM,JPMorgan Chase & Co.,"Apr 16, 2009",0.32,0.4,+24.32
JPM,JPMorgan Chase & Co.,"Jan 15, 2009",-,0.07,+2172.73
JPM,JPMorgan Chase & Co.,"Oct 15, 2008",-0.21,0.11,+151.62
JPM,JPMorgan Chase & Co.,"Jul 17, 2008",0.44,0.54,+23.73
JPM,JPMorgan Chase & Co.,"Apr 16, 2008",0.64,0.68,+6.13
JPM,JPMorgan Chase & Co.,"Jan 16, 2008",0.92,0.86,-6.86
JPM,JPMorgan Chase & Co.,"Oct 17, 2007",0.9,0.97,+8.2
JPM,JPMorgan Chase & Co.,"Jul 18, 2007",1.09,1.2,+10.6
JPM,JPMorgan Chase & Co.,"Apr 18, 2007",1.02,1.34,+31.92
JPM,JPMorgan Chase & Co.,"Jan 17, 2007",0.95,1.09,+14.98
JPM,JPMorgan Chase & Co.,"Oct 18, 2006",0.86,0.92,+7.5
JPM,JPMorgan Chase & Co.,"Jul 19, 2006",0.87,0.99,+14.25
JPM,JPMorgan Chase & Co.,"Apr 19, 2006",0.84,0.86,+2.99
JPM,JPMorgan Chase & Co.,"Jan 18, 2006",0.72,0.73,+1.31
JPM,JPMorgan Chase & Co.,"Oct 19, 2005",0.72,0.75,+4.01
JPM,JPMorgan Chase & Co.,"Jul 20, 2005",0.64,0.66,+3.39
JPM,JPMorgan Chase & Co.,"Apr 20, 2005",0.69,0.81,+17.59
JPM,JPMorgan Chase & Co.,"Jan 19, 2005",0.68,0.64,-5.47
JPM,JPMorgan Chase & Co.,"Oct 20, 2004",0.74,0.6,-18.37
JPM,JPMorgan Chase & Co.,"Jul 21, 2004",0.83,0.85,+2.95
JPM,JPMorgan Chase & Co.,"Apr 21, 2004",0.87,0.92,+6.05
JPM,JPMorgan Chase & Co.,"Jan 21, 2004",0.77,0.89,+15.24
JPM,JPMorgan Chase & Co.,"Oct 22, 2003",0.76,0.78,+3.26
JPM,JPMorgan Chase & Co.,"Jul 16, 2003",0.63,0.89,+42.21
JPM,JPMorgan Chase & Co.,"Apr 16, 2003",0.51,0.69,+34.28
JPM,JPMorgan Chase & Co.,"Jan 22, 2003",-0.09,-0.07,+24.32
JPM,JPMorgan Chase & Co.,"Oct 16, 2002",0.07,0.16,+134.47
JPM,JPMorgan Chase & Co.,"Jul 17, 2002",0.65,0.58,-10.94
JPM,JPMorgan Chase & Co.,"Apr 17, 2002",0.53,0.57,+6.99
JPM,JPMorgan Chase & Co.,"Jan 16, 2002",0.34,0.12,-64.65
JPM,JPMorgan Chase & Co.,"Oct 17, 2001",0.5,0.51,+1.79
JPM,JPMorgan Chase & Co.,"Jul 18, 2001",0.65,0.64,-1.1
JPM,JPMorgan Chase & Co.,"Apr 18, 2001",0.67,0.7,+5.13
JPM,JPMorgan Chase & Co.,"Mar 12, 2001",0.45,0.37,-18.55
JPM,JPMorgan Chase & Co.,"Oct 18, 2000",0.94,0.68,-27.77
JPM,JPMorgan Chase & Co.,"Jul 19, 2000",0.85,0.95,+11.26
JPM,JPMorgan Chase & Co.,"Apr 19, 2000",1.02,1.06,+3.49
JPM,JPMorgan Chase & Co.,"Jan 19, 2000",0.87,1.32,+50.88
JPM,JPMorgan Chase & Co.,"Oct 20, 1999",0.88,0.91,+3.63
JPM,JPMorgan Chase & Co.,"Jul 21, 1999",0.9,1.03,+14.27
JPM,JPMorgan Chase & Co.,"Apr 20, 1999",0.83,0.91,+10.38
JPM,JPMorgan Chase & Co.,"Jan 19, 1999",0.79,0.87,+10.08
JPM,JPMorgan Chase & Co.,"Oct 20, 1998",0.52,0.55,+5.81
JPM,JPMorgan Chase & Co.,"Jul 21, 1998",0.79,0.83,+4.67
JPM,JPMorgan Chase & Co.,"Apr 21, 1998",0.75,0.78,+4.03
JPM,JPMorgan Chase & Co.,"Jan 20, 1998",0.64,0.63,-2.29
JPM,JPMorgan Chase & Co.,"Oct 21, 1997",0.72,0.75,+4.6
JPM,JPMorgan Chase & Co.,"Jul 15, 1997",0.69,0.7,+2.29
JPM,JPMorgan Chase & Co.,"Apr 15, 1997",0.66,0.67,+1.04
