,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,JPM,JPMorgan Chase & Co,2021-10-13,0.000,0.000,0.000
1,JPM,JPMorgan Chase & Co,2021-09-13,0.000,0.000,0.000
2,JPM,JPMorgan Chase & Co,2021-08-14,0.000,0.000,0.000
3,JPM,JPMorgan Chase & Co,2021-07-13,0.000,0.000,0.000
4,JPM,JPMorgan Chase & Co,2021-06-13,0.927,0.000,0.000
5,JPM,JPMorgan Chase & Co,2021-05-14,1.853,0.000,0.000
6,JPM,JPMorgan Chase & Co,2021-04-14,2.780,0.000,0.000
7,JPM,JPMorgan Chase & Co,2021-03-15,2.727,1.263,14.813
8,JPM,JPMorgan Chase & Co,2021-02-13,2.673,2.527,29.627
9,JPM,JPMorgan Chase & Co,2021-01-15,2.620,3.790,44.440
10,JPM,JPMorgan Chase & Co,2020-12-16,2.490,3.500,40.020
11,JPM,JPMorgan Chase & Co,2020-11-16,2.360,3.210,35.600
12,JPM,JPMorgan Chase & Co,2020-10-13,2.230,2.920,31.180
13,JPM,JPMorgan Chase & Co,2020-09-13,1.833,2.407,31.640
14,JPM,JPMorgan Chase & Co,2020-08-14,1.437,1.893,32.100
15,JPM,JPMorgan Chase & Co,2020-07-14,1.040,1.380,32.560
16,JPM,JPMorgan Chase & Co,2020-06-14,1.307,1.180,2.490
17,JPM,JPMorgan Chase & Co,2020-05-15,1.573,0.980,-27.580
18,JPM,JPMorgan Chase & Co,2020-04-14,1.840,0.780,-57.650
19,JPM,JPMorgan Chase & Co,2020-03-15,2.010,1.377,-35.327
20,JPM,JPMorgan Chase & Co,2020-02-14,2.180,1.973,-13.003
21,JPM,JPMorgan Chase & Co,2020-01-14,2.350,2.570,9.320
22,JPM,JPMorgan Chase & Co,2019-12-15,2.383,2.607,9.327
23,JPM,JPMorgan Chase & Co,2019-11-15,2.417,2.643,9.333
24,JPM,JPMorgan Chase & Co,2019-10-15,2.450,2.680,9.340
25,JPM,JPMorgan Chase & Co,2019-09-15,2.467,2.727,10.540
26,JPM,JPMorgan Chase & Co,2019-08-16,2.483,2.773,11.740
27,JPM,JPMorgan Chase & Co,2019-07-16,2.500,2.820,12.940
28,JPM,JPMorgan Chase & Co,2019-06-16,2.450,2.763,12.833
29,JPM,JPMorgan Chase & Co,2019-05-17,2.400,2.707,12.727
30,JPM,JPMorgan Chase & Co,2019-04-12,2.350,2.650,12.620
31,JPM,JPMorgan Chase & Co,2019-03-13,2.300,2.427,5.080
32,JPM,JPMorgan Chase & Co,2019-02-11,2.250,2.203,-2.460
33,JPM,JPMorgan Chase & Co,2019-01-15,2.200,1.980,-10.000
34,JPM,JPMorgan Chase & Co,2018-12-16,2.217,2.100,-5.363
35,JPM,JPMorgan Chase & Co,2018-11-16,2.233,2.220,-0.727
36,JPM,JPMorgan Chase & Co,2018-10-12,2.250,2.340,3.910
37,JPM,JPMorgan Chase & Co,2018-09-12,2.240,2.323,3.703
38,JPM,JPMorgan Chase & Co,2018-08-13,2.230,2.307,3.497
39,JPM,JPMorgan Chase & Co,2018-07-13,2.220,2.290,3.290
40,JPM,JPMorgan Chase & Co,2018-06-13,2.240,2.317,3.480
41,JPM,JPMorgan Chase & Co,2018-05-14,2.260,2.343,3.670
42,JPM,JPMorgan Chase & Co,2018-04-13,2.280,2.370,3.860
43,JPM,JPMorgan Chase & Co,2018-03-14,2.083,2.167,3.933
44,JPM,JPMorgan Chase & Co,2018-02-12,1.887,1.963,4.007
45,JPM,JPMorgan Chase & Co,2018-01-12,1.690,1.760,4.080
46,JPM,JPMorgan Chase & Co,2017-12-13,1.677,1.760,4.877
47,JPM,JPMorgan Chase & Co,2017-11-13,1.663,1.760,5.673
48,JPM,JPMorgan Chase & Co,2017-10-12,1.650,1.760,6.470
49,JPM,JPMorgan Chase & Co,2017-09-12,1.627,1.780,9.303
50,JPM,JPMorgan Chase & Co,2017-08-13,1.603,1.800,12.137
51,JPM,JPMorgan Chase & Co,2017-07-14,1.580,1.820,14.970
52,JPM,JPMorgan Chase & Co,2017-06-14,1.560,1.763,12.853
53,JPM,JPMorgan Chase & Co,2017-05-15,1.540,1.707,10.737
54,JPM,JPMorgan Chase & Co,2017-04-13,1.520,1.650,8.620
55,JPM,JPMorgan Chase & Co,2017-03-14,1.493,1.670,12.107
56,JPM,JPMorgan Chase & Co,2017-02-12,1.467,1.690,15.593
57,JPM,JPMorgan Chase & Co,2017-01-13,1.440,1.710,19.080
58,JPM,JPMorgan Chase & Co,2016-12-14,1.423,1.667,17.277
59,JPM,JPMorgan Chase & Co,2016-11-14,1.407,1.623,15.473
60,JPM,JPMorgan Chase & Co,2016-10-14,1.390,1.580,13.670
61,JPM,JPMorgan Chase & Co,2016-09-14,1.403,1.570,11.960
62,JPM,JPMorgan Chase & Co,2016-08-15,1.417,1.560,10.250
63,JPM,JPMorgan Chase & Co,2016-07-14,1.430,1.550,8.540
64,JPM,JPMorgan Chase & Co,2016-06-14,1.373,1.483,8.160
65,JPM,JPMorgan Chase & Co,2016-05-15,1.317,1.417,7.780
66,JPM,JPMorgan Chase & Co,2016-04-13,1.260,1.350,7.400
67,JPM,JPMorgan Chase & Co,2016-03-14,1.257,1.340,6.717
68,JPM,JPMorgan Chase & Co,2016-02-13,1.253,1.330,6.033
69,JPM,JPMorgan Chase & Co,2016-01-14,1.25,1.32,5.35
