,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,JPM,JPMorgan Chase & Co,2021-10-13,0.0,0.0,0.0,None,None,NA
1,1,JPM,JPMorgan Chase & Co,2021-09-13,0.0,0.0,0.0,None,None,NA
2,2,JPM,JPMorgan Chase & Co,2021-08-14,0.0,0.0,0.0,None,None,NA
3,3,JPM,JPMorgan Chase & Co,2021-07-13,0.0,0.0,0.0,None,None,NA
4,4,JPM,JPMorgan Chase & Co,2021-06-13,0.927,0.0,0.0,None,None,NA
5,5,JPM,JPMorgan Chase & Co,2021-05-14,1.8530000000000002,0.0,0.0,None,None,NA
6,6,JPM,JPMorgan Chase & Co,2021-04-14,2.78,0.0,0.0,None,None,NA
7,7,JPM,JPMorgan Chase & Co,2021-03-15,2.727,1.263,14.812999999999999,positive,Significantly_Above,OutP
8,8,JPM,JPMorgan Chase & Co,2021-02-13,2.673,2.5269999999999997,29.627,positive,Significantly_Above,OutP
9,9,JPM,JPMorgan Chase & Co,2021-01-15,2.62,3.79,44.44,positive,Significantly_Above,OutP
10,10,JPM,JPMorgan Chase & Co,2020-12-16,2.49,3.5,40.02,positive,Significantly_Above,OutP
11,11,JPM,JPMorgan Chase & Co,2020-11-16,2.36,3.21,35.6,positive,Significantly_Above,OutP
12,12,JPM,JPMorgan Chase & Co,2020-10-13,2.23,2.92,31.18,positive,Significantly_Above,OutP
13,13,JPM,JPMorgan Chase & Co,2020-09-13,1.8330000000000002,2.407,31.64,positive,Significantly_Above,OutP
14,14,JPM,JPMorgan Chase & Co,2020-08-14,1.4369999999999998,1.893,32.1,positive,Significantly_Above,OutP
15,15,JPM,JPMorgan Chase & Co,2020-07-14,1.04,1.38,32.56,positive,Significantly_Above,regular
16,16,JPM,JPMorgan Chase & Co,2020-06-14,1.307,1.18,2.49,positive,Pos_Average,regular
17,17,JPM,JPMorgan Chase & Co,2020-05-15,1.5730000000000002,0.98,-27.58,negative,Significantly_Below,UnderP
18,18,JPM,JPMorgan Chase & Co,2020-04-14,1.84,0.78,-57.65,negative,Significantly_Below,UnderP
19,19,JPM,JPMorgan Chase & Co,2020-03-15,2.01,1.3769999999999998,-35.327,negative,Significantly_Below,regular
20,20,JPM,JPMorgan Chase & Co,2020-02-14,2.18,1.973,-13.003,negative,Significantly_Below,regular
21,21,JPM,JPMorgan Chase & Co,2020-01-14,2.35,2.57,9.32,positive,Above_Average,OutP
22,22,JPM,JPMorgan Chase & Co,2019-12-15,2.383,2.6069999999999998,9.327,positive,Above_Average,OutP
23,23,JPM,JPMorgan Chase & Co,2019-11-15,2.417,2.6430000000000002,9.333,positive,Above_Average,OutP
24,24,JPM,JPMorgan Chase & Co,2019-10-15,2.45,2.68,9.34,positive,Above_Average,OutP
25,25,JPM,JPMorgan Chase & Co,2019-09-15,2.467,2.727,10.54,positive,Significantly_Above,OutP
26,26,JPM,JPMorgan Chase & Co,2019-08-16,2.483,2.773,11.74,positive,Significantly_Above,OutP
27,27,JPM,JPMorgan Chase & Co,2019-07-16,2.5,2.82,12.94,positive,Significantly_Above,OutP
28,28,JPM,JPMorgan Chase & Co,2019-06-16,2.45,2.763,12.833,positive,Significantly_Above,OutP
