,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,PNC,PNC Financial Services Group Inc,2021-10-15,0.0,0.0,0.0,None,None,NA
1,1,PNC,PNC Financial Services Group Inc,2021-09-15,0.0,0.0,0.0,None,None,NA
2,2,PNC,PNC Financial Services Group Inc,2021-08-16,0.0,0.0,0.0,None,None,NA
3,3,PNC,PNC Financial Services Group Inc,2021-07-14,0.0,0.0,0.0,None,None,NA
4,4,PNC,PNC Financial Services Group Inc,2021-06-14,0.867,0.0,0.0,None,None,NA
5,5,PNC,PNC Financial Services Group Inc,2021-05-15,1.733,0.0,0.0,None,None,NA
6,6,PNC,PNC Financial Services Group Inc,2021-04-16,2.6,0.0,0.0,None,None,NA
7,7,PNC,PNC Financial Services Group Inc,2021-03-17,2.6069999999999998,1.087,8.222999999999999,positive,Above_Average,OutP
8,8,PNC,PNC Financial Services Group Inc,2021-02-15,2.613,2.173,16.447,positive,Significantly_Above,OutP
9,9,PNC,PNC Financial Services Group Inc,2021-01-15,2.62,3.26,24.67,positive,Significantly_Above,OutP
10,10,PNC,PNC Financial Services Group Inc,2020-12-16,2.4530000000000003,3.303,36.39,positive,Significantly_Above,OutP
11,11,PNC,PNC Financial Services Group Inc,2020-11-16,2.287,3.347,48.11,positive,Significantly_Above,OutP
12,12,PNC,PNC Financial Services Group Inc,2020-10-14,2.12,3.39,59.83,positive,Significantly_Above,OutP
13,13,PNC,PNC Financial Services Group Inc,2020-09-14,1.5830000000000002,5.06,551.3,positive,Significantly_Above,OutP
14,14,PNC,PNC Financial Services Group Inc,2020-08-15,1.047,6.73,1042.77,positive,Significantly_Above,OutP
15,15,PNC,PNC Financial Services Group Inc,2020-07-15,0.51,8.4,1534.24,positive,Significantly_Above,OutP
16,16,PNC,PNC Financial Services Group Inc,2020-06-15,0.91,6.25,1027.46,positive,Significantly_Above,OutP
17,17,PNC,PNC Financial Services Group Inc,2020-05-16,1.31,4.1,520.68,positive,Significantly_Above,OutP
18,18,PNC,PNC Financial Services Group Inc,2020-04-15,1.71,1.95,13.9,positive,Significantly_Above,OutP
19,19,PNC,PNC Financial Services Group Inc,2020-03-16,2.117,2.29,9.687000000000001,positive,Above_Average,OutP
20,20,PNC,PNC Financial Services Group Inc,2020-02-15,2.523,2.63,5.473,positive,Above_Average,OutP
21,21,PNC,PNC Financial Services Group Inc,2020-01-15,2.93,2.97,1.26,positive,Pos_Average,OutP
22,22,PNC,PNC Financial Services Group Inc,2019-12-16,2.887,2.96,2.47,positive,Pos_Average,OutP
23,23,PNC,PNC Financial Services Group Inc,2019-11-16,2.843,2.95,3.68,positive,Pos_Average,OutP
24,24,PNC,PNC Financial Services Group Inc,2019-10-16,2.8,2.94,4.89,positive,Pos_Average,OutP
25,25,PNC,PNC Financial Services Group Inc,2019-09-16,2.807,2.92,3.947,positive,Pos_Average,OutP
26,26,PNC,PNC Financial Services Group Inc,2019-08-17,2.813,2.9,3.003,positive,Pos_Average,OutP
27,27,PNC,PNC Financial Services Group Inc,2019-07-17,2.82,2.88,2.06,positive,Pos_Average,OutP
28,28,PNC,PNC Financial Services Group Inc,2019-06-17,2.75,2.79,1.4,positive,Pos_Average,OutP
29,29,PNC,PNC Financial Services Group Inc,2019-05-18,2.68,2.7,0.74,positive,Pos_Average,regular
30,30,PNC,PNC Financial Services Group Inc,2019-04-12,2.61,2.61,0.08,positive,Pos_Average,regular
31,31,PNC,PNC Financial Services Group Inc,2019-03-13,2.67,2.657,-0.36700000000000005,negative,Neg_Average,UnderP
32,32,PNC,PNC Financial Services Group Inc,2019-02-11,2.73,2.7030000000000003,-0.813,negative,Neg_Average,regular
33,33,PNC,PNC Financial Services Group Inc,2019-01-16,2.79,2.75,-1.26,negative,Neg_Average,regular
34,34,PNC,PNC Financial Services Group Inc,2018-12-17,2.767,2.773,0.33299999999999996,positive,Pos_Average,OutP
35,35,PNC,PNC Financial Services Group Inc,2018-11-17,2.7430000000000003,2.7969999999999997,1.9269999999999998,positive,Pos_Average,OutP
36,36,PNC,PNC Financial Services Group Inc,2018-10-12,2.72,2.82,3.52,positive,Pos_Average,OutP
37,37,PNC,PNC Financial Services Group Inc,2018-09-12,2.673,2.787,4.21,positive,Pos_Average,OutP
38,38,PNC,PNC Financial Services Group Inc,2018-08-13,2.627,2.753,4.9,positive,Pos_Average,OutP
39,39,PNC,PNC Financial Services Group Inc,2018-07-13,2.58,2.72,5.59,positive,Above_Average,OutP
40,40,PNC,PNC Financial Services Group Inc,2018-06-13,2.53,2.623,3.7,positive,Pos_Average,regular
41,41,PNC,PNC Financial Services Group Inc,2018-05-14,2.48,2.5269999999999997,1.81,positive,Pos_Average,regular
42,42,PNC,PNC Financial Services Group Inc,2018-04-13,2.43,2.43,-0.08,negative,Neg_Average,regular
43,43,PNC,PNC Financial Services Group Inc,2018-03-14,2.353,2.383,1.3730000000000002,positive,Pos_Average,OutP
44,44,PNC,PNC Financial Services Group Inc,2018-02-12,2.2769999999999997,2.3369999999999997,2.827,positive,Pos_Average,OutP
45,45,PNC,PNC Financial Services Group Inc,2018-01-12,2.2,2.29,4.28,positive,Pos_Average,OutP
46,46,PNC,PNC Financial Services Group Inc,2017-12-13,2.177,2.247,3.323,positive,Pos_Average,OutP
47,47,PNC,PNC Financial Services Group Inc,2017-11-13,2.153,2.2030000000000003,2.367,positive,Pos_Average,OutP
48,48,PNC,PNC Financial Services Group Inc,2017-10-13,2.13,2.16,1.41,positive,Pos_Average,OutP
49,49,PNC,PNC Financial Services Group Inc,2017-09-13,2.093,2.14,2.313,positive,Pos_Average,OutP
50,50,PNC,PNC Financial Services Group Inc,2017-08-14,2.057,2.12,3.217,positive,Pos_Average,OutP
51,51,PNC,PNC Financial Services Group Inc,2017-07-14,2.02,2.1,4.12,positive,Pos_Average,OutP
52,52,PNC,PNC Financial Services Group Inc,2017-06-14,1.96,2.053,4.94,positive,Pos_Average,OutP
53,53,PNC,PNC Financial Services Group Inc,2017-05-15,1.9,2.0069999999999997,5.76,positive,Above_Average,OutP
54,54,PNC,PNC Financial Services Group Inc,2017-04-13,1.84,1.96,6.58,positive,Above_Average,OutP
55,55,PNC,PNC Financial Services Group Inc,2017-03-14,1.8430000000000002,1.963,6.647,positive,Above_Average,OutP
56,56,PNC,PNC Financial Services Group Inc,2017-02-12,1.847,1.9669999999999999,6.712999999999999,positive,Above_Average,OutP
57,57,PNC,PNC Financial Services Group Inc,2017-01-13,1.85,1.97,6.78,positive,Above_Average,OutP
58,58,PNC,PNC Financial Services Group Inc,2016-12-14,1.827,1.9269999999999998,5.72,positive,Above_Average,OutP
