Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
SCHW,Charles Schwab Corp,"Jan 17, 2022",-,-,-
SCHW,Charles Schwab Corp,"Oct 13, 2021",-,-,-
SCHW,Charles Schwab Corp,"Jul 14, 2021",-,-,-
SCHW,Charles Schwab Corp,"Apr 13, 2021",0.73,-,-
SCHW,The Charles Schwab Corporation,"Jan 19, 2021",0.71,0.74,+4.82
SCHW,The Charles Schwab Corporation,"Oct 15, 2020",0.46,0.51,+11.6
SCHW,The Charles Schwab Corporation,"Jul 16, 2020",0.53,0.54,+2.47
SCHW,The Charles Schwab Corporation,"Apr 15, 2020",0.62,0.61,-1.93
SCHW,The Charles Schwab Corporation,"Jan 16, 2020",0.64,0.62,-2.97
SCHW,The Charles Schwab Corporation,"Oct 15, 2019",0.64,0.7,+8.86
SCHW,The Charles Schwab Corporation,"Jul 16, 2019",0.65,0.66,+1.07
SCHW,The Charles Schwab Corporation,"Apr 15, 2019",0.66,0.69,+5.18
SCHW,The Charles Schwab Corporation,"Jan 16, 2019",0.64,0.65,+1.72
SCHW,The Charles Schwab Corporation,"Oct 15, 2018",0.65,0.65,+0.62
SCHW,The Charles Schwab Corporation,"Jul 17, 2018",0.58,0.6,+3.81
SCHW,The Charles Schwab Corporation,"Apr 16, 2018",0.54,0.55,+2.61
SCHW,The Charles Schwab Corporation,"Jan 17, 2018",0.41,0.44,+6.28
SCHW,The Charles Schwab Corporation,"Oct 16, 2017",0.41,0.42,+3.19
SCHW,The Charles Schwab Corporation,"Jul 18, 2017",0.39,0.39,+0.52
SCHW,The Charles Schwab Corporation,"Apr 18, 2017",0.37,0.39,+6.85
SCHW,The Charles Schwab Corporation,"Jan 18, 2017",0.36,0.36,+0.56
SCHW,The Charles Schwab Corporation,"Oct 17, 2016",0.33,0.35,+4.79
SCHW,The Charles Schwab Corporation,"Jul 18, 2016",0.3,0.3,+0.67
SCHW,The Charles Schwab Corporation,"Apr 15, 2016",0.29,0.29,-0.34
SCHW,The Charles Schwab Corporation,"Jan 19, 2016",0.25,0.24,-4.76
SCHW,The Charles Schwab Corporation,"Oct 15, 2015",0.27,0.27,+1.5
SCHW,The Charles Schwab Corporation,"Jul 16, 2015",0.24,0.25,+5.49
SCHW,The Charles Schwab Corporation,"Apr 15, 2015",0.24,0.22,-6.78
SCHW,The Charles Schwab Corporation,"Jan 16, 2015",0.24,0.24,-1.23
SCHW,The Charles Schwab Corporation,"Oct 15, 2014",0.24,0.24,-1.64
SCHW,The Charles Schwab Corporation,"Jul 16, 2014",0.22,0.23,+2.37
SCHW,The Charles Schwab Corporation,"Apr 15, 2014",0.22,0.24,+9.27
SCHW,The Charles Schwab Corporation,"Jan 16, 2014",0.21,0.23,+10.91
SCHW,The Charles Schwab Corporation,"Oct 15, 2013",0.2,0.22,+7.9
SCHW,The Charles Schwab Corporation,"Jul 16, 2013",0.19,0.18,-3.56
SCHW,The Charles Schwab Corporation,"Apr 15, 2013",0.16,0.15,-5.6
SCHW,The Charles Schwab Corporation,"Jan 16, 2013",0.15,0.15,+1.41
SCHW,The Charles Schwab Corporation,"Oct 15, 2012",0.17,0.17,+1.86
SCHW,The Charles Schwab Corporation,"Jul 17, 2012",0.18,0.2,+12.62
SCHW,The Charles Schwab Corporation,"Apr 16, 2012",0.15,0.15,-1.06
SCHW,The Charles Schwab Corporation,"Jan 18, 2012",0.13,0.13,-0.11
SCHW,The Charles Schwab Corporation,"Oct 17, 2011",0.19,0.19,-1.11
SCHW,The Charles Schwab Corporation,"Jul 18, 2011",0.19,0.2,+2.79
SCHW,The Charles Schwab Corporation,"Apr 15, 2011",0.19,0.2,+7.3
SCHW,The Charles Schwab Corporation,"Jan 18, 2011",0.1,0.1,-3.22
SCHW,The Charles Schwab Corporation,"Oct 15, 2010",0.09,0.1,+10.4
SCHW,The Charles Schwab Corporation,"Jul 16, 2010",0.15,0.17,+12.98
