Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
SCHW,Charles Schwab Corp,2021/10/13,-,-,-
SCHW,Charles Schwab Corp,2021/7/14,-,-,-
SCHW,Charles Schwab Corp,2021/4/13,0.73,-,-
SCHW,The Charles Schwab Corporation,2021/1/19,0.71,0.74,4.82
SCHW,The Charles Schwab Corporation,2020/10/15,0.46,0.51,11.6
SCHW,The Charles Schwab Corporation,2020/7/16,0.53,0.54,2.47
SCHW,The Charles Schwab Corporation,2020/4/15,0.62,0.61,-1.93
SCHW,The Charles Schwab Corporation,2020/1/16,0.64,0.62,-2.97
SCHW,The Charles Schwab Corporation,2019/10/15,0.64,0.7,8.86
SCHW,The Charles Schwab Corporation,2019/7/16,0.65,0.66,1.07
SCHW,The Charles Schwab Corporation,2019/4/15,0.66,0.69,5.18
SCHW,The Charles Schwab Corporation,2019/1/16,0.64,0.65,1.72
SCHW,The Charles Schwab Corporation,2018/10/15,0.65,0.65,0.62
SCHW,The Charles Schwab Corporation,2018/7/17,0.58,0.6,3.81
SCHW,The Charles Schwab Corporation,2018/4/16,0.54,0.55,2.61
SCHW,The Charles Schwab Corporation,2018/1/17,0.41,0.44,6.28
SCHW,The Charles Schwab Corporation,2017/10/16,0.41,0.42,3.19
SCHW,The Charles Schwab Corporation,2017/7/18,0.39,0.39,0.52
SCHW,The Charles Schwab Corporation,2017/4/18,0.37,0.39,6.85
SCHW,The Charles Schwab Corporation,2017/1/18,0.36,0.36,0.56
SCHW,The Charles Schwab Corporation,2016/10/17,0.33,0.35,4.79
SCHW,The Charles Schwab Corporation,2016/7/18,0.3,0.3,0.67
SCHW,The Charles Schwab Corporation,2016/4/15,0.29,0.29,-0.34
SCHW,The Charles Schwab Corporation,2016/1/19,0.25,0.24,-4.76
