,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,SCHW,Charles Schwab Corp,2021-10-13,0.000,0.000,0.000
1,SCHW,Charles Schwab Corp,2021-09-13,0.000,0.000,0.000
2,SCHW,Charles Schwab Corp,2021-08-14,0.000,0.000,0.000
3,SCHW,Charles Schwab Corp,2021-07-14,0.000,0.000,0.000
4,SCHW,Charles Schwab Corp,2021-06-14,0.243,0.000,0.000
5,SCHW,Charles Schwab Corp,2021-05-15,0.487,0.000,0.000
6,SCHW,Charles Schwab Corp,2021-04-13,0.730,0.000,0.000
7,SCHW,Charles Schwab Corp,2021-03-14,0.723,0.247,1.607
8,SCHW,Charles Schwab Corp,2021-02-12,0.717,0.493,3.213
9,SCHW,Charles Schwab Corp,2021-01-19,0.710,0.740,4.820
10,SCHW,Charles Schwab Corp,2020-12-20,0.627,0.663,7.080
11,SCHW,Charles Schwab Corp,2020-11-20,0.543,0.587,9.340
12,SCHW,Charles Schwab Corp,2020-10-15,0.460,0.510,11.600
13,SCHW,Charles Schwab Corp,2020-09-15,0.483,0.520,8.557
14,SCHW,Charles Schwab Corp,2020-08-16,0.507,0.530,5.513
15,SCHW,Charles Schwab Corp,2020-07-16,0.530,0.540,2.470
16,SCHW,Charles Schwab Corp,2020-06-16,0.560,0.563,1.003
17,SCHW,Charles Schwab Corp,2020-05-17,0.590,0.587,-0.463
18,SCHW,Charles Schwab Corp,2020-04-15,0.620,0.610,-1.930
19,SCHW,Charles Schwab Corp,2020-03-16,0.627,0.613,-2.277
20,SCHW,Charles Schwab Corp,2020-02-15,0.633,0.617,-2.623
21,SCHW,Charles Schwab Corp,2020-01-16,0.640,0.620,-2.970
22,SCHW,Charles Schwab Corp,2019-12-17,0.640,0.647,0.973
23,SCHW,Charles Schwab Corp,2019-11-17,0.640,0.673,4.917
24,SCHW,Charles Schwab Corp,2019-10-15,0.640,0.700,8.860
25,SCHW,Charles Schwab Corp,2019-09-15,0.643,0.687,6.263
26,SCHW,Charles Schwab Corp,2019-08-16,0.647,0.673,3.667
27,SCHW,Charles Schwab Corp,2019-07-16,0.650,0.660,1.070
28,SCHW,Charles Schwab Corp,2019-06-16,0.653,0.670,2.440
29,SCHW,Charles Schwab Corp,2019-05-17,0.657,0.680,3.810
30,SCHW,Charles Schwab Corp,2019-04-15,0.660,0.690,5.180
31,SCHW,Charles Schwab Corp,2019-03-16,0.653,0.677,4.027
32,SCHW,Charles Schwab Corp,2019-02-14,0.647,0.663,2.873
33,SCHW,Charles Schwab Corp,2019-01-16,0.640,0.650,1.720
34,SCHW,Charles Schwab Corp,2018-12-17,0.643,0.650,1.353
35,SCHW,Charles Schwab Corp,2018-11-17,0.647,0.650,0.987
36,SCHW,Charles Schwab Corp,2018-10-15,0.650,0.650,0.620
37,SCHW,Charles Schwab Corp,2018-09-15,0.627,0.633,1.683
38,SCHW,Charles Schwab Corp,2018-08-16,0.603,0.617,2.747
39,SCHW,Charles Schwab Corp,2018-07-17,0.580,0.600,3.810
40,SCHW,Charles Schwab Corp,2018-06-17,0.567,0.583,3.410
41,SCHW,Charles Schwab Corp,2018-05-18,0.553,0.567,3.010
42,SCHW,Charles Schwab Corp,2018-04-16,0.540,0.550,2.610
43,SCHW,Charles Schwab Corp,2018-03-17,0.497,0.513,3.833
44,SCHW,Charles Schwab Corp,2018-02-15,0.453,0.477,5.057
45,SCHW,Charles Schwab Corp,2018-01-17,0.410,0.440,6.280
46,SCHW,Charles Schwab Corp,2017-12-18,0.410,0.433,5.250
47,SCHW,Charles Schwab Corp,2017-11-18,0.410,0.427,4.220
48,SCHW,Charles Schwab Corp,2017-10-16,0.410,0.420,3.190
49,SCHW,Charles Schwab Corp,2017-09-16,0.403,0.410,2.300
50,SCHW,Charles Schwab Corp,2017-08-17,0.397,0.400,1.410
51,SCHW,Charles Schwab Corp,2017-07-18,0.390,0.390,0.520
52,SCHW,Charles Schwab Corp,2017-06-18,0.383,0.390,2.630
53,SCHW,Charles Schwab Corp,2017-05-19,0.377,0.390,4.740
54,SCHW,Charles Schwab Corp,2017-04-18,0.370,0.390,6.850
55,SCHW,Charles Schwab Corp,2017-03-19,0.367,0.380,4.753
56,SCHW,Charles Schwab Corp,2017-02-17,0.363,0.370,2.657
57,SCHW,Charles Schwab Corp,2017-01-18,0.360,0.360,0.560
58,SCHW,Charles Schwab Corp,2016-12-19,0.350,0.357,1.970
59,SCHW,Charles Schwab Corp,2016-11-19,0.340,0.353,3.380
60,SCHW,Charles Schwab Corp,2016-10-17,0.330,0.350,4.790
61,SCHW,Charles Schwab Corp,2016-09-17,0.320,0.333,3.417
62,SCHW,Charles Schwab Corp,2016-08-18,0.310,0.317,2.043
63,SCHW,Charles Schwab Corp,2016-07-18,0.300,0.300,0.670
64,SCHW,Charles Schwab Corp,2016-06-18,0.297,0.297,0.333
65,SCHW,Charles Schwab Corp,2016-05-19,0.293,0.293,-0.003
66,SCHW,Charles Schwab Corp,2016-04-15,0.290,0.290,-0.340
67,SCHW,Charles Schwab Corp,2016-03-16,0.277,0.273,-1.813
68,SCHW,Charles Schwab Corp,2016-02-15,0.263,0.257,-3.287
69,SCHW,Charles Schwab Corp,2016-01-19,0.25,0.24,-4.76
