,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,SCHW,Charles Schwab Corp,2021-10-13,0.0,0.0,0.0,None,None,NA
1,1,SCHW,Charles Schwab Corp,2021-09-13,0.0,0.0,0.0,None,None,NA
2,2,SCHW,Charles Schwab Corp,2021-08-14,0.0,0.0,0.0,None,None,NA
3,3,SCHW,Charles Schwab Corp,2021-07-14,0.0,0.0,0.0,None,None,NA
4,4,SCHW,Charles Schwab Corp,2021-06-14,0.243,0.0,0.0,None,None,NA
5,5,SCHW,Charles Schwab Corp,2021-05-15,0.48700000000000004,0.0,0.0,None,None,NA
6,6,SCHW,Charles Schwab Corp,2021-04-13,0.73,0.0,0.0,None,None,NA
7,7,SCHW,Charles Schwab Corp,2021-03-14,0.723,0.247,1.607,positive,Pos_Average,OutP
8,8,SCHW,Charles Schwab Corp,2021-02-12,0.7170000000000001,0.493,3.213,positive,Pos_Average,OutP
9,9,SCHW,Charles Schwab Corp,2021-01-19,0.71,0.74,4.82,positive,Pos_Average,OutP
10,10,SCHW,Charles Schwab Corp,2020-12-20,0.627,0.6629999999999999,7.08,positive,Above_Average,OutP
11,11,SCHW,Charles Schwab Corp,2020-11-20,0.5429999999999999,0.5870000000000001,9.34,positive,Above_Average,OutP
12,12,SCHW,Charles Schwab Corp,2020-10-15,0.46,0.51,11.6,positive,Significantly_Above,OutP
13,13,SCHW,Charles Schwab Corp,2020-09-15,0.483,0.52,8.557,positive,Above_Average,OutP
14,14,SCHW,Charles Schwab Corp,2020-08-16,0.507,0.53,5.513,positive,Above_Average,OutP
15,15,SCHW,Charles Schwab Corp,2020-07-16,0.53,0.54,2.47,positive,Pos_Average,regular
16,16,SCHW,Charles Schwab Corp,2020-06-16,0.56,0.563,1.003,positive,Pos_Average,regular
17,17,SCHW,Charles Schwab Corp,2020-05-17,0.59,0.5870000000000001,-0.46299999999999997,negative,Neg_Average,UnderP
18,18,SCHW,Charles Schwab Corp,2020-04-15,0.62,0.61,-1.93,negative,Neg_Average,UnderP
19,19,SCHW,Charles Schwab Corp,2020-03-16,0.627,0.613,-2.2769999999999997,negative,Neg_Average,UnderP
20,20,SCHW,Charles Schwab Corp,2020-02-15,0.633,0.617,-2.623,negative,Neg_Average,regular
21,21,SCHW,Charles Schwab Corp,2020-01-16,0.64,0.62,-2.97,negative,Neg_Average,regular
22,22,SCHW,Charles Schwab Corp,2019-12-17,0.64,0.647,0.973,positive,Pos_Average,OutP
23,23,SCHW,Charles Schwab Corp,2019-11-17,0.64,0.6729999999999999,4.917,positive,Pos_Average,OutP
24,24,SCHW,Charles Schwab Corp,2019-10-15,0.64,0.7,8.86,positive,Above_Average,OutP
25,25,SCHW,Charles Schwab Corp,2019-09-15,0.643,0.687,6.263,positive,Above_Average,OutP
26,26,SCHW,Charles Schwab Corp,2019-08-16,0.647,0.6729999999999999,3.667,positive,Pos_Average,OutP
27,27,SCHW,Charles Schwab Corp,2019-07-16,0.65,0.66,1.07,positive,Pos_Average,OutP
28,28,SCHW,Charles Schwab Corp,2019-06-16,0.653,0.67,2.44,positive,Pos_Average,OutP
29,29,SCHW,Charles Schwab Corp,2019-05-17,0.657,0.68,3.81,positive,Pos_Average,OutP
30,30,SCHW,Charles Schwab Corp,2019-04-15,0.66,0.69,5.18,positive,Above_Average,OutP
31,31,SCHW,Charles Schwab Corp,2019-03-16,0.653,0.677,4.027,positive,Pos_Average,OutP
