Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
TD,The Toronto-Dominion Bank,"Feb 25, 2021",1.49,1.83,+23.07
TD,The Toronto-Dominion Bank,"Dec 03, 2020",1.27,1.6,+26.08
TD,The Toronto-Dominion Bank,"Aug 27, 2020",1.19,1.25,+4.87
TD,The Toronto-Dominion Bank,"May 28, 2020",0.91,0.85,-6.49
TD,The Toronto-Dominion Bank,"Feb 27, 2020",1.68,1.66,-1.37
TD,The Toronto-Dominion Bank,"Dec 05, 2019",1.73,1.59,-8.04
TD,The Toronto-Dominion Bank,"Aug 29, 2019",1.81,1.79,-1
TD,The Toronto-Dominion Bank,"May 23, 2019",1.69,1.75,+3.43
TD,The Toronto-Dominion Bank,"Feb 28, 2019",1.72,1.57,-8.45
TD,The Toronto-Dominion Bank,"Nov 29, 2018",1.62,1.63,+0.87
TD,The Toronto-Dominion Bank,"Aug 30, 2018",1.63,1.66,+1.9
TD,The Toronto-Dominion Bank,"May 24, 2018",1.51,1.62,+7.64
TD,The Toronto-Dominion Bank,"Mar 01, 2018",1.48,1.56,+5.76
TD,The Toronto-Dominion Bank,"Nov 30, 2017",1.39,1.36,-2.3
TD,The Toronto-Dominion Bank,"Aug 31, 2017",1.36,1.51,+11.03
TD,The Toronto-Dominion Bank,"May 25, 2017",1.24,1.34,+7.8
TD,The Toronto-Dominion Bank,"Mar 02, 2017",1.27,1.33,+4.81
TD,The Toronto-Dominion Bank,"Dec 01, 2016",1.22,1.22,+0.08
TD,The Toronto-Dominion Bank,"Aug 25, 2016",1.21,1.27,+4.61
TD,The Toronto-Dominion Bank,"May 26, 2016",1.17,1.2,+2.83
TD,The Toronto-Dominion Bank,"Feb 25, 2016",1.19,1.18,-0.92
TD,The Toronto-Dominion Bank,"Dec 03, 2015",1.13,1.14,+0.97
TD,The Toronto-Dominion Bank,"Aug 27, 2015",1.18,1.2,+1.69
TD,The Toronto-Dominion Bank,"May 28, 2015",1.12,1.14,+2.24
TD,The Toronto-Dominion Bank,"Feb 26, 2015",1.12,1.12,-
TD,The Toronto-Dominion Bank,"Dec 04, 2014",1.01,0.98,-3.35
