Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
TD,The Toronto-Dominion Bank,2021/2/25,1.49,1.83,23.07
TD,The Toronto-Dominion Bank,2020/12/3,1.27,1.6,26.08
TD,The Toronto-Dominion Bank,2020/8/27,1.19,1.25,4.87
TD,The Toronto-Dominion Bank,2020/5/28,0.91,0.85,-6.49
TD,The Toronto-Dominion Bank,2020/2/27,1.68,1.66,-1.37
TD,The Toronto-Dominion Bank,2019/12/5,1.73,1.59,-8.04
TD,The Toronto-Dominion Bank,2019/8/29,1.81,1.79,-1
TD,The Toronto-Dominion Bank,2019/5/23,1.69,1.75,3.43
TD,The Toronto-Dominion Bank,2019/2/28,1.72,1.57,-8.45
TD,The Toronto-Dominion Bank,2018/11/29,1.62,1.63,0.87
TD,The Toronto-Dominion Bank,2018/8/30,1.63,1.66,1.9
TD,The Toronto-Dominion Bank,2018/5/24,1.51,1.62,7.64
TD,The Toronto-Dominion Bank,2018/3/1,1.48,1.56,5.76
TD,The Toronto-Dominion Bank,2017/11/30,1.39,1.36,-2.3
TD,The Toronto-Dominion Bank,2017/8/31,1.36,1.51,11.03
TD,The Toronto-Dominion Bank,2017/5/25,1.24,1.34,7.8
TD,The Toronto-Dominion Bank,2017/3/2,1.27,1.33,4.81
TD,The Toronto-Dominion Bank,2016/12/1,1.22,1.22,0.08
TD,The Toronto-Dominion Bank,2016/8/25,1.21,1.27,4.61
TD,The Toronto-Dominion Bank,2016/5/26,1.17,1.2,2.83
TD,The Toronto-Dominion Bank,2016/2/25,1.19,1.18,-0.92
