,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,TD,The Toronto-Dominion Bank,2021-02-25,1.490,1.830,23.070
1,TD,The Toronto-Dominion Bank,2021-01-26,1.417,1.753,24.073
2,TD,The Toronto-Dominion Bank,2020-12-27,1.343,1.677,25.077
3,TD,The Toronto-Dominion Bank,2020-12-03,1.270,1.600,26.080
4,TD,The Toronto-Dominion Bank,2020-11-03,1.243,1.483,19.010
5,TD,The Toronto-Dominion Bank,2020-10-04,1.217,1.367,11.940
6,TD,The Toronto-Dominion Bank,2020-08-27,1.190,1.250,4.870
7,TD,The Toronto-Dominion Bank,2020-07-28,1.097,1.117,1.083
8,TD,The Toronto-Dominion Bank,2020-06-28,1.003,0.983,-2.703
9,TD,The Toronto-Dominion Bank,2020-05-28,0.910,0.850,-6.490
10,TD,The Toronto-Dominion Bank,2020-04-28,1.167,1.120,-4.783
11,TD,The Toronto-Dominion Bank,2020-03-29,1.423,1.390,-3.077
12,TD,The Toronto-Dominion Bank,2020-02-27,1.680,1.660,-1.370
13,TD,The Toronto-Dominion Bank,2020-01-28,1.697,1.637,-3.593
14,TD,The Toronto-Dominion Bank,2019-12-29,1.713,1.613,-5.817
15,TD,The Toronto-Dominion Bank,2019-12-05,1.730,1.590,-8.040
16,TD,The Toronto-Dominion Bank,2019-11-05,1.757,1.657,-5.693
17,TD,The Toronto-Dominion Bank,2019-10-06,1.783,1.723,-3.347
18,TD,The Toronto-Dominion Bank,2019-08-29,1.810,1.790,-1.000
19,TD,The Toronto-Dominion Bank,2019-07-30,1.770,1.777,0.477
20,TD,The Toronto-Dominion Bank,2019-06-30,1.730,1.763,1.953
21,TD,The Toronto-Dominion Bank,2019-05-23,1.690,1.750,3.430
22,TD,The Toronto-Dominion Bank,2019-04-23,1.700,1.690,-0.530
23,TD,The Toronto-Dominion Bank,2019-03-24,1.710,1.630,-4.490
24,TD,The Toronto-Dominion Bank,2019-02-28,1.720,1.570,-8.450
25,TD,The Toronto-Dominion Bank,2019-01-29,1.687,1.590,-5.343
26,TD,The Toronto-Dominion Bank,2018-12-30,1.653,1.610,-2.237
27,TD,The Toronto-Dominion Bank,2018-11-29,1.620,1.630,0.870
28,TD,The Toronto-Dominion Bank,2018-10-30,1.623,1.640,1.213
29,TD,The Toronto-Dominion Bank,2018-09-30,1.627,1.650,1.557
30,TD,The Toronto-Dominion Bank,2018-08-30,1.630,1.660,1.900
31,TD,The Toronto-Dominion Bank,2018-07-31,1.590,1.647,3.813
32,TD,The Toronto-Dominion Bank,2018-07-01,1.550,1.633,5.727
33,TD,The Toronto-Dominion Bank,2018-05-24,1.510,1.620,7.640
34,TD,The Toronto-Dominion Bank,2018-04-24,1.500,1.600,7.013
35,TD,The Toronto-Dominion Bank,2018-03-25,1.490,1.580,6.387
36,TD,The Toronto-Dominion Bank,2018-03-01,1.480,1.560,5.760
37,TD,The Toronto-Dominion Bank,2018-01-30,1.450,1.493,3.073
38,TD,The Toronto-Dominion Bank,2017-12-31,1.420,1.427,0.387
39,TD,The Toronto-Dominion Bank,2017-11-30,1.390,1.360,-2.300
40,TD,The Toronto-Dominion Bank,2017-10-31,1.380,1.410,2.143
41,TD,The Toronto-Dominion Bank,2017-10-01,1.370,1.460,6.587
42,TD,The Toronto-Dominion Bank,2017-08-31,1.360,1.510,11.030
43,TD,The Toronto-Dominion Bank,2017-08-01,1.320,1.453,9.953
44,TD,The Toronto-Dominion Bank,2017-07-02,1.280,1.397,8.877
45,TD,The Toronto-Dominion Bank,2017-05-25,1.240,1.340,7.800
46,TD,The Toronto-Dominion Bank,2017-04-25,1.250,1.337,6.803
47,TD,The Toronto-Dominion Bank,2017-03-26,1.260,1.333,5.807
48,TD,The Toronto-Dominion Bank,2017-03-02,1.270,1.330,4.810
49,TD,The Toronto-Dominion Bank,2017-01-31,1.253,1.293,3.233
50,TD,The Toronto-Dominion Bank,2017-01-01,1.237,1.257,1.657
51,TD,The Toronto-Dominion Bank,2016-12-01,1.220,1.220,0.080
52,TD,The Toronto-Dominion Bank,2016-11-01,1.217,1.237,1.590
53,TD,The Toronto-Dominion Bank,2016-10-02,1.213,1.253,3.100
54,TD,The Toronto-Dominion Bank,2016-08-25,1.210,1.270,4.610
55,TD,The Toronto-Dominion Bank,2016-07-26,1.197,1.247,4.017
56,TD,The Toronto-Dominion Bank,2016-06-26,1.183,1.223,3.423
57,TD,The Toronto-Dominion Bank,2016-05-26,1.170,1.200,2.830
58,TD,The Toronto-Dominion Bank,2016-04-26,1.177,1.193,1.580
59,TD,The Toronto-Dominion Bank,2016-03-27,1.183,1.187,0.330
60,TD,The Toronto-Dominion Bank,2016-02-25,1.19,1.18,-0.92
