,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,TD,The Toronto-Dominion Bank,2021-02-25,1.49,1.83,23.07,positive,Significantly_Above,OutP
1,1,TD,The Toronto-Dominion Bank,2021-01-26,1.4169999999999998,1.7530000000000001,24.073,positive,Significantly_Above,OutP
2,2,TD,The Toronto-Dominion Bank,2020-12-27,1.3430000000000002,1.6769999999999998,25.076999999999998,positive,Significantly_Above,OutP
3,3,TD,The Toronto-Dominion Bank,2020-12-03,1.27,1.6,26.08,positive,Significantly_Above,OutP
4,4,TD,The Toronto-Dominion Bank,2020-11-03,1.2429999999999999,1.483,19.01,positive,Significantly_Above,OutP
5,5,TD,The Toronto-Dominion Bank,2020-10-04,1.217,1.367,11.94,positive,Significantly_Above,OutP
6,6,TD,The Toronto-Dominion Bank,2020-08-27,1.19,1.25,4.87,positive,Pos_Average,regular
7,7,TD,The Toronto-Dominion Bank,2020-07-28,1.097,1.117,1.083,positive,Pos_Average,regular
8,8,TD,The Toronto-Dominion Bank,2020-06-28,1.003,0.983,-2.7030000000000003,negative,Neg_Average,UnderP
9,9,TD,The Toronto-Dominion Bank,2020-05-28,0.91,0.85,-6.49,negative,Below_Average,UnderP
10,10,TD,The Toronto-Dominion Bank,2020-04-28,1.167,1.12,-4.783,negative,Neg_Average,UnderP
11,11,TD,The Toronto-Dominion Bank,2020-03-29,1.423,1.39,-3.077,negative,Neg_Average,UnderP
12,12,TD,The Toronto-Dominion Bank,2020-02-27,1.68,1.66,-1.37,negative,Neg_Average,UnderP
13,13,TD,The Toronto-Dominion Bank,2020-01-28,1.6969999999999998,1.6369999999999998,-3.593,negative,Neg_Average,UnderP
14,14,TD,The Toronto-Dominion Bank,2019-12-29,1.713,1.6130000000000002,-5.817,negative,Below_Average,UnderP
15,15,TD,The Toronto-Dominion Bank,2019-12-05,1.73,1.59,-8.04,negative,Below_Average,UnderP
16,16,TD,The Toronto-Dominion Bank,2019-11-05,1.757,1.6569999999999998,-5.693,negative,Below_Average,UnderP
17,17,TD,The Toronto-Dominion Bank,2019-10-06,1.7830000000000001,1.723,-3.347,negative,Neg_Average,regular
18,18,TD,The Toronto-Dominion Bank,2019-08-29,1.81,1.79,-1.0,negative,Neg_Average,regular
19,19,TD,The Toronto-Dominion Bank,2019-07-30,1.77,1.777,0.47700000000000004,positive,Pos_Average,OutP
20,20,TD,The Toronto-Dominion Bank,2019-06-30,1.73,1.7630000000000001,1.953,positive,Pos_Average,regular
21,21,TD,The Toronto-Dominion Bank,2019-05-23,1.69,1.75,3.43,positive,Pos_Average,regular
22,22,TD,The Toronto-Dominion Bank,2019-04-23,1.7,1.69,-0.53,negative,Neg_Average,UnderP
23,23,TD,The Toronto-Dominion Bank,2019-03-24,1.71,1.63,-4.49,negative,Neg_Average,UnderP
24,24,TD,The Toronto-Dominion Bank,2019-02-28,1.72,1.57,-8.45,negative,Below_Average,UnderP
25,25,TD,The Toronto-Dominion Bank,2019-01-29,1.6869999999999998,1.59,-5.343,negative,Below_Average,regular
26,26,TD,The Toronto-Dominion Bank,2018-12-30,1.653,1.61,-2.237,negative,Neg_Average,regular
27,27,TD,The Toronto-Dominion Bank,2018-11-29,1.62,1.63,0.87,positive,Pos_Average,OutP
28,28,TD,The Toronto-Dominion Bank,2018-10-30,1.6230000000000002,1.64,1.213,positive,Pos_Average,OutP
29,29,TD,The Toronto-Dominion Bank,2018-09-30,1.6269999999999998,1.65,1.557,positive,Pos_Average,OutP
30,30,TD,The Toronto-Dominion Bank,2018-08-30,1.63,1.66,1.9,positive,Pos_Average,OutP
31,31,TD,The Toronto-Dominion Bank,2018-07-31,1.59,1.6469999999999998,3.813,positive,Pos_Average,OutP
32,32,TD,The Toronto-Dominion Bank,2018-07-01,1.55,1.633,5.727,positive,Above_Average,OutP
33,33,TD,The Toronto-Dominion Bank,2018-05-24,1.51,1.62,7.64,positive,Above_Average,OutP
34,34,TD,The Toronto-Dominion Bank,2018-04-24,1.5,1.6,7.013,positive,Above_Average,OutP
35,35,TD,The Toronto-Dominion Bank,2018-03-25,1.49,1.58,6.3870000000000005,positive,Above_Average,OutP
36,36,TD,The Toronto-Dominion Bank,2018-03-01,1.48,1.56,5.76,positive,Above_Average,OutP
37,37,TD,The Toronto-Dominion Bank,2018-01-30,1.45,1.493,3.073,positive,Pos_Average,regular
38,38,TD,The Toronto-Dominion Bank,2017-12-31,1.42,1.4269999999999998,0.387,positive,Pos_Average,regular
39,39,TD,The Toronto-Dominion Bank,2017-11-30,1.39,1.36,-2.3,negative,Neg_Average,regular
40,40,TD,The Toronto-Dominion Bank,2017-10-31,1.38,1.41,2.1430000000000002,positive,Pos_Average,OutP
41,41,TD,The Toronto-Dominion Bank,2017-10-01,1.37,1.46,6.587000000000001,positive,Above_Average,OutP
42,42,TD,The Toronto-Dominion Bank,2017-08-31,1.36,1.51,11.03,positive,Significantly_Above,OutP
43,43,TD,The Toronto-Dominion Bank,2017-08-01,1.32,1.453,9.953,positive,Above_Average,OutP
44,44,TD,The Toronto-Dominion Bank,2017-07-02,1.28,1.3969999999999998,8.877,positive,Above_Average,OutP
45,45,TD,The Toronto-Dominion Bank,2017-05-25,1.24,1.34,7.8,positive,Above_Average,OutP
46,46,TD,The Toronto-Dominion Bank,2017-04-25,1.25,1.337,6.803,positive,Above_Average,OutP
47,47,TD,The Toronto-Dominion Bank,2017-03-26,1.26,1.3330000000000002,5.807,positive,Above_Average,OutP
48,48,TD,The Toronto-Dominion Bank,2017-03-02,1.27,1.33,4.81,positive,Pos_Average,OutP
49,49,TD,The Toronto-Dominion Bank,2017-01-31,1.253,1.2930000000000001,3.233,positive,Pos_Average,OutP
50,50,TD,The Toronto-Dominion Bank,2017-01-01,1.237,1.2570000000000001,1.6569999999999998,positive,Pos_Average,OutP
51,51,TD,The Toronto-Dominion Bank,2016-12-01,1.22,1.22,0.08,positive,Pos_Average,OutP
52,52,TD,The Toronto-Dominion Bank,2016-11-01,1.217,1.237,1.59,positive,Pos_Average,OutP
53,53,TD,The Toronto-Dominion Bank,2016-10-02,1.213,1.253,3.1,positive,Pos_Average,OutP
54,54,TD,The Toronto-Dominion Bank,2016-08-25,1.21,1.27,4.61,positive,Pos_Average,OutP
55,55,TD,The Toronto-Dominion Bank,2016-07-26,1.197,1.247,4.0169999999999995,positive,Pos_Average,OutP
56,56,TD,The Toronto-Dominion Bank,2016-06-26,1.183,1.2229999999999999,3.423,positive,Pos_Average,OutP
57,57,TD,The Toronto-Dominion Bank,2016-05-26,1.17,1.2,2.83,positive,Pos_Average,OutP
58,58,TD,The Toronto-Dominion Bank,2016-04-26,1.177,1.193,1.58,positive,Pos_Average,regular
59,59,TD,The Toronto-Dominion Bank,2016-03-27,1.183,1.187,0.33,positive,Pos_Average,regular
60,60,TD,The Toronto-Dominion Bank,2016-02-25,1.19,1.18,-0.92,negative,Neg_Average,regular
