Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
UBS,UBS Group AG,"Jan 26, 2021",0.28,0.46,+64.29
UBS,UBS Group AG,"Oct 20, 2020",0.26,0.56,+117.9
UBS,UBS Group AG,"Jul 21, 2020",0.21,0.33,+57.14
UBS,UBS Group AG,"May 05, 2020",0.39,0.43,+11.69
UBS,UBS Group AG,"Jan 21, 2020",0.19,0.27,+42.11
UBS,UBS Group AG,"Nov 20, 2019",0.25,0.31,+24
UBS,UBS Group AG,"Aug 20, 2019",0.37,0.37,-
UBS,UBS Group AG,"Apr 25, 2019",0.25,0.3,+20.48
UBS,UBS Group AG,"Jan 22, 2019",0.23,0.19,-19.23
UBS,UBS Group AG,"Oct 25, 2018",0.32,0.35,+9.49
UBS,UBS Group AG,"Jul 24, 2018",0.37,0.37,+1.63
UBS,UBS Group AG,"Apr 23, 2018",0.37,0.4,+8.4
UBS,UBS Group AG,"Jan 22, 2018",0.22,0.27,+22.48
UBS,UBS Group AG,"Oct 27, 2017",0.35,0.33,-4.34
UBS,UBS Group AG,"Jul 28, 2017",0.35,0.38,+8.36
UBS,UBS Group AG,"Apr 28, 2017",0.33,0.39,+18.18
UBS,UBS Group AG,"Jan 27, 2017",0.18,0.25,+36.61
UBS,UBS Group AG,"Oct 28, 2016",0.29,0.31,+6.9
UBS,UBS Group AG,"Jul 29, 2016",-,0.31,-
UBS,UBS Group AG,"May 03, 2016",0.29,0.27,-5.92
UBS,UBS Group AG,"Feb 02, 2016",0.39,0.36,-6.98
UBS,UBS Group AG,"Nov 03, 2015",0.37,0.59,+61.2
UBS,UBS Group AG,"Jul 27, 2015",0.36,0.29,-19.44
UBS,UBS Group AG,"May 05, 2015",0.4,0.43,+7.5
UBS,UBS Group AG,"Feb 10, 2015",0.35,0.28,-20
UBS,UBS Group AG,"Oct 28, 2014",0.38,0.23,-39.47
UBS,UBS Group AG,"Jul 29, 2014",0.26,0.2,-23.08
UBS,UBS Group AG,"May 06, 2014",0.31,0.3,-3.23
UBS,UBS Group AG,"Feb 04, 2014",0.15,0.32,+114.03
UBS,UBS Group AG,"Jul 30, 2013",0.2,-,-
UBS,UBS Group AG,"Oct 30, 2012",0.28,0.36,+30
UBS,UBS Group AG,"Aug 01, 2012",0.39,0.12,-69.23
UBS,UBS Group AG,"May 02, 2012",0.37,0.25,-32.43
UBS,UBS Group AG,"Feb 06, 2012",0.25,0.11,-56
UBS,UBS Group AG,"Oct 25, 2011",-0.48,0.32,+166.67
UBS,UBS Group AG,"Jul 26, 2011",0.55,0.31,-43.64
UBS,UBS Group AG,"Apr 26, 2011",0.49,0.5,+2.04
UBS,UBS Group AG,"Feb 08, 2011",0.36,0.35,-2.78
UBS,UBS Group AG,"Oct 26, 2010",0.33,0.42,+27.27
UBS,UBS Group AG,"Jul 27, 2010",0.22,0.47,+113.64
UBS,UBS Group AG,"May 04, 2010",0.42,0.55,+30.95
UBS,UBS Group AG,"Aug 04, 2009",-0.13,-,-
UBS,UBS Group AG,"Feb 10, 2009",-1.15,-2.22,-93.04
UBS,UBS Group AG,"Nov 04, 2008",0.09,0.08,-11.11
UBS,UBS Group AG,"Aug 12, 2008",-1.09,-0.16,+85.32
UBS,UBS Group AG,"May 06, 2008",-4.33,-4.92,-13.62
UBS,UBS Group AG,"Feb 14, 2008",-3.84,-5.07,-32.1
UBS,UBS Group AG,"Oct 30, 2007",-0.16,-0.36,-127.78
UBS,UBS Group AG,"Aug 13, 2007",1.24,1.34,+7.94
UBS,UBS Group AG,"May 03, 2007",1.24,1.18,-5
UBS,UBS Group AG,"Feb 13, 2007",1.14,1.11,-2.34
