Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
UBS,UBS Group AG,2021/1/26,0.28,0.46,64.29
UBS,UBS Group AG,2020/10/20,0.26,0.56,117.9
UBS,UBS Group AG,2020/7/21,0.21,0.33,57.14
UBS,UBS Group AG,2020/5/5,0.39,0.43,11.69
UBS,UBS Group AG,2020/1/21,0.19,0.27,42.11
UBS,UBS Group AG,2019/11/20,0.25,0.31,24
UBS,UBS Group AG,2019/8/20,0.37,0.37,-
UBS,UBS Group AG,2019/4/25,0.25,0.3,20.48
UBS,UBS Group AG,2019/1/22,0.23,0.19,-19.23
UBS,UBS Group AG,2018/10/25,0.32,0.35,9.49
UBS,UBS Group AG,2018/7/24,0.37,0.37,1.63
UBS,UBS Group AG,2018/4/23,0.37,0.4,8.4
UBS,UBS Group AG,2018/1/22,0.22,0.27,22.48
UBS,UBS Group AG,2017/10/27,0.35,0.33,-4.34
UBS,UBS Group AG,2017/7/28,0.35,0.38,8.36
UBS,UBS Group AG,2017/4/28,0.33,0.39,18.18
UBS,UBS Group AG,2017/1/27,0.18,0.25,36.61
UBS,UBS Group AG,2016/10/28,0.29,0.31,6.9
UBS,UBS Group AG,2016/7/29,-,0.31,-
UBS,UBS Group AG,2016/5/3,0.29,0.27,-5.92
UBS,UBS Group AG,2016/2/2,0.39,0.36,-6.98
