,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,UBS,UBS Group AG,2021-01-26,0.280,0.460,64.290
1,UBS,UBS Group AG,2020-12-27,0.273,0.493,82.160
2,UBS,UBS Group AG,2020-11-27,0.267,0.527,100.030
3,UBS,UBS Group AG,2020-10-20,0.260,0.560,117.900
4,UBS,UBS Group AG,2020-09-20,0.243,0.483,97.647
5,UBS,UBS Group AG,2020-08-21,0.227,0.407,77.393
6,UBS,UBS Group AG,2020-07-21,0.210,0.330,57.140
7,UBS,UBS Group AG,2020-06-21,0.270,0.363,41.990
8,UBS,UBS Group AG,2020-05-22,0.330,0.397,26.840
9,UBS,UBS Group AG,2020-05-05,0.390,0.430,11.690
10,UBS,UBS Group AG,2020-04-05,0.323,0.377,21.830
11,UBS,UBS Group AG,2020-03-06,0.257,0.323,31.970
12,UBS,UBS Group AG,2020-01-21,0.190,0.270,42.110
13,UBS,UBS Group AG,2019-12-22,0.210,0.283,36.073
14,UBS,UBS Group AG,2019-11-22,0.230,0.297,30.037
15,UBS,UBS Group AG,2019-11-20,0.250,0.310,24.000
16,UBS,UBS Group AG,2019-10-21,0.290,0.330,16.000
17,UBS,UBS Group AG,2019-09-21,0.330,0.350,8.000
18,UBS,UBS Group AG,2019-08-20,0.370,0.370,0.000
19,UBS,UBS Group AG,2019-07-21,0.330,0.347,6.827
20,UBS,UBS Group AG,2019-06-21,0.290,0.323,13.653
21,UBS,UBS Group AG,2019-04-25,0.250,0.300,20.480
22,UBS,UBS Group AG,2019-03-26,0.243,0.263,7.243
23,UBS,UBS Group AG,2019-02-24,0.237,0.227,-5.993
24,UBS,UBS Group AG,2019-01-22,0.230,0.190,-19.230
25,UBS,UBS Group AG,2018-12-23,0.260,0.243,-9.657
26,UBS,UBS Group AG,2018-11-23,0.290,0.297,-0.083
27,UBS,UBS Group AG,2018-10-25,0.320,0.350,9.490
28,UBS,UBS Group AG,2018-09-25,0.337,0.357,6.870
29,UBS,UBS Group AG,2018-08-26,0.353,0.363,4.250
30,UBS,UBS Group AG,2018-07-24,0.370,0.370,1.630
31,UBS,UBS Group AG,2018-06-24,0.370,0.380,3.887
32,UBS,UBS Group AG,2018-05-25,0.370,0.390,6.143
33,UBS,UBS Group AG,2018-04-23,0.370,0.400,8.400
34,UBS,UBS Group AG,2018-03-24,0.320,0.357,13.093
35,UBS,UBS Group AG,2018-02-22,0.270,0.313,17.787
36,UBS,UBS Group AG,2018-01-22,0.220,0.270,22.480
37,UBS,UBS Group AG,2017-12-23,0.263,0.290,13.540
38,UBS,UBS Group AG,2017-11-23,0.307,0.310,4.600
39,UBS,UBS Group AG,2017-10-27,0.350,0.330,-4.340
40,UBS,UBS Group AG,2017-09-27,0.350,0.347,-0.107
41,UBS,UBS Group AG,2017-08-28,0.350,0.363,4.127
42,UBS,UBS Group AG,2017-07-28,0.350,0.380,8.360
43,UBS,UBS Group AG,2017-06-28,0.343,0.383,11.633
44,UBS,UBS Group AG,2017-05-29,0.337,0.387,14.907
45,UBS,UBS Group AG,2017-04-28,0.330,0.390,18.180
46,UBS,UBS Group AG,2017-03-29,0.280,0.343,24.323
47,UBS,UBS Group AG,2017-02-27,0.230,0.297,30.467
48,UBS,UBS Group AG,2017-01-27,0.180,0.250,36.610
49,UBS,UBS Group AG,2016-12-28,0.217,0.270,26.707
50,UBS,UBS Group AG,2016-11-28,0.253,0.290,16.803
51,UBS,UBS Group AG,2016-10-28,0.290,0.310,6.900
52,UBS,UBS Group AG,2016-09-28,0.193,0.310,4.600
53,UBS,UBS Group AG,2016-08-29,0.097,0.310,2.300
54,UBS,UBS Group AG,2016-07-29,0.000,0.310,0.000
55,UBS,UBS Group AG,2016-06-29,0.097,0.297,-1.973
56,UBS,UBS Group AG,2016-05-30,0.193,0.283,-3.947
57,UBS,UBS Group AG,2016-05-03,0.290,0.270,-5.920
58,UBS,UBS Group AG,2016-04-03,0.323,0.300,-6.273
59,UBS,UBS Group AG,2016-03-04,0.357,0.330,-6.627
60,UBS,UBS Group AG,2016-02-02,0.39,0.36,-6.98
