,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,UBS,UBS Group AG,2021-01-26,0.28,0.46,64.29,positive,Significantly_Above,OutP
1,1,UBS,UBS Group AG,2020-12-27,0.273,0.493,82.16,positive,Significantly_Above,OutP
2,2,UBS,UBS Group AG,2020-11-27,0.267,0.527,100.03,positive,Significantly_Above,OutP
3,3,UBS,UBS Group AG,2020-10-20,0.26,0.56,117.9,positive,Significantly_Above,OutP
4,4,UBS,UBS Group AG,2020-09-20,0.243,0.483,97.647,positive,Significantly_Above,OutP
5,5,UBS,UBS Group AG,2020-08-21,0.22699999999999998,0.40700000000000003,77.393,positive,Significantly_Above,OutP
6,6,UBS,UBS Group AG,2020-07-21,0.21,0.33,57.14,positive,Significantly_Above,OutP
7,7,UBS,UBS Group AG,2020-06-21,0.27,0.363,41.99,positive,Significantly_Above,OutP
8,8,UBS,UBS Group AG,2020-05-22,0.33,0.397,26.84,positive,Significantly_Above,OutP
9,9,UBS,UBS Group AG,2020-05-05,0.39,0.43,11.69,positive,Significantly_Above,OutP
10,10,UBS,UBS Group AG,2020-04-05,0.32299999999999995,0.377,21.83,positive,Significantly_Above,OutP
11,11,UBS,UBS Group AG,2020-03-06,0.257,0.32299999999999995,31.97,positive,Significantly_Above,OutP
12,12,UBS,UBS Group AG,2020-01-21,0.19,0.27,42.11,positive,Significantly_Above,OutP
13,13,UBS,UBS Group AG,2019-12-22,0.21,0.28300000000000003,36.073,positive,Significantly_Above,OutP
14,14,UBS,UBS Group AG,2019-11-22,0.23,0.297,30.037,positive,Significantly_Above,OutP
15,15,UBS,UBS Group AG,2019-11-20,0.25,0.31,24.0,positive,Significantly_Above,OutP
16,16,UBS,UBS Group AG,2019-10-21,0.29,0.33,16.0,positive,Significantly_Above,regular
17,17,UBS,UBS Group AG,2019-09-21,0.33,0.35,8.0,positive,Above_Average,regular
18,18,UBS,UBS Group AG,2019-08-20,0.37,0.37,0.0,None,None,NA
19,19,UBS,UBS Group AG,2019-07-21,0.33,0.34700000000000003,6.827000000000001,positive,Above_Average,OutP
20,20,UBS,UBS Group AG,2019-06-21,0.29,0.32299999999999995,13.652999999999999,positive,Significantly_Above,OutP
21,21,UBS,UBS Group AG,2019-04-25,0.25,0.3,20.48,positive,Significantly_Above,regular
22,22,UBS,UBS Group AG,2019-03-26,0.243,0.263,7.242999999999999,positive,Above_Average,regular
23,23,UBS,UBS Group AG,2019-02-24,0.237,0.22699999999999998,-5.992999999999999,negative,Below_Average,UnderP
24,24,UBS,UBS Group AG,2019-01-22,0.23,0.19,-19.23,negative,Significantly_Below,UnderP
25,25,UBS,UBS Group AG,2018-12-23,0.26,0.243,-9.657,negative,Below_Average,regular
26,26,UBS,UBS Group AG,2018-11-23,0.29,0.297,-0.083,negative,Neg_Average,regular
27,27,UBS,UBS Group AG,2018-10-25,0.32,0.35,9.49,positive,Above_Average,OutP
28,28,UBS,UBS Group AG,2018-09-25,0.337,0.35700000000000004,6.87,positive,Above_Average,OutP
29,29,UBS,UBS Group AG,2018-08-26,0.353,0.363,4.25,positive,Pos_Average,OutP
30,30,UBS,UBS Group AG,2018-07-24,0.37,0.37,1.63,positive,Pos_Average,OutP
31,31,UBS,UBS Group AG,2018-06-24,0.37,0.38,3.887,positive,Pos_Average,OutP
32,32,UBS,UBS Group AG,2018-05-25,0.37,0.39,6.143,positive,Above_Average,OutP
33,33,UBS,UBS Group AG,2018-04-23,0.37,0.4,8.4,positive,Above_Average,OutP
34,34,UBS,UBS Group AG,2018-03-24,0.32,0.35700000000000004,13.093,positive,Significantly_Above,OutP
35,35,UBS,UBS Group AG,2018-02-22,0.27,0.313,17.787,positive,Significantly_Above,OutP
36,36,UBS,UBS Group AG,2018-01-22,0.22,0.27,22.48,positive,Significantly_Above,OutP
37,37,UBS,UBS Group AG,2017-12-23,0.263,0.29,13.54,positive,Significantly_Above,regular
38,38,UBS,UBS Group AG,2017-11-23,0.307,0.31,4.6,positive,Pos_Average,regular
39,39,UBS,UBS Group AG,2017-10-27,0.35,0.33,-4.34,negative,Neg_Average,regular
40,40,UBS,UBS Group AG,2017-09-27,0.35,0.34700000000000003,-0.107,negative,Neg_Average,regular
41,41,UBS,UBS Group AG,2017-08-28,0.35,0.363,4.127,positive,Pos_Average,OutP
42,42,UBS,UBS Group AG,2017-07-28,0.35,0.38,8.36,positive,Above_Average,OutP
43,43,UBS,UBS Group AG,2017-06-28,0.34299999999999997,0.38299999999999995,11.633,positive,Significantly_Above,OutP
44,44,UBS,UBS Group AG,2017-05-29,0.337,0.387,14.907,positive,Significantly_Above,OutP
45,45,UBS,UBS Group AG,2017-04-28,0.33,0.39,18.18,positive,Significantly_Above,OutP
46,46,UBS,UBS Group AG,2017-03-29,0.28,0.34299999999999997,24.323,positive,Significantly_Above,OutP
47,47,UBS,UBS Group AG,2017-02-27,0.23,0.297,30.467,positive,Significantly_Above,OutP
48,48,UBS,UBS Group AG,2017-01-27,0.18,0.25,36.61,positive,Significantly_Above,OutP
49,49,UBS,UBS Group AG,2016-12-28,0.217,0.27,26.706999999999997,positive,Significantly_Above,OutP
50,50,UBS,UBS Group AG,2016-11-28,0.253,0.29,16.803,positive,Significantly_Above,OutP
51,51,UBS,UBS Group AG,2016-10-28,0.29,0.31,6.9,positive,Above_Average,OutP
52,52,UBS,UBS Group AG,2016-09-28,0.193,0.31,4.6,positive,Pos_Average,regular
53,53,UBS,UBS Group AG,2016-08-29,0.09699999999999999,0.31,2.3,positive,Pos_Average,regular
54,54,UBS,UBS Group AG,2016-07-29,0.0,0.31,0.0,None,None,NA
55,55,UBS,UBS Group AG,2016-06-29,0.09699999999999999,0.297,-1.973,negative,Neg_Average,UnderP
56,56,UBS,UBS Group AG,2016-05-30,0.193,0.28300000000000003,-3.947,negative,Neg_Average,UnderP
57,57,UBS,UBS Group AG,2016-05-03,0.29,0.27,-5.92,negative,Below_Average,UnderP
58,58,UBS,UBS Group AG,2016-04-03,0.32299999999999995,0.3,-6.273,negative,Below_Average,UnderP
59,59,UBS,UBS Group AG,2016-03-04,0.35700000000000004,0.33,-6.627000000000001,negative,Below_Average,regular
60,60,UBS,UBS Group AG,2016-02-02,0.39,0.36,-6.98,negative,Below_Average,regular
