Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
USB,U.S. Bancorp,"Jan 19, 2022",-,-,-
USB,U.S. Bancorp,"Oct 14, 2021",-,-,-
USB,U.S. Bancorp,"Jul 15, 2021",-,-,-
USB,U.S. Bancorp,"Apr 15, 2021",0.92,-,-
USB,U.S. Bancorp,"Jan 20, 2021",0.95,0.95,+0.32
USB,U.S. Bancorp,"Oct 14, 2020",0.91,0.99,+8.67
USB,U.S. Bancorp,"Jul 15, 2020",0.22,0.41,+84.68
USB,U.S. Bancorp,"Apr 15, 2020",0.58,0.72,+23.5
USB,U.S. Bancorp,"Jan 15, 2020",1.08,0.9,-16.97
USB,U.S. Bancorp,"Oct 16, 2019",1.11,1.15,+3.51
USB,U.S. Bancorp,"Jul 17, 2019",1.07,1.09,+2.06
USB,U.S. Bancorp,"Apr 17, 2019",1,1,-0.2
USB,U.S. Bancorp,"Jan 16, 2019",1.06,1.07,+1.23
USB,U.S. Bancorp,"Oct 17, 2018",1.05,1.06,+1.44
USB,U.S. Bancorp,"Jul 18, 2018",1,1.02,+1.59
USB,U.S. Bancorp,"Apr 18, 2018",0.95,0.96,+1.59
USB,U.S. Bancorp,"Jan 17, 2018",0.87,0.88,+1.38
USB,U.S. Bancorp,"Oct 18, 2017",0.88,0.88,-0.11
USB,U.S. Bancorp,"Jul 19, 2017",0.84,0.85,+0.71
USB,U.S. Bancorp,"Apr 19, 2017",0.8,0.82,+2.5
USB,U.S. Bancorp,"Jan 18, 2017",0.81,0.82,+1.49
USB,U.S. Bancorp,"Oct 19, 2016",0.83,0.84,+0.72
USB,U.S. Bancorp,"Jul 15, 2016",0.8,0.83,+3.49
USB,U.S. Bancorp,"Apr 20, 2016",0.76,0.76,+0.26
USB,U.S. Bancorp,"Jan 15, 2016",0.79,0.79,+0.13
USB,U.S. Bancorp,"Oct 15, 2015",0.81,0.81,-0.37
USB,U.S. Bancorp,"Jul 15, 2015",0.8,0.8,-0.12
USB,U.S. Bancorp,"Apr 15, 2015",0.76,0.76,-0.13
