Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
USB,U.S. Bancorp,2021/10/14,-,-,-
USB,U.S. Bancorp,2021/7/15,-,-,-
USB,U.S. Bancorp,2021/4/15,0.92,-,-
USB,U.S. Bancorp,2021/1/20,0.95,0.95,0.32
USB,U.S. Bancorp,2020/10/14,0.91,0.99,8.67
USB,U.S. Bancorp,2020/7/15,0.22,0.41,84.68
USB,U.S. Bancorp,2020/4/15,0.58,0.72,23.5
USB,U.S. Bancorp,2020/1/15,1.08,0.9,-16.97
USB,U.S. Bancorp,2019/10/16,1.11,1.15,3.51
USB,U.S. Bancorp,2019/7/17,1.07,1.09,2.06
USB,U.S. Bancorp,2019/4/17,1,1,-0.2
USB,U.S. Bancorp,2019/1/16,1.06,1.07,1.23
USB,U.S. Bancorp,2018/10/17,1.05,1.06,1.44
USB,U.S. Bancorp,2018/7/18,1,1.02,1.59
USB,U.S. Bancorp,2018/4/18,0.95,0.96,1.59
USB,U.S. Bancorp,2018/1/17,0.87,0.88,1.38
USB,U.S. Bancorp,2017/10/18,0.88,0.88,-0.11
USB,U.S. Bancorp,2017/7/19,0.84,0.85,0.71
USB,U.S. Bancorp,2017/4/19,0.8,0.82,2.5
USB,U.S. Bancorp,2017/1/18,0.81,0.82,1.49
USB,U.S. Bancorp,2016/10/19,0.83,0.84,0.72
USB,U.S. Bancorp,2016/7/15,0.8,0.83,3.49
USB,U.S. Bancorp,2016/4/20,0.76,0.76,0.26
USB,U.S. Bancorp,2016/1/15,0.79,0.79,0.13
