,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,USB,U.S. Bancorp,2021-10-14,0.000,0.000,0.000
1,USB,U.S. Bancorp,2021-09-14,0.000,0.000,0.000
2,USB,U.S. Bancorp,2021-08-15,0.000,0.000,0.000
3,USB,U.S. Bancorp,2021-07-15,0.000,0.000,0.000
4,USB,U.S. Bancorp,2021-06-15,0.307,0.000,0.000
5,USB,U.S. Bancorp,2021-05-16,0.613,0.000,0.000
6,USB,U.S. Bancorp,2021-04-15,0.920,0.000,0.000
7,USB,U.S. Bancorp,2021-03-16,0.930,0.317,0.107
8,USB,U.S. Bancorp,2021-02-14,0.940,0.633,0.213
9,USB,U.S. Bancorp,2021-01-20,0.950,0.950,0.320
10,USB,U.S. Bancorp,2020-12-21,0.937,0.963,3.103
11,USB,U.S. Bancorp,2020-11-21,0.923,0.977,5.887
12,USB,U.S. Bancorp,2020-10-14,0.910,0.990,8.670
13,USB,U.S. Bancorp,2020-09-14,0.680,0.797,34.007
14,USB,U.S. Bancorp,2020-08-15,0.450,0.603,59.343
15,USB,U.S. Bancorp,2020-07-15,0.220,0.410,84.680
16,USB,U.S. Bancorp,2020-06-15,0.340,0.513,64.287
17,USB,U.S. Bancorp,2020-05-16,0.460,0.617,43.893
18,USB,U.S. Bancorp,2020-04-15,0.580,0.720,23.500
19,USB,U.S. Bancorp,2020-03-16,0.747,0.780,10.010
20,USB,U.S. Bancorp,2020-02-15,0.913,0.840,-3.480
21,USB,U.S. Bancorp,2020-01-15,1.080,0.900,-16.970
22,USB,U.S. Bancorp,2019-12-16,1.090,0.983,-10.143
23,USB,U.S. Bancorp,2019-11-16,1.100,1.067,-3.317
24,USB,U.S. Bancorp,2019-10-16,1.110,1.150,3.510
25,USB,U.S. Bancorp,2019-09-16,1.097,1.130,3.027
26,USB,U.S. Bancorp,2019-08-17,1.083,1.110,2.543
27,USB,U.S. Bancorp,2019-07-17,1.070,1.090,2.060
28,USB,U.S. Bancorp,2019-06-17,1.047,1.060,1.307
29,USB,U.S. Bancorp,2019-05-18,1.023,1.030,0.553
30,USB,U.S. Bancorp,2019-04-17,1.000,1.000,-0.200
31,USB,U.S. Bancorp,2019-03-18,1.020,1.023,0.277
32,USB,U.S. Bancorp,2019-02-16,1.040,1.047,0.753
33,USB,U.S. Bancorp,2019-01-16,1.060,1.070,1.230
34,USB,U.S. Bancorp,2018-12-17,1.057,1.067,1.300
35,USB,U.S. Bancorp,2018-11-17,1.053,1.063,1.370
36,USB,U.S. Bancorp,2018-10-17,1.050,1.060,1.440
37,USB,U.S. Bancorp,2018-09-17,1.033,1.047,1.490
38,USB,U.S. Bancorp,2018-08-18,1.017,1.033,1.540
39,USB,U.S. Bancorp,2018-07-18,1.000,1.020,1.590
40,USB,U.S. Bancorp,2018-06-18,0.983,1.000,1.590
41,USB,U.S. Bancorp,2018-05-19,0.967,0.980,1.590
42,USB,U.S. Bancorp,2018-04-18,0.950,0.960,1.590
43,USB,U.S. Bancorp,2018-03-19,0.923,0.933,1.520
44,USB,U.S. Bancorp,2018-02-17,0.897,0.907,1.450
45,USB,U.S. Bancorp,2018-01-17,0.870,0.880,1.380
46,USB,U.S. Bancorp,2017-12-18,0.873,0.880,0.883
47,USB,U.S. Bancorp,2017-11-18,0.877,0.880,0.387
48,USB,U.S. Bancorp,2017-10-18,0.880,0.880,-0.110
49,USB,U.S. Bancorp,2017-09-18,0.867,0.870,0.163
50,USB,U.S. Bancorp,2017-08-19,0.853,0.860,0.437
51,USB,U.S. Bancorp,2017-07-19,0.840,0.850,0.710
52,USB,U.S. Bancorp,2017-06-19,0.827,0.840,1.307
53,USB,U.S. Bancorp,2017-05-20,0.813,0.830,1.903
54,USB,U.S. Bancorp,2017-04-19,0.800,0.820,2.500
55,USB,U.S. Bancorp,2017-03-20,0.803,0.820,2.163
56,USB,U.S. Bancorp,2017-02-18,0.807,0.820,1.827
57,USB,U.S. Bancorp,2017-01-18,0.810,0.820,1.490
58,USB,U.S. Bancorp,2016-12-19,0.817,0.827,1.233
59,USB,U.S. Bancorp,2016-11-19,0.823,0.833,0.977
60,USB,U.S. Bancorp,2016-10-19,0.830,0.840,0.720
61,USB,U.S. Bancorp,2016-09-19,0.820,0.837,1.643
62,USB,U.S. Bancorp,2016-08-20,0.810,0.833,2.567
63,USB,U.S. Bancorp,2016-07-15,0.800,0.830,3.490
64,USB,U.S. Bancorp,2016-06-15,0.787,0.807,2.413
65,USB,U.S. Bancorp,2016-05-16,0.773,0.783,1.337
66,USB,U.S. Bancorp,2016-04-20,0.760,0.760,0.260
67,USB,U.S. Bancorp,2016-03-21,0.770,0.770,0.217
68,USB,U.S. Bancorp,2016-02-20,0.780,0.780,0.173
69,USB,U.S. Bancorp,2016-01-15,0.79,0.79,0.13
