,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,USB,U.S. Bancorp,2021-10-14,0.0,0.0,0.0,None,None,NA
1,1,USB,U.S. Bancorp,2021-09-14,0.0,0.0,0.0,None,None,NA
2,2,USB,U.S. Bancorp,2021-08-15,0.0,0.0,0.0,None,None,NA
3,3,USB,U.S. Bancorp,2021-07-15,0.0,0.0,0.0,None,None,NA
4,4,USB,U.S. Bancorp,2021-06-15,0.307,0.0,0.0,None,None,NA
5,5,USB,U.S. Bancorp,2021-05-16,0.613,0.0,0.0,None,None,NA
6,6,USB,U.S. Bancorp,2021-04-15,0.92,0.0,0.0,None,None,NA
7,7,USB,U.S. Bancorp,2021-03-16,0.93,0.317,0.107,positive,Pos_Average,OutP
8,8,USB,U.S. Bancorp,2021-02-14,0.94,0.633,0.213,positive,Pos_Average,OutP
9,9,USB,U.S. Bancorp,2021-01-20,0.95,0.95,0.32,positive,Pos_Average,OutP
10,10,USB,U.S. Bancorp,2020-12-21,0.937,0.963,3.103,positive,Pos_Average,OutP
11,11,USB,U.S. Bancorp,2020-11-21,0.9229999999999999,0.977,5.8870000000000005,positive,Above_Average,OutP
12,12,USB,U.S. Bancorp,2020-10-14,0.91,0.99,8.67,positive,Above_Average,OutP
13,13,USB,U.S. Bancorp,2020-09-14,0.68,0.797,34.007,positive,Significantly_Above,OutP
14,14,USB,U.S. Bancorp,2020-08-15,0.45,0.603,59.343,positive,Significantly_Above,OutP
15,15,USB,U.S. Bancorp,2020-07-15,0.22,0.41,84.68,positive,Significantly_Above,OutP
16,16,USB,U.S. Bancorp,2020-06-15,0.34,0.513,64.28699999999999,positive,Significantly_Above,OutP
17,17,USB,U.S. Bancorp,2020-05-16,0.46,0.617,43.893,positive,Significantly_Above,OutP
18,18,USB,U.S. Bancorp,2020-04-15,0.58,0.72,23.5,positive,Significantly_Above,regular
19,19,USB,U.S. Bancorp,2020-03-16,0.747,0.78,10.01,positive,Significantly_Above,regular
20,20,USB,U.S. Bancorp,2020-02-15,0.9129999999999999,0.84,-3.48,negative,Neg_Average,UnderP
21,21,USB,U.S. Bancorp,2020-01-15,1.08,0.9,-16.97,negative,Significantly_Below,UnderP
22,22,USB,U.S. Bancorp,2019-12-16,1.09,0.983,-10.142999999999999,negative,Significantly_Below,regular
23,23,USB,U.S. Bancorp,2019-11-16,1.1,1.067,-3.3169999999999997,negative,Neg_Average,regular
24,24,USB,U.S. Bancorp,2019-10-16,1.11,1.15,3.51,positive,Pos_Average,OutP
25,25,USB,U.S. Bancorp,2019-09-16,1.097,1.13,3.0269999999999997,positive,Pos_Average,OutP
26,26,USB,U.S. Bancorp,2019-08-17,1.083,1.11,2.543,positive,Pos_Average,OutP
27,27,USB,U.S. Bancorp,2019-07-17,1.07,1.09,2.06,positive,Pos_Average,OutP
28,28,USB,U.S. Bancorp,2019-06-17,1.047,1.06,1.307,positive,Pos_Average,regular
29,29,USB,U.S. Bancorp,2019-05-18,1.023,1.03,0.5529999999999999,positive,Pos_Average,regular
30,30,USB,U.S. Bancorp,2019-04-17,1.0,1.0,-0.2,negative,Neg_Average,regular
31,31,USB,U.S. Bancorp,2019-03-18,1.02,1.023,0.27699999999999997,positive,Pos_Average,OutP
32,32,USB,U.S. Bancorp,2019-02-16,1.04,1.047,0.753,positive,Pos_Average,OutP
33,33,USB,U.S. Bancorp,2019-01-16,1.06,1.07,1.23,positive,Pos_Average,OutP
34,34,USB,U.S. Bancorp,2018-12-17,1.057,1.067,1.3,positive,Pos_Average,OutP
35,35,USB,U.S. Bancorp,2018-11-17,1.053,1.063,1.37,positive,Pos_Average,OutP
36,36,USB,U.S. Bancorp,2018-10-17,1.05,1.06,1.44,positive,Pos_Average,OutP
37,37,USB,U.S. Bancorp,2018-09-17,1.033,1.047,1.49,positive,Pos_Average,OutP
38,38,USB,U.S. Bancorp,2018-08-18,1.0170000000000001,1.033,1.54,positive,Pos_Average,OutP
39,39,USB,U.S. Bancorp,2018-07-18,1.0,1.02,1.59,positive,Pos_Average,OutP
40,40,USB,U.S. Bancorp,2018-06-18,0.983,1.0,1.59,positive,Pos_Average,OutP
41,41,USB,U.S. Bancorp,2018-05-19,0.9670000000000001,0.98,1.59,positive,Pos_Average,OutP
42,42,USB,U.S. Bancorp,2018-04-18,0.95,0.96,1.59,positive,Pos_Average,OutP
43,43,USB,U.S. Bancorp,2018-03-19,0.9229999999999999,0.9329999999999999,1.52,positive,Pos_Average,OutP
44,44,USB,U.S. Bancorp,2018-02-17,0.897,0.907,1.45,positive,Pos_Average,OutP
45,45,USB,U.S. Bancorp,2018-01-17,0.87,0.88,1.38,positive,Pos_Average,OutP
46,46,USB,U.S. Bancorp,2017-12-18,0.873,0.88,0.883,positive,Pos_Average,regular
47,47,USB,U.S. Bancorp,2017-11-18,0.877,0.88,0.387,positive,Pos_Average,regular
48,48,USB,U.S. Bancorp,2017-10-18,0.88,0.88,-0.11,negative,Neg_Average,regular
49,49,USB,U.S. Bancorp,2017-09-18,0.867,0.87,0.163,positive,Pos_Average,OutP
50,50,USB,U.S. Bancorp,2017-08-19,0.853,0.86,0.43700000000000006,positive,Pos_Average,OutP
51,51,USB,U.S. Bancorp,2017-07-19,0.84,0.85,0.71,positive,Pos_Average,OutP
52,52,USB,U.S. Bancorp,2017-06-19,0.8270000000000001,0.84,1.307,positive,Pos_Average,OutP
53,53,USB,U.S. Bancorp,2017-05-20,0.813,0.83,1.903,positive,Pos_Average,OutP
54,54,USB,U.S. Bancorp,2017-04-19,0.8,0.82,2.5,positive,Pos_Average,OutP
55,55,USB,U.S. Bancorp,2017-03-20,0.8029999999999999,0.82,2.1630000000000003,positive,Pos_Average,OutP
56,56,USB,U.S. Bancorp,2017-02-18,0.807,0.82,1.827,positive,Pos_Average,OutP
57,57,USB,U.S. Bancorp,2017-01-18,0.81,0.82,1.49,positive,Pos_Average,OutP
58,58,USB,U.S. Bancorp,2016-12-19,0.8170000000000001,0.8270000000000001,1.2329999999999999,positive,Pos_Average,OutP
59,59,USB,U.S. Bancorp,2016-11-19,0.823,0.833,0.977,positive,Pos_Average,OutP
60,60,USB,U.S. Bancorp,2016-10-19,0.83,0.84,0.72,positive,Pos_Average,OutP
61,61,USB,U.S. Bancorp,2016-09-19,0.82,0.8370000000000001,1.643,positive,Pos_Average,OutP
62,62,USB,U.S. Bancorp,2016-08-20,0.81,0.833,2.5669999999999997,positive,Pos_Average,OutP
63,63,USB,U.S. Bancorp,2016-07-15,0.8,0.83,3.49,positive,Pos_Average,OutP
64,64,USB,U.S. Bancorp,2016-06-15,0.787,0.807,2.4130000000000003,positive,Pos_Average,OutP
65,65,USB,U.S. Bancorp,2016-05-16,0.773,0.7829999999999999,1.337,positive,Pos_Average,OutP
66,66,USB,U.S. Bancorp,2016-04-20,0.76,0.76,0.26,positive,Pos_Average,OutP
67,67,USB,U.S. Bancorp,2016-03-21,0.77,0.77,0.217,positive,Pos_Average,OutP
68,68,USB,U.S. Bancorp,2016-02-20,0.78,0.78,0.17300000000000001,positive,Pos_Average,regular
69,69,USB,U.S. Bancorp,2016-01-15,0.79,0.79,0.13,positive,Pos_Average,regular
