Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
WFC,Wells Fargo & Co,"Jan 14, 2022",-,-,-
WFC,Wells Fargo & Co,"Oct 14, 2021",-,-,-
WFC,Wells Fargo & Co,"Jul 14, 2021",-,-,-
WFC,Wells Fargo & Co,"Apr 14, 2021",0.6,-,-
WFC,Wells Fargo & Company,"Jan 15, 2021",0.6,0.64,+7.02
WFC,Wells Fargo & Company,"Oct 14, 2020",0.45,0.42,-6.67
WFC,Wells Fargo & Company,"Jul 14, 2020",-0.2,-0.66,-230
WFC,Wells Fargo & Company,"Apr 14, 2020",0.33,0.01,-96.94
WFC,Wells Fargo & Company,"Jan 14, 2020",1.12,0.6,-46.57
WFC,Wells Fargo & Company,"Oct 15, 2019",1.15,0.92,-19.65
WFC,Wells Fargo & Company,"Jul 16, 2019",1.15,1.3,+12.85
WFC,Wells Fargo & Company,"Apr 12, 2019",1.09,1.2,+9.79
WFC,Wells Fargo & Company,"Jan 15, 2019",1.17,1.21,+3.15
WFC,Wells Fargo & Company,"Oct 12, 2018",1.17,1.13,-3.58
WFC,Wells Fargo & Company,"Jul 13, 2018",1.12,0.98,-12.26
WFC,Wells Fargo & Company,"Apr 13, 2018",1.07,1.12,+5.16
WFC,Wells Fargo & Company,"Jan 12, 2018",1.07,0.97,-9.01
WFC,Wells Fargo & Company,"Oct 13, 2017",1.02,0.84,-18.05
WFC,Wells Fargo & Company,"Jul 14, 2017",1.01,1.07,+5.94
WFC,Wells Fargo & Company,"Apr 13, 2017",0.97,1,+3.52
WFC,Wells Fargo & Company,"Jan 13, 2017",1,0.96,-3.9
WFC,Wells Fargo & Company,"Oct 14, 2016",1.01,1.03,+2.18
WFC,Wells Fargo & Company,"Jul 15, 2016",1.01,1.01,+0.2
WFC,Wells Fargo & Company,"Apr 14, 2016",0.97,0.99,+1.75
WFC,Wells Fargo & Company,"Jan 15, 2016",1.02,1.03,+0.78
WFC,Wells Fargo & Company,"Oct 14, 2015",1.05,1.05,+0.48
WFC,Wells Fargo & Company,"Jul 14, 2015",1.03,1.03,-0.1
WFC,Wells Fargo & Company,"Apr 14, 2015",0.98,1.04,+6.56
WFC,Wells Fargo & Company,"Jan 14, 2015",1.01,1.02,+0.49
WFC,Wells Fargo & Company,"Oct 14, 2014",1.02,1.02,-
WFC,Wells Fargo & Company,"Jul 11, 2014",1.01,1.01,+0.13
WFC,Wells Fargo & Company,"Apr 11, 2014",0.97,1.05,+8.71
WFC,Wells Fargo & Company,"Jan 14, 2014",0.98,1,+1.65
WFC,Wells Fargo & Company,"Oct 11, 2013",0.97,0.99,+1.7
WFC,Wells Fargo & Company,"Jul 12, 2013",0.93,0.98,+5.6
WFC,Wells Fargo & Company,"Apr 12, 2013",0.88,0.92,+4.16
WFC,Wells Fargo & Company,"Jan 11, 2013",0.89,0.92,+3.02
WFC,Wells Fargo & Company,"Oct 12, 2012",0.87,0.88,+1.11
WFC,Wells Fargo & Company,"Jul 13, 2012",0.81,0.82,+0.93
WFC,Wells Fargo & Company,"Apr 13, 2012",0.73,0.75,+3.03
WFC,Wells Fargo & Company,"Jan 17, 2012",0.72,0.73,+1.43
WFC,Wells Fargo & Company,"Oct 17, 2011",0.73,0.72,-0.83
WFC,Wells Fargo & Company,"Jul 19, 2011",0.68,0.7,+2.56
WFC,Wells Fargo & Company,"Apr 20, 2011",0.66,0.67,+1.8
WFC,Wells Fargo & Company,"Jan 19, 2011",0.61,0.61,-0.11
WFC,Wells Fargo & Company,"Oct 20, 2010",0.55,0.6,+8.89
WFC,Wells Fargo & Company,"Jul 21, 2010",0.48,0.55,+13.97
WFC,Wells Fargo & Company,"Apr 21, 2010",0.42,0.45,+7.14
WFC,Wells Fargo & Company,"Jan 20, 2010",-0.01,0.08,+942.11
WFC,Wells Fargo & Company,"Oct 21, 2009",0.37,0.56,+50.17
WFC,Wells Fargo & Company,"Jul 22, 2009",0.34,0.57,+67.37
WFC,Wells Fargo & Company,"Apr 22, 2009",0.41,0.56,+35.71
WFC,Wells Fargo & Company,"Jan 28, 2009",0.33,-0.79,-338.25
WFC,Wells Fargo & Company,"Oct 15, 2008",0.41,0.49,+19.82
WFC,Wells Fargo & Company,"Jul 16, 2008",0.5,0.53,+6.1
WFC,Wells Fargo & Company,"Apr 16, 2008",0.57,0.6,+5.34
WFC,Wells Fargo & Company,"Jan 16, 2008",0.41,0.41,+0.86
WFC,Wells Fargo & Company,"Jul 17, 2007",0.67,0.67,-
WFC,Wells Fargo & Company,"Apr 17, 2007",0.65,0.66,+2.26
WFC,Wells Fargo & Company,"Jan 16, 2007",0.64,0.64,+0.34
WFC,Wells Fargo & Company,"Oct 17, 2006",0.63,0.64,+1.13
WFC,Wells Fargo & Company,"Apr 18, 2006",0.6,0.6,-0.63
WFC,Wells Fargo & Company,"Jan 17, 2006",0.58,0.57,-1.32
WFC,Wells Fargo & Company,"Oct 18, 2005",0.58,0.58,+0.52
WFC,Wells Fargo & Company,"Jul 19, 2005",0.56,0.56,-0.48
WFC,Wells Fargo & Company,"Apr 19, 2005",0.54,0.54,-0.78
WFC,Wells Fargo & Company,"Jan 18, 2005",0.53,0.52,-2.04
WFC,Wells Fargo & Company,"Oct 19, 2004",0.53,0.51,-3.9
WFC,Wells Fargo & Company,"Jul 20, 2004",0.52,0.5,-3.93
WFC,Wells Fargo & Company,"Apr 20, 2004",0.49,0.52,+5.64
WFC,Wells Fargo & Company,"Jan 20, 2004",0.48,0.48,-0.42
WFC,Wells Fargo & Company,"Oct 21, 2003",0.46,0.46,-0.94
WFC,Wells Fargo & Company,"Jul 15, 2003",0.45,0.45,-0.6
WFC,Wells Fargo & Company,"Apr 15, 2003",0.44,0.44,+0.65
WFC,Wells Fargo & Company,"Jan 21, 2003",0.43,0.43,+0.27
WFC,Wells Fargo & Company,"Oct 15, 2002",0.42,0.42,+0.13
WFC,Wells Fargo & Company,"Jul 16, 2002",0.41,0.41,+0.32
WFC,Wells Fargo & Company,"Apr 16, 2002",0.39,0.4,+1.89
WFC,Wells Fargo & Company,"Jan 15, 2002",0.34,0.35,+0.79
WFC,Wells Fargo & Company,"Oct 16, 2001",0.34,0.34,-2.32
WFC,Wells Fargo & Company,"Jul 17, 2001",0.01,-,-100
WFC,Wells Fargo & Company,"Apr 17, 2001",0.33,0.34,+0.2
WFC,Wells Fargo & Company,"Jan 16, 2001",0.32,0.33,+0.11
WFC,Wells Fargo & Company,"Oct 17, 2000",0.32,0.32,+0.06
