Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
WFC,Wells Fargo & Co,2021/10/14,-,-,-
WFC,Wells Fargo & Co,2021/7/14,-,-,-
WFC,Wells Fargo & Co,2021/4/14,0.6,-,-
WFC,Wells Fargo & Company,2021/1/15,0.6,0.64,7.02
WFC,Wells Fargo & Company,2020/10/14,0.45,0.42,-6.67
WFC,Wells Fargo & Company,2020/7/14,-0.2,-0.66,-230
WFC,Wells Fargo & Company,2020/4/14,0.33,0.01,-96.94
WFC,Wells Fargo & Company,2020/1/14,1.12,0.6,-46.57
WFC,Wells Fargo & Company,2019/10/15,1.15,0.92,-19.65
WFC,Wells Fargo & Company,2019/7/16,1.15,1.3,12.85
WFC,Wells Fargo & Company,2019/4/12,1.09,1.2,9.79
WFC,Wells Fargo & Company,2019/1/15,1.17,1.21,3.15
WFC,Wells Fargo & Company,2018/10/12,1.17,1.13,-3.58
WFC,Wells Fargo & Company,2018/7/13,1.12,0.98,-12.26
WFC,Wells Fargo & Company,2018/4/13,1.07,1.12,5.16
WFC,Wells Fargo & Company,2018/1/12,1.07,0.97,-9.01
WFC,Wells Fargo & Company,2017/10/13,1.02,0.84,-18.05
WFC,Wells Fargo & Company,2017/7/14,1.01,1.07,5.94
WFC,Wells Fargo & Company,2017/4/13,0.97,1,3.52
WFC,Wells Fargo & Company,2017/1/13,1,0.96,-3.9
WFC,Wells Fargo & Company,2016/10/14,1.01,1.03,2.18
WFC,Wells Fargo & Company,2016/7/15,1.01,1.01,0.2
WFC,Wells Fargo & Company,2016/4/14,0.97,0.99,1.75
WFC,Wells Fargo & Company,2016/1/15,1.02,1.03,0.78
