,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,WFC,Wells Fargo & Co,2021-10-14,0.000,0.000,0.000
1,WFC,Wells Fargo & Co,2021-09-14,0.000,0.000,0.000
2,WFC,Wells Fargo & Co,2021-08-15,0.000,0.000,0.000
3,WFC,Wells Fargo & Co,2021-07-14,0.000,0.000,0.000
4,WFC,Wells Fargo & Co,2021-06-14,0.200,0.000,0.000
5,WFC,Wells Fargo & Co,2021-05-15,0.400,0.000,0.000
6,WFC,Wells Fargo & Co,2021-04-14,0.600,0.000,0.000
7,WFC,Wells Fargo & Co,2021-03-15,0.600,0.213,2.340
8,WFC,Wells Fargo & Co,2021-02-13,0.600,0.427,4.680
9,WFC,Wells Fargo & Co,2021-01-15,0.600,0.640,7.020
10,WFC,Wells Fargo & Co,2020-12-16,0.550,0.567,2.457
11,WFC,Wells Fargo & Co,2020-11-16,0.500,0.493,-2.107
12,WFC,Wells Fargo & Co,2020-10-14,0.450,0.420,-6.670
13,WFC,Wells Fargo & Co,2020-09-14,0.233,0.060,-81.113
14,WFC,Wells Fargo & Co,2020-08-15,0.017,-0.300,-155.557
15,WFC,Wells Fargo & Co,2020-07-14,-0.200,-0.660,-230.000
16,WFC,Wells Fargo & Co,2020-06-14,-0.023,-0.437,-185.647
17,WFC,Wells Fargo & Co,2020-05-15,0.153,-0.213,-141.293
18,WFC,Wells Fargo & Co,2020-04-14,0.330,0.010,-96.940
19,WFC,Wells Fargo & Co,2020-03-15,0.593,0.207,-80.150
20,WFC,Wells Fargo & Co,2020-02-14,0.857,0.403,-63.360
21,WFC,Wells Fargo & Co,2020-01-14,1.120,0.600,-46.570
22,WFC,Wells Fargo & Co,2019-12-15,1.130,0.707,-37.597
23,WFC,Wells Fargo & Co,2019-11-15,1.140,0.813,-28.623
24,WFC,Wells Fargo & Co,2019-10-15,1.150,0.920,-19.650
25,WFC,Wells Fargo & Co,2019-09-15,1.150,1.047,-8.817
26,WFC,Wells Fargo & Co,2019-08-16,1.150,1.173,2.017
27,WFC,Wells Fargo & Co,2019-07-16,1.150,1.300,12.850
28,WFC,Wells Fargo & Co,2019-06-16,1.130,1.267,11.830
29,WFC,Wells Fargo & Co,2019-05-17,1.110,1.233,10.810
30,WFC,Wells Fargo & Co,2019-04-12,1.090,1.200,9.790
31,WFC,Wells Fargo & Co,2019-03-13,1.117,1.203,7.577
32,WFC,Wells Fargo & Co,2019-02-11,1.143,1.207,5.363
33,WFC,Wells Fargo & Co,2019-01-15,1.170,1.210,3.150
34,WFC,Wells Fargo & Co,2018-12-16,1.170,1.183,0.907
35,WFC,Wells Fargo & Co,2018-11-16,1.170,1.157,-1.337
36,WFC,Wells Fargo & Co,2018-10-12,1.170,1.130,-3.580
37,WFC,Wells Fargo & Co,2018-09-12,1.153,1.080,-6.473
38,WFC,Wells Fargo & Co,2018-08-13,1.137,1.030,-9.367
39,WFC,Wells Fargo & Co,2018-07-13,1.120,0.980,-12.260
40,WFC,Wells Fargo & Co,2018-06-13,1.103,1.027,-6.453
41,WFC,Wells Fargo & Co,2018-05-14,1.087,1.073,-0.647
42,WFC,Wells Fargo & Co,2018-04-13,1.070,1.120,5.160
43,WFC,Wells Fargo & Co,2018-03-14,1.070,1.070,0.437
44,WFC,Wells Fargo & Co,2018-02-12,1.070,1.020,-4.287
45,WFC,Wells Fargo & Co,2018-01-12,1.070,0.970,-9.010
46,WFC,Wells Fargo & Co,2017-12-13,1.053,0.927,-12.023
47,WFC,Wells Fargo & Co,2017-11-13,1.037,0.883,-15.037
48,WFC,Wells Fargo & Co,2017-10-13,1.020,0.840,-18.050
49,WFC,Wells Fargo & Co,2017-09-13,1.017,0.917,-10.053
50,WFC,Wells Fargo & Co,2017-08-14,1.013,0.993,-2.057
51,WFC,Wells Fargo & Co,2017-07-14,1.010,1.070,5.940
52,WFC,Wells Fargo & Co,2017-06-14,0.997,1.047,5.133
53,WFC,Wells Fargo & Co,2017-05-15,0.983,1.023,4.327
54,WFC,Wells Fargo & Co,2017-04-13,0.970,1.000,3.520
55,WFC,Wells Fargo & Co,2017-03-14,0.980,0.987,1.047
56,WFC,Wells Fargo & Co,2017-02-12,0.990,0.973,-1.427
57,WFC,Wells Fargo & Co,2017-01-13,1.000,0.960,-3.900
58,WFC,Wells Fargo & Co,2016-12-14,1.003,0.983,-1.873
59,WFC,Wells Fargo & Co,2016-11-14,1.007,1.007,0.153
60,WFC,Wells Fargo & Co,2016-10-14,1.010,1.030,2.180
61,WFC,Wells Fargo & Co,2016-09-14,1.010,1.023,1.520
62,WFC,Wells Fargo & Co,2016-08-15,1.010,1.017,0.860
63,WFC,Wells Fargo & Co,2016-07-15,1.010,1.010,0.200
64,WFC,Wells Fargo & Co,2016-06-15,0.997,1.003,0.717
65,WFC,Wells Fargo & Co,2016-05-16,0.983,0.997,1.233
66,WFC,Wells Fargo & Co,2016-04-14,0.970,0.990,1.750
67,WFC,Wells Fargo & Co,2016-03-15,0.987,1.003,1.427
68,WFC,Wells Fargo & Co,2016-02-14,1.003,1.017,1.103
69,WFC,Wells Fargo & Co,2016-01-15,1.02,1.03,0.78
