,Unnamed: 0,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,0,WFC,Wells Fargo & Co,2021-10-14,0.0,0.0,0.0,None,None,NA
1,1,WFC,Wells Fargo & Co,2021-09-14,0.0,0.0,0.0,None,None,NA
2,2,WFC,Wells Fargo & Co,2021-08-15,0.0,0.0,0.0,None,None,NA
3,3,WFC,Wells Fargo & Co,2021-07-14,0.0,0.0,0.0,None,None,NA
4,4,WFC,Wells Fargo & Co,2021-06-14,0.2,0.0,0.0,None,None,NA
5,5,WFC,Wells Fargo & Co,2021-05-15,0.4,0.0,0.0,None,None,NA
6,6,WFC,Wells Fargo & Co,2021-04-14,0.6,0.0,0.0,None,None,NA
7,7,WFC,Wells Fargo & Co,2021-03-15,0.6,0.213,2.34,positive,Pos_Average,OutP
8,8,WFC,Wells Fargo & Co,2021-02-13,0.6,0.42700000000000005,4.68,positive,Pos_Average,OutP
9,9,WFC,Wells Fargo & Co,2021-01-15,0.6,0.64,7.02,positive,Above_Average,regular
10,10,WFC,Wells Fargo & Co,2020-12-16,0.55,0.5670000000000001,2.457,positive,Pos_Average,regular
11,11,WFC,Wells Fargo & Co,2020-11-16,0.5,0.493,-2.1069999999999998,negative,Neg_Average,UnderP
12,12,WFC,Wells Fargo & Co,2020-10-14,0.45,0.42,-6.67,negative,Below_Average,UnderP
13,13,WFC,Wells Fargo & Co,2020-09-14,0.233,0.06,-81.113,negative,Significantly_Below,UnderP
14,14,WFC,Wells Fargo & Co,2020-08-15,0.017,-0.3,-155.55700000000002,negative,Significantly_Below,UnderP
15,15,WFC,Wells Fargo & Co,2020-07-14,-0.2,-0.66,-230.0,negative,Significantly_Below,UnderP
16,16,WFC,Wells Fargo & Co,2020-06-14,-0.023,-0.43700000000000006,-185.64700000000002,negative,Significantly_Below,UnderP
17,17,WFC,Wells Fargo & Co,2020-05-15,0.153,-0.213,-141.293,negative,Significantly_Below,UnderP
18,18,WFC,Wells Fargo & Co,2020-04-14,0.33,0.01,-96.94,negative,Significantly_Below,UnderP
19,19,WFC,Wells Fargo & Co,2020-03-15,0.593,0.207,-80.15,negative,Significantly_Below,UnderP
20,20,WFC,Wells Fargo & Co,2020-02-14,0.857,0.40299999999999997,-63.36,negative,Significantly_Below,UnderP
21,21,WFC,Wells Fargo & Co,2020-01-14,1.12,0.6,-46.57,negative,Significantly_Below,UnderP
22,22,WFC,Wells Fargo & Co,2019-12-15,1.13,0.7070000000000001,-37.597,negative,Significantly_Below,UnderP
23,23,WFC,Wells Fargo & Co,2019-11-15,1.14,0.813,-28.623,negative,Significantly_Below,UnderP
24,24,WFC,Wells Fargo & Co,2019-10-15,1.15,0.92,-19.65,negative,Significantly_Below,regular
25,25,WFC,Wells Fargo & Co,2019-09-15,1.15,1.047,-8.817,negative,Below_Average,regular
26,26,WFC,Wells Fargo & Co,2019-08-16,1.15,1.173,2.017,positive,Pos_Average,OutP
27,27,WFC,Wells Fargo & Co,2019-07-16,1.15,1.3,12.85,positive,Significantly_Above,OutP
28,28,WFC,Wells Fargo & Co,2019-06-16,1.13,1.2670000000000001,11.83,positive,Significantly_Above,OutP
29,29,WFC,Wells Fargo & Co,2019-05-17,1.11,1.2329999999999999,10.81,positive,Significantly_Above,OutP
30,30,WFC,Wells Fargo & Co,2019-04-12,1.09,1.2,9.79,positive,Above_Average,OutP
31,31,WFC,Wells Fargo & Co,2019-03-13,1.117,1.203,7.577000000000001,positive,Above_Average,OutP
32,32,WFC,Wells Fargo & Co,2019-02-11,1.143,1.207,5.3629999999999995,positive,Above_Average,OutP
33,33,WFC,Wells Fargo & Co,2019-01-15,1.17,1.21,3.15,positive,Pos_Average,regular
34,34,WFC,Wells Fargo & Co,2018-12-16,1.17,1.183,0.907,positive,Pos_Average,regular
35,35,WFC,Wells Fargo & Co,2018-11-16,1.17,1.157,-1.337,negative,Neg_Average,UnderP
36,36,WFC,Wells Fargo & Co,2018-10-12,1.17,1.13,-3.58,negative,Neg_Average,UnderP
37,37,WFC,Wells Fargo & Co,2018-09-12,1.153,1.08,-6.473,negative,Below_Average,UnderP
38,38,WFC,Wells Fargo & Co,2018-08-13,1.137,1.03,-9.367,negative,Below_Average,UnderP
39,39,WFC,Wells Fargo & Co,2018-07-13,1.12,0.98,-12.26,negative,Significantly_Below,UnderP
40,40,WFC,Wells Fargo & Co,2018-06-13,1.103,1.0270000000000001,-6.452999999999999,negative,Below_Average,regular
41,41,WFC,Wells Fargo & Co,2018-05-14,1.087,1.073,-0.647,negative,Neg_Average,regular
42,42,WFC,Wells Fargo & Co,2018-04-13,1.07,1.12,5.16,positive,Above_Average,regular
43,43,WFC,Wells Fargo & Co,2018-03-14,1.07,1.07,0.43700000000000006,positive,Pos_Average,regular
44,44,WFC,Wells Fargo & Co,2018-02-12,1.07,1.02,-4.287,negative,Neg_Average,UnderP
45,45,WFC,Wells Fargo & Co,2018-01-12,1.07,0.97,-9.01,negative,Below_Average,UnderP
46,46,WFC,Wells Fargo & Co,2017-12-13,1.053,0.927,-12.023,negative,Significantly_Below,UnderP
47,47,WFC,Wells Fargo & Co,2017-11-13,1.037,0.883,-15.037,negative,Significantly_Below,UnderP
48,48,WFC,Wells Fargo & Co,2017-10-13,1.02,0.84,-18.05,negative,Significantly_Below,UnderP
49,49,WFC,Wells Fargo & Co,2017-09-13,1.0170000000000001,0.917,-10.052999999999999,negative,Significantly_Below,regular
50,50,WFC,Wells Fargo & Co,2017-08-14,1.013,0.993,-2.057,negative,Neg_Average,regular
51,51,WFC,Wells Fargo & Co,2017-07-14,1.01,1.07,5.94,positive,Above_Average,OutP
52,52,WFC,Wells Fargo & Co,2017-06-14,0.997,1.047,5.132999999999999,positive,Above_Average,OutP
53,53,WFC,Wells Fargo & Co,2017-05-15,0.983,1.023,4.327,positive,Pos_Average,OutP
54,54,WFC,Wells Fargo & Co,2017-04-13,0.97,1.0,3.52,positive,Pos_Average,regular
55,55,WFC,Wells Fargo & Co,2017-03-14,0.98,0.987,1.047,positive,Pos_Average,regular
56,56,WFC,Wells Fargo & Co,2017-02-12,0.99,0.973,-1.4269999999999998,negative,Neg_Average,UnderP
57,57,WFC,Wells Fargo & Co,2017-01-13,1.0,0.96,-3.9,negative,Neg_Average,regular
58,58,WFC,Wells Fargo & Co,2016-12-14,1.003,0.983,-1.8730000000000002,negative,Neg_Average,regular
59,59,WFC,Wells Fargo & Co,2016-11-14,1.0070000000000001,1.0070000000000001,0.153,positive,Pos_Average,OutP
60,60,WFC,Wells Fargo & Co,2016-10-14,1.01,1.03,2.18,positive,Pos_Average,OutP
61,61,WFC,Wells Fargo & Co,2016-09-14,1.01,1.023,1.52,positive,Pos_Average,OutP
62,62,WFC,Wells Fargo & Co,2016-08-15,1.01,1.0170000000000001,0.86,positive,Pos_Average,OutP
63,63,WFC,Wells Fargo & Co,2016-07-15,1.01,1.01,0.2,positive,Pos_Average,OutP
64,64,WFC,Wells Fargo & Co,2016-06-15,0.997,1.003,0.7170000000000001,positive,Pos_Average,OutP
65,65,WFC,Wells Fargo & Co,2016-05-16,0.983,0.997,1.2329999999999999,positive,Pos_Average,OutP
66,66,WFC,Wells Fargo & Co,2016-04-14,0.97,0.99,1.75,positive,Pos_Average,OutP
67,67,WFC,Wells Fargo & Co,2016-03-15,0.987,1.003,1.4269999999999998,positive,Pos_Average,OutP
68,68,WFC,Wells Fargo & Co,2016-02-14,1.003,1.0170000000000001,1.103,positive,Pos_Average,regular
69,69,WFC,Wells Fargo & Co,2016-01-15,1.02,1.03,0.78,positive,Pos_Average,regular
